n,a,k,L,d
1,1,0,0,5
2,6,4,1,2
3,8,3,2,2
4,10,4,2,2
5,12,5,2,2
6,14,13,1,1
7,15,4,3,3
8,18,4,4,2
9,20,19,1,1
10,21,2,10,1
11,22,6,3,4
12,26,5,5,1
13,27,2,13,1
14,28,6,4,4
15,32,31,1,1
16,33,2,16,1
17,34,3,11,1
18,35,2,17,1
19,36,17,2,2
20,38,37,1,1
21,39,17,2,5
22,44,43,1,1
23,45,2,22,1
24,46,4,11,2
25,48,23,2,2
26,50,7,7,1
27,51,2,25,1
28,52,7,7,3
29,55,53,1,2
30,57,2,28,1
31,58,6,9,4
32,62,61,1,1
33,63,2,31,1
34,64,3,21,1
35,65,31,2,3
36,68,67,1,1
37,69,8,8,5
38,74,73,1,1
39,75,2,37,1
40,76,3,25,1
41,77,37,2,3
42,80,3,26,2
43,82,79,1,3
44,85,2,42,1
45,86,5,17,1
46,87,83,1,4
47,91,2,45,1
48,92,7,13,1
49,93,2,46,1
50,94,3,31,1
51,95,4,23,3
52,98,97,1,1
53,99,2,49,1
54,100,47,2,6
55,106,101,1,5
56,111,2,55,1
57,112,109,1,3
58,115,2,57,1
59,116,5,23,1
60,117,2,58,1
61,118,3,39,1
62,119,2,59,1
63,120,59,2,2
64,122,11,11,1
65,123,2,61,1
66,124,3,41,1
67,125,11,11,4
68,129,5,25,4
69,133,2,66,1
70,134,127,1,7
71,141,2,70,1
72,142,3,47,1
73,143,2,71,1
74,144,11,13,1
75,145,2,72,1
76,146,5,29,1
77,147,2,73,1
78,148,11,13,5
79,153,151,1,2
80,155,4,38,3
81,158,157,1,1
82,159,157,1,2
83,161,2,80,1
84,162,4,40,2
85,164,3,54,2
86,166,4,41,2
87,168,5,33,3
88,171,2,85,1
89,172,13,13,3
90,175,2,87,1
91,176,5,35,1
92,177,2,88,1
93,178,173,1,5
94,183,181,1,2
95,185,3,61,2
96,187,2,93,1
97,188,7,26,6
98,194,3,64,2
99,196,191,1,5
100,201,2,100,1
101,202,3,67,1
102,203,3,67,2
103,205,2,102,1
104,206,5,41,1
105,207,2,103,1
106,208,3,69,1
107,209,2,104,1
108,210,4,52,2
109,212,211,1,1
110,213,2,106,1
111,214,3,71,1
112,215,2,107,1
113,216,5,43,1
114,217,2,108,1
115,218,7,31,1
116,219,7,31,2
117,221,7,31,4
118,225,2,112,1
119,226,31,7,9
120,235,2,117,1
121,236,5,47,1
