n,a,k,L,d
1,2,0,0,1
2,3,2,1,1
3,4,3,1,1
4,5,2,2,1
5,6,5,1,1
6,7,4,1,3
7,10,3,3,1
8,11,3,3,2
9,13,2,6,1
10,14,11,1,3
11,17,3,5,2
12,19,4,4,3
13,22,3,7,1
14,23,4,5,3
15,26,23,1,3
16,29,3,9,2
17,31,4,7,3
18,34,31,1,3
19,37,2,18,1
20,38,5,7,3
21,41,3,13,2
22,43,4,10,3
23,46,3,15,1
24,47,41,1,6
25,53,6,8,5
26,58,3,19,1
27,59,3,19,2
28,61,2,30,1
29,62,19,3,5
30,67,7,9,4
31,71,3,23,2
32,73,2,36,1
33,74,23,3,5
34,79,4,19,3
35,82,3,27,1
36,83,4,20,3
37,86,83,1,3
38,89,6,14,5
39,94,7,13,3
40,97,31,3,4
41,101,3,33,2
42,103,4,25,3
43,106,3,35,1
44,107,3,35,2
45,109,5,21,4
46,113,6,18,5
47,118,6,19,4
48,122,9,13,5
49,127,41,3,4
50,131,4,32,3
51,134,131,1,3
52,137,3,45,2
53,139,4,34,3
54,142,6,23,4
55,146,11,13,3
56,149,3,49,2
57,151,29,5,6
58,157,2,78,1
59,158,9,17,5
60,163,4,40,3
61,166,3,55,1
62,167,7,23,6
63,173,6,28,5
64,178,3,59,1
65,179,3,59,2
66,181,19,9,10
67,191,3,63,2
68,193,2,96,1
69,194,191,1,3
70,197,3,65,2
71,199,4,49,3
72,202,6,33,4
73,206,67,3,5
74,211,4,52,3
75,214,5,42,4
76,218,71,3,5
77,223,4,55,3
78,226,3,75,1
79,227,3,75,2
80,229,5,45,4
81,233,227,1,6
82,239,3,79,2
83,241,11,21,10
84,251,4,62,3
85,254,251,1,3
86,257,6,42,5
87,262,3,87,1
88,263,257,1,6
89,269,3,89,2
90,271,4,67,3
91,274,271,1,3
92,277,2,138,1
93,278,5,55,3
94,281,3,93,2
95,283,13,21,10
96,293,6,48,5
97,298,6,49,4
98,302,9,33,5
99,307,101,3,4
100,311,3,103,2
101,313,2,156,1
102,314,311,1,3
103,317,11,28,9
104,326,107,3,5
105,331,4,82,3
106,334,331,1,3
107,337,41,8,9
108,346,3,115,1
109,347,3,115,2
110,349,5,69,4
111,353,6,58,5
112,358,3,119,1
113,359,4,89,3
114,362,7,51,5
115,367,19,19,6
116,373,367,1,6
117,379,4,94,3
118,382,3,127,1
119,383,4,95,3
120,386,383,1,3
121,389,6,64,5
122,394,17,23,3
123,397,2,198,1
124,398,5,79,3
125,401,131,3,8
126,409,19,21,10
127,419,3,139,2
128,421,2,210,1
129,422,59,7,9
130,431,3,143,2
131,433,7,61,6
132,439,5,87,4
133,443,4,110,3
134,446,443,1,3
135,449,6,74,5
136,454,11,41,3
137,457,2,228,1
138,458,5,91,3
139,461,3,153,2
140,463,4,115,3
141,466,3,155,1
142,467,12,38,11
143,478,3,159,1
144,479,4,119,3
145,482,9,53,5
146,487,7,69,4
147,491,21,23,8
148,499,4,124,3
149,502,3,167,1
150,503,7,71,6
151,509,6,84,5
152,514,13,39,7
153,521,3,173,2
154,523,4,130,3
155,526,257,2,12
156,538,5,107,3
157,541,2,270,1
158,542,179,3,5
159,547,9,60,7
160,554,19,29,3
161,557,6,92,5
162,562,3,187,1
163,563,4,140,3
164,566,563,1,3
165,569,3,189,2
166,571,113,5,6
167,577,71,8,9
168,586,3,195,1
169,587,7,83,6
170,593,587,1,6
171,599,3,199,2
172,601,7,85,6
173,607,601,1,6
174,613,2,306,1
175,614,13,47,3
176,617,3,205,2
177,619,4,154,3
178,622,6,103,4
179,626,9,69,5
180,631,4,157,3
181,634,11,57,7
182,641,3,213,2
183,643,9,71,4
184,647,641,1,6
185,653,647,1,6
186,659,3,219,2
187,661,2,330,1
188,662,21,31,11
189,673,2,336,1
190,674,11,61,3
191,677,11,61,6
192,683,9,75,8
193,691,4,172,3
194,694,5,138,4
195,698,5,139,3
196,701,6,116,5
197,706,19,37,3
198,709,10,70,9
199,718,3,239,1
200,719,9,79,8
201,727,7,103,6
202,733,2,366,1
203,734,9,81,5
204,739,5,147,4
205,743,4,185,3
206,746,13,57,5
207,751,149,5,6
208,757,2,378,1
209,758,5,151,3
210,761,6,126,5
211,766,7,109,3
212,769,5,153,4
213,773,6,128,5
214,778,769,1,9
215,787,10,78,7
216,794,7,113,3
217,797,6,132,5
218,802,15,53,7
219,809,3,269,2
220,811,12,67,7
221,818,5,163,3
222,821,3,273,2
223,823,7,117,4
224,827,3,275,2
225,829,10,82,9
226,838,3,279,1
227,839,4,209,3
228,842,277,3,11
229,853,283,3,4
230,857,3,285,2
231,859,4,214,3
232,862,3,287,1
233,863,4,215,3
234,866,15,57,11
235,877,2,438,1
236,878,5,175,3
237,881,3,293,2
238,883,4,220,3
239,886,3,295,1
240,887,12,73,11
241,898,127,7,9
242,907,7,129,4
243,911,4,227,3
244,914,9,101,5
245,919,4,229,3
246,922,6,153,4
247,926,13,71,3
248,929,6,154,5
