n,a,k,L,d
1,30,18,1,12
2,42,24,1,18
3,60,9,6,6
4,66,31,2,4
5,70,31,2,8
6,78,8,9,6
7,84,13,6,6
8,90,13,6,12
9,102,9,11,3
10,105,10,10,5
11,110,53,2,4
12,114,9,12,6
13,120,19,6,6
14,126,61,2,4
15,130,4,32,2
16,132,7,18,6
17,138,4,34,2
18,140,13,10,10
19,150,73,2,4
20,154,4,38,2
21,156,21,7,9
22,165,6,27,3
23,168,83,2,2
24,170,83,2,4
25,174,7,24,6
26,180,89,2,2
27,182,89,2,4
28,186,7,26,4
29,190,37,5,5
30,195,4,48,3
31,198,8,24,6
32,204,9,22,6
33,210,20,10,10
34,220,109,2,2
35,222,8,27,6
36,228,113,2,2
37,230,229,1,1
38,231,4,57,3
39,234,5,46,4
40,238,4,59,2
41,240,9,26,6
42,246,8,30,6
43,252,83,3,3
44,255,4,63,3
45,258,4,64,2
46,260,8,32,4
47,264,131,2,2
48,266,131,2,4
49,270,89,3,3
50,273,5,54,3
51,276,8,34,4
52,280,139,2,2
53,282,9,31,3
54,285,2,142,1
55,286,6,47,4
56,290,11,26,4
57,294,8,36,6
58,300,7,42,6
59,306,4,76,2
60,308,3,102,2
61,310,4,77,2
62,312,103,3,3
63,315,4,78,3
64,318,157,2,4
65,322,157,2,8
66,330,9,36,6
67,336,83,4,4
68,340,13,26,2
69,342,113,3,3
70,345,6,57,3
71,348,173,2,2
72,350,173,2,4
73,354,9,39,3
74,357,6,59,3
75,360,89,4,4
76,364,181,2,2
77,366,181,2,4
78,370,4,92,2
79,372,5,74,2
80,374,5,74,4
81,378,4,94,2
82,380,15,25,5
83,385,10,38,5
84,390,8,48,6
85,396,131,3,3
86,399,4,99,3
87,402,199,2,4
88,406,4,101,2
89,408,7,58,2
90,410,7,58,4
91,414,5,82,4
92,418,4,104,2
93,420,9,46,6
94,426,9,47,3
95,429,2,214,1
96,430,6,71,4
97,434,433,1,1
98,435,4,108,3
99,438,4,109,2
100,440,3,146,2
101,442,4,110,2
102,444,73,6,6
103,450,89,5,5
104,455,2,227,1
105,456,113,4,4
106,460,229,2,2
107,462,9,51,3
108,465,6,77,3
109,468,233,2,2
110,470,233,2,4
111,474,4,118,2
112,476,8,59,4
113,480,9,53,3
114,483,14,34,7
115,490,4,122,2
116,492,5,98,2
117,494,17,29,1
118,495,4,123,3
119,498,12,41,6
120,504,251,2,2
121,506,251,2,4
122,510,7,72,6
123,516,257,2,2
124,518,3,172,2
125,520,7,74,2
126,522,173,3,3
127,525,6,87,3
128,528,263,2,2
129,530,3,176,2
130,532,5,106,2
131,534,8,66,6
132,540,89,6,6
133,546,271,2,4
134,550,4,137,2
135,552,9,61,3
136,555,4,138,3
137,558,4,139,2
138,560,13,43,1
139,561,6,93,3
140,564,9,62,6
141,570,4,142,2
142,572,3,190,2
143,574,8,71,6
144,580,17,34,2
145,582,193,3,3
146,585,6,97,3
147,588,293,2,2
148,590,293,2,4
149,594,593,1,1
150,595,4,148,3
151,598,4,149,2
152,600,13,46,2
153,602,13,46,4
154,606,9,67,3
155,609,2,304,1
156,610,4,152,2
157,612,7,87,3
158,615,2,307,1
159,616,307,2,2
160,618,4,154,2
161,620,7,88,4
162,624,9,69,3
163,627,4,156,3
164,630,8,78,6
165,636,317,2,2
166,638,317,2,4
167,642,4,160,2
168,644,643,1,1
169,645,2,322,1
170,646,6,107,4
171,650,11,59,1
172,651,4,162,3
173,654,5,130,4
174,658,4,164,2
175,660,9,73,3
176,663,661,1,2
177,665,2,332,1
178,666,331,2,4
179,670,4,167,2
180,672,9,74,6
181,678,4,169,2
182,680,3,226,2
183,682,4,170,2
184,684,113,6,6
185,690,229,3,3
186,693,5,138,3
187,696,173,4,4
188,700,349,2,2
189,702,233,3,3
190,705,6,117,3
191,708,353,2,2
192,710,353,2,4
193,714,23,31,1
194,715,10,71,5
195,720,7,102,6
196,726,4,181,2
197,728,3,242,2
198,730,4,182,2
199,732,9,81,3
200,735,4,183,3
201,738,4,184,2
202,740,739,1,1
203,741,2,370,1
204,742,4,185,2
205,744,5,148,4
206,748,373,2,2
207,750,373,2,4
208,754,4,188,2
209,756,251,3,3
210,759,2,379,1
211,760,379,2,2
212,762,11,69,3
213,765,8,95,5
214,770,383,2,4
215,774,257,3,3
216,777,6,129,3
217,780,389,2,2
218,782,389,2,4
219,786,17,46,4
220,790,4,197,2
221,792,263,3,3
222,795,4,198,3
223,798,8,99,6
224,804,11,73,1
225,805,2,402,1
226,806,401,2,4
227,810,4,202,2
228,812,3,270,2
229,814,4,203,2
230,816,271,3,3
231,819,2,409,1
232,820,409,2,2
233,822,7,117,3
234,825,2,412,1
235,826,4,206,2
236,828,7,118,2
237,830,7,118,4
238,834,4,208,2
239,836,8,104,4
240,840,139,6,6
241,846,421,2,4
242,850,4,212,2
243,852,5,170,2
244,854,853,1,1
245,855,4,213,3
246,858,4,214,2
247,860,859,1,1
248,861,14,61,7
249,868,433,2,2
250,870,433,2,4
251,874,4,218,2
252,876,8,109,4
253,880,439,2,2
254,882,4,220,2
