n,a,k,L,d
1,1,0,0,2
2,3,2,1,1
3,4,0,0,2
4,6,4,1,2
5,8,7,1,1
6,9,7,1,2
7,11,2,5,1
8,12,5,2,2
9,14,3,4,2
10,16,3,5,1
11,17,3,5,2
12,19,17,1,2
13,21,2,10,1
14,22,4,5,2
15,24,23,1,1
16,25,23,1,2
17,27,5,5,2
18,29,2,14,1
19,30,4,7,2
20,32,31,1,1
21,33,31,1,2
22,35,3,11,2
23,37,2,18,1
24,38,3,12,2
25,40,19,2,2
26,42,41,1,1
27,43,41,1,2
28,45,2,22,1
29,46,4,11,2
30,48,23,2,2
31,50,7,7,1
32,51,7,7,2
33,53,3,17,2
34,55,2,27,1
35,56,3,18,2
36,58,3,19,1
37,59,3,19,2
38,61,59,1,2
39,63,2,31,1
40,64,31,2,2
41,66,5,13,1
42,67,5,13,2
43,69,67,1,2
44,71,2,35,1
45,72,5,14,2
46,74,3,24,2
47,76,3,25,1
48,77,3,25,2
49,79,2,39,1
50,80,3,26,2
51,82,4,20,2
52,84,83,1,1
53,85,83,1,2
54,87,2,43,1
55,88,43,2,2
56,90,4,22,2
57,92,7,13,1
58,93,7,13,2
59,95,3,31,2
60,97,2,48,1
61,98,3,32,2
62,100,3,33,1
63,101,3,33,2
64,103,101,1,2
65,105,2,52,1
66,106,4,26,2
67,108,53,2,2
68,110,109,1,1
69,111,109,1,2
70,113,2,56,1
71,114,4,28,2
72,116,3,38,2
73,118,3,39,1
74,119,3,39,2
75,121,2,60,1
76,122,3,40,2
77,124,61,2,2
78,126,5,25,1
79,127,5,25,2
80,129,127,1,2
81,131,2,65,1
82,132,5,26,2
83,134,7,19,1
84,135,7,19,2
85,137,3,45,2
86,139,2,69,1
87,140,3,46,2
88,142,4,35,2
89,144,11,13,1
90,145,11,13,2
91,147,2,73,1
92,148,73,2,2
93,150,4,37,2
94,152,151,1,1
95,153,151,1,2
96,155,2,77,1
97,156,7,22,2
98,158,3,52,2
99,160,3,53,1
100,161,3,53,2
101,163,7,23,2
102,165,2,82,1
103,166,4,41,2
104,168,167,1,1
105,169,167,1,2
106,171,13,13,2
107,173,2,86,1
108,174,4,43,2
109,176,5,35,1
110,177,5,35,2
111,179,3,59,2
112,181,2,90,1
113,182,3,60,2
114,184,7,26,2
115,186,5,37,1
116,187,5,37,2
117,189,2,94,1
118,190,4,47,2
119,192,5,38,2
120,194,193,1,1
121,195,193,1,2
122,197,3,65,2
123,199,2,99,1
124,200,3,66,2
125,202,3,67,1
126,203,3,67,2
127,205,7,29,2
128,207,2,103,1
129,208,103,2,2
130,210,11,19,1
131,211,11,19,2
132,213,211,1,2
133,215,2,107,1
134,216,107,2,2
135,218,3,72,2
136,220,3,73,1
137,221,3,73,2
138,223,2,111,1
139,224,3,74,2
140,226,4,56,2
141,228,227,1,1
142,229,227,1,2
143,231,2,115,1
144,232,5,46,2
145,234,4,58,2
146,236,5,47,1
147,237,5,47,2
148,239,3,79,2
149,241,2,120,1
150,242,3,80,2
151,244,3,81,1
152,245,3,81,2
153,247,5,49,2
154,249,2,124,1
155,250,4,62,2
156,252,5,50,2
157,254,11,23,1
158,255,11,23,2
159,257,2,128,1
160,258,4,64,2
161,260,3,86,2
162,262,3,87,1
163,263,3,87,2
164,265,2,132,1
165,266,3,88,2
166,268,7,38,2
167,270,269,1,1
168,271,269,1,2
169,273,271,1,2
170,275,2,137,1
171,276,137,2,2
172,278,277,1,1
173,279,277,1,2
174,281,3,93,2
175,283,2,141,1
176,284,3,94,2
177,286,4,71,2
178,288,7,41,1
179,289,7,41,2
180,291,2,145,1
181,292,5,58,2
182,294,4,73,2
183,296,5,59,1
184,297,5,59,2
185,299,2,149,1
186,300,149,2,2
187,302,3,100,2
188,304,3,101,1
189,305,3,101,2
190,307,5,61,2
191,309,2,154,1
192,310,4,77,2
193,312,311,1,1
194,313,311,1,2
195,315,313,1,2
196,317,2,158,1
197,318,4,79,2
198,320,11,29,1
199,321,11,29,2
200,323,3,107,2
201,325,2,162,1
202,326,3,108,2
203,328,163,2,2
204,330,7,47,1
205,331,7,47,2
206,333,2,166,1
207,334,4,83,2
208,336,167,2,2
209,338,337,1,1
210,339,337,1,2
211,341,3,113,2
212,343,2,171,1
213,344,3,114,2
214,346,3,115,1
215,347,3,115,2
216,349,347,1,2
217,351,2,175,1
218,352,5,70,2
219,354,353,1,1
220,355,353,1,2
221,357,5,71,2
222,359,2,179,1
223,360,179,2,2
224,362,3,120,2
225,364,3,121,1
226,365,3,121,2
227,367,2,183,1
228,368,3,122,2
229,370,4,92,2
230,372,7,53,1
231,373,7,53,2
232,375,373,1,2
233,377,2,188,1
234,378,4,94,2
235,380,379,1,1
236,381,379,1,2
237,383,3,127,2
238,385,2,192,1
239,386,3,128,2
240,388,3,129,1
241,389,3,129,2
242,391,389,1,2
243,393,2,196,1
244,394,4,98,2
245,396,197,2,2
246,398,397,1,1
247,399,397,1,2
248,401,2,200,1
249,402,4,100,2
250,404,3,134,2
251,406,3,135,1
252,407,3,135,2
253,409,2,204,1
254,410,3,136,2
255,412,5,82,2
256,414,7,59,1
257,415,7,59,2
258,417,5,83,2
259,419,2,209,1
260,420,11,38,2
261,422,421,1,1
262,423,421,1,2
263,425,3,141,2
264,427,2,213,1
265,428,3,142,2
266,430,4,107,2
267,432,431,1,1
268,433,431,1,2
269,435,2,217,1
270,436,7,62,2
271,438,4,109,2
272,440,439,1,1
273,441,439,1,2
274,443,2,221,1
275,444,13,34,2
276,446,3,148,2
277,448,3,149,1
278,449,3,149,2
279,451,449,1,2
280,453,2,226,1
281,454,4,113,2
282,456,5,91,1
283,457,5,91,2
284,459,457,1,2
285,461,2,230,1
286,462,4,115,2
287,464,463,1,1
288,465,463,1,2
289,467,3,155,2
290,469,2,234,1
291,470,3,156,2
292,472,5,94,2
293,474,11,43,1
294,475,11,43,2
295,477,2,238,1
296,478,4,119,2
297,480,239,2,2
298,482,13,37,1
299,483,13,37,2
300,485,3,161,2
301,487,2,243,1
302,488,3,162,2
303,490,3,163,1
304,491,3,163,2
305,493,491,1,2
306,495,2,247,1
307,496,13,38,2
308,498,7,71,1
309,499,7,71,2
310,501,499,1,2
311,503,2,251,1
312,504,251,2,2
313,506,3,168,2
314,508,3,169,1
315,509,3,169,2
316,511,2,255,1
317,512,3,170,2
318,514,4,128,2
319,516,5,103,1
320,517,5,103,2
321,519,11,47,2
322,521,2,260,1
323,522,4,130,2
324,524,523,1,1
325,525,523,1,2
326,527,3,175,2
327,529,2,264,1
328,530,3,176,2
329,532,3,177,1
330,533,3,177,2
331,535,13,41,2
332,537,2,268,1
333,538,4,134,2
334,540,269,2,2
335,542,541,1,1
336,543,541,1,2
337,545,2,272,1
338,546,4,136,2
339,548,3,182,2
340,550,3,183,1
341,551,3,183,2
342,553,2,276,1
343,554,3,184,2
344,556,277,2,2
345,558,557,1,1
346,559,557,1,2
347,561,13,43,2
348,563,2,281,1
349,564,281,2,2
350,566,5,113,1
351,567,5,113,2
352,569,3,189,2
353,571,2,285,1
354,572,3,190,2
355,574,4,143,2
356,576,5,115,1
357,577,5,115,2
358,579,2,289,1
359,580,17,34,2
360,582,4,145,2
361,584,11,53,1
362,585,11,53,2
363,587,2,293,1
364,588,293,2,2
365,590,3,196,2
366,592,3,197,1
367,593,3,197,2
368,595,593,1,2
369,597,2,298,1
370,598,4,149,2
371,600,599,1,1
372,601,599,1,2
373,603,601,1,2
374,605,2,302,1
375,606,4,151,2
376,608,607,1,1
377,609,607,1,2
378,611,3,203,2
379,613,2,306,1
380,614,3,204,2
381,616,307,2,2
382,618,617,1,1
383,619,617,1,2
384,621,2,310,1
