n,a,k,L,d
1,0,0,0,1
2,1,0,0,2
3,3,2,1,1
4,4,0,0,3
5,7,5,1,2
6,9,6,1,3
7,12,11,1,1
8,13,5,2,3
9,16,13,1,3
10,19,17,1,2
11,21,17,1,4
12,25,23,1,2
13,27,2,13,1
14,28,5,5,3
15,31,13,2,5
16,36,5,7,1
17,37,5,7,2
18,39,5,7,4
19,43,19,2,5
20,48,47,1,1
21,49,23,2,3
22,52,47,1,5
23,57,53,1,4
24,61,59,1,2
25,63,2,31,1
26,64,61,1,3
27,67,61,1,6
28,73,71,1,2
29,75,2,37,1
30,76,73,1,3
31,79,7,11,2
32,81,6,13,3
33,84,11,7,7
34,91,89,1,2
35,93,89,1,4
36,97,47,2,3
37,100,97,1,3
38,103,7,14,5
39,108,107,1,1
40,109,107,1,2
41,111,2,55,1
42,112,107,1,5
43,117,113,1,4
44,121,59,2,3
45,124,11,11,3
46,127,5,25,2
47,129,5,25,4
48,133,127,1,6
49,139,67,2,5
50,144,47,3,3
51,147,2,73,1
52,148,5,29,3
53,151,73,2,5
54,156,5,31,1
55,157,151,1,6
56,163,157,1,6
57,169,167,1,2
58,171,2,85,1
59,172,13,13,3
60,175,13,13,6
61,181,179,1,2
62,183,59,3,6
63,189,6,31,3
64,192,191,1,1
65,193,5,38,3
66,196,193,1,3
67,199,197,1,2
68,201,97,2,7
69,208,5,41,3
70,211,41,5,6
71,217,5,43,2
72,219,5,43,4
73,223,13,17,2
74,225,6,37,3
75,228,227,1,1
76,229,13,17,8
77,237,233,1,4
78,241,239,1,2
79,243,2,121,1
80,244,241,1,3
81,247,11,22,5
82,252,8,31,4
83,256,11,23,3
84,259,10,25,9
85,268,5,53,3
86,271,269,1,2
87,273,269,1,4
88,277,5,55,2
89,279,5,55,4
90,283,277,1,6
91,289,7,41,2
92,291,2,145,1
93,292,71,4,8
94,300,13,23,1
95,301,149,2,3
96,304,7,43,3
97,307,5,61,2
98,309,5,61,4
99,313,5,62,3
100,316,11,28,8
101,324,17,19,1
102,325,17,19,2
103,327,17,19,4
104,331,7,47,2
105,333,5,66,3
106,336,5,67,1
107,337,331,1,6
108,343,337,1,6
109,349,347,1,2
110,351,11,31,10
111,361,359,1,2
112,363,2,181,1
113,364,19,19,3
114,367,181,2,5
115,372,7,53,1
116,373,367,1,6
117,379,13,29,2
118,381,15,25,6
119,387,2,193,1
120,388,379,1,9
121,397,5,79,2
122,399,2,199,1
123,400,397,1,3
124,403,397,1,6
125,409,7,58,3
126,412,11,37,5
127,417,7,59,4
128,421,83,5,6
129,427,211,2,5
130,432,431,1,1
131,433,5,86,3
