n,a,k,L,d
1,1,0,0,1
2,2,0,0,1
3,3,0,0,2
4,5,3,1,2
5,7,0,0,4
6,11,3,3,2
7,13,11,1,2
8,15,13,1,2
9,17,3,5,2
10,19,5,3,4
11,23,17,1,6
12,29,3,9,2
13,31,29,1,2
14,33,31,1,2
15,35,3,11,2
16,37,11,3,4
17,41,3,13,2
18,43,13,3,4
19,47,43,1,4
20,51,7,7,2
21,53,47,1,6
22,59,3,19,2
23,61,19,3,4
24,65,3,21,2
25,67,5,13,2
26,69,67,1,2
27,71,3,23,2
28,73,23,3,4
29,77,3,25,2
30,79,5,15,4
31,83,3,27,2
32,85,83,1,2
33,87,5,17,2
34,89,3,29,2
35,91,29,3,4
36,95,3,31,2
37,97,31,3,4
38,101,3,33,2
39,103,9,11,4
40,107,3,35,2
41,109,5,21,4
42,113,3,37,2
43,115,37,3,4
44,119,5,23,4
45,123,7,17,4
46,127,41,3,4
47,131,3,43,2
48,133,43,3,4
49,137,3,45,2
50,139,137,1,2
51,141,139,1,2
52,143,3,47,2
53,145,47,3,4
54,149,3,49,2
55,151,29,5,6
56,157,5,31,2
57,159,157,1,2
58,161,3,53,2
59,163,53,3,4
60,167,7,23,6
61,173,13,13,4
62,177,5,35,2
63,179,3,59,2
64,181,59,3,4
65,185,3,61,2
66,187,61,3,4
67,191,3,63,2
68,193,7,27,4
69,197,3,65,2
70,199,21,9,10
71,209,3,69,2
72,211,11,19,2
73,213,211,1,2
74,215,3,71,2
75,217,71,3,4
76,221,3,73,2
77,223,73,3,4
78,227,3,75,2
79,229,5,45,4
80,233,3,77,2
81,235,7,33,4
82,239,3,79,2
83,241,47,5,6
84,247,5,49,2
85,249,13,19,2
86,251,13,19,4
87,255,11,23,2
88,257,3,85,2
89,259,5,51,4
90,263,3,87,2
91,265,263,1,2
92,267,5,53,2
93,269,3,89,2
94,271,53,5,6
95,277,7,39,4
96,281,3,93,2
97,283,9,31,4
98,287,281,1,6
99,293,3,97,2
100,295,97,3,4
101,299,5,59,4
102,303,13,23,4
103,307,101,3,4
104,311,3,103,2
105,313,103,3,4
106,317,3,105,2
107,319,317,1,2
108,321,11,29,2
109,323,317,1,6
110,329,3,109,2
111,331,109,3,4
112,335,3,111,2
113,337,5,67,2
114,339,337,1,2
115,341,337,1,4
116,345,7,49,2
117,347,3,115,2
118,349,5,69,4
119,353,347,1,6
120,359,353,1,6
121,365,3,121,2
122,367,11,33,4
123,371,3,123,2
124,373,9,41,4
125,377,3,125,2
126,379,5,75,4
127,383,13,29,6
128,389,3,129,2
129,391,389,1,2
130,393,17,23,2
131,395,3,131,2
132,397,131,3,4
