n,a,k,L,d
1,2,0,0,1
2,3,0,0,2
3,5,2,2,1
4,6,5,1,1
5,7,2,3,1
6,8,3,2,2
7,10,3,3,1
8,11,2,5,1
9,12,11,1,1
10,13,2,6,1
11,14,13,1,1
12,15,13,1,2
13,17,2,8,1
14,18,17,1,1
15,19,2,9,1
16,20,19,1,1
17,21,2,10,1
18,22,3,7,1
19,23,2,11,1
20,24,11,2,2
21,26,5,5,1
22,27,2,13,1
23,28,3,9,1
24,29,2,14,1
25,30,29,1,1
26,31,2,15,1
27,32,31,1,1
28,33,2,16,1
29,34,3,11,1
30,35,3,11,2
31,37,2,18,1
32,38,37,1,1
33,39,2,19,1
34,40,3,13,1
35,41,2,20,1
36,42,41,1,1
37,43,2,21,1
38,44,43,1,1
39,45,2,22,1
40,46,3,15,1
41,47,2,23,1
42,48,23,2,2
43,50,7,7,1
44,51,2,25,1
45,52,3,17,1
46,53,2,26,1
47,54,53,1,1
48,55,2,27,1
49,56,5,11,1
50,57,2,28,1
51,58,3,19,1
52,59,2,29,1
53,60,59,1,1
54,61,2,30,1
55,62,61,1,1
56,63,61,1,2
57,65,2,32,1
58,66,5,13,1
59,67,2,33,1
60,68,67,1,1
61,69,2,34,1
62,70,3,23,1
63,71,2,35,1
64,72,71,1,1
65,73,2,36,1
66,74,73,1,1
67,75,2,37,1
68,76,3,25,1
69,77,2,38,1
70,78,7,11,1
71,79,2,39,1
72,80,3,26,2
73,82,3,27,1
74,83,2,41,1
75,84,83,1,1
76,85,2,42,1
77,86,5,17,1
78,87,2,43,1
79,88,3,29,1
80,89,2,44,1
81,90,89,1,1
82,91,2,45,1
83,92,7,13,1
84,93,2,46,1
85,94,3,31,1
86,95,2,47,1
87,96,5,19,1
88,97,2,48,1
89,98,97,1,1
90,99,97,1,2
91,101,2,50,1
92,102,101,1,1
93,103,2,51,1
94,104,103,1,1
95,105,2,52,1
96,106,3,35,1
97,107,2,53,1
98,108,107,1,1
99,109,2,54,1
100,110,109,1,1
101,111,2,55,1
102,112,3,37,1
103,113,2,56,1
104,114,113,1,1
105,115,2,57,1
106,116,5,23,1
107,117,2,58,1
108,118,3,39,1
109,119,2,59,1
110,120,59,2,2
111,122,11,11,1
112,123,2,61,1
113,124,3,41,1
114,125,2,62,1
115,126,5,25,1
116,127,2,63,1
117,128,127,1,1
118,129,2,64,1
119,130,3,43,1
120,131,2,65,1
121,132,131,1,1
122,133,2,66,1
123,134,7,19,1
124,135,2,67,1
125,136,3,45,1
126,137,2,68,1
127,138,137,1,1
128,139,2,69,1
129,140,139,1,1
130,141,2,70,1
131,142,3,47,1
132,143,3,47,2
133,145,2,72,1
134,146,5,29,1
135,147,2,73,1
136,148,3,49,1
137,149,2,74,1
138,150,149,1,1
139,151,2,75,1
140,152,151,1,1
141,153,2,76,1
142,154,3,51,1
143,155,2,77,1
144,156,5,31,1
145,157,2,78,1
146,158,157,1,1
147,159,2,79,1
148,160,3,53,1
149,161,2,80,1
150,162,7,23,1
151,163,2,81,1
152,164,163,1,1
153,165,2,82,1
154,166,3,55,1
155,167,2,83,1
156,168,83,2,2
157,170,13,13,1
158,171,2,85,1
159,172,3,57,1
160,173,2,86,1
161,174,173,1,1
162,175,2,87,1
163,176,5,35,1
164,177,2,88,1
165,178,3,59,1
166,179,2,89,1
167,180,179,1,1
168,181,2,90,1
169,182,181,1,1
170,183,2,91,1
171,184,3,61,1
172,185,2,92,1
173,186,5,37,1
174,187,2,93,1
175,188,11,17,1
176,189,2,94,1
177,190,3,63,1
178,191,2,95,1
179,192,191,1,1
180,193,2,96,1
181,194,193,1,1
182,195,193,1,2
183,197,2,98,1
184,198,197,1,1
185,199,2,99,1
186,200,199,1,1
187,201,2,100,1
188,202,3,67,1
189,203,2,101,1
190,204,7,29,1
191,205,2,102,1
192,206,5,41,1
193,207,2,103,1
194,208,3,69,1
195,209,2,104,1
196,210,11,19,1
197,211,2,105,1
198,212,211,1,1
199,213,2,106,1
200,214,3,71,1
201,215,2,107,1
202,216,5,43,1
203,217,2,108,1
204,218,7,31,1
205,219,2,109,1
206,220,3,73,1
207,221,2,110,1
208,222,13,17,1
209,223,2,111,1
210,224,3,74,2
211,226,3,75,1
212,227,2,113,1
213,228,227,1,1
214,229,2,114,1
215,230,229,1,1
216,231,2,115,1
217,232,3,77,1
218,233,2,116,1
219,234,233,1,1
220,235,2,117,1
221,236,5,47,1
222,237,2,118,1
223,238,3,79,1
224,239,2,119,1
225,240,239,1,1
226,241,2,120,1
227,242,241,1,1
228,243,2,121,1
229,244,3,81,1
230,245,2,122,1
231,246,5,49,1
232,247,2,123,1
233,248,13,19,1
234,249,2,124,1
235,250,3,83,1
236,251,2,125,1
237,252,251,1,1
238,253,2,126,1
239,254,11,23,1
240,255,11,23,2
241,257,2,128,1
242,258,257,1,1
243,259,2,129,1
244,260,7,37,1
245,261,2,130,1
246,262,3,87,1
247,263,2,131,1
248,264,263,1,1
249,265,2,132,1
250,266,5,53,1
251,267,2,133,1
252,268,3,89,1
253,269,2,134,1
254,270,269,1,1
255,271,2,135,1
256,272,271,1,1
257,273,2,136,1
258,274,3,91,1
259,275,2,137,1
260,276,5,55,1
261,277,2,138,1
262,278,277,1,1
263,279,2,139,1
264,280,3,93,1
265,281,2,140,1
266,282,281,1,1
267,283,2,141,1
268,284,283,1,1
269,285,2,142,1
270,286,3,95,1
271,287,2,143,1
272,288,11,26,2
273,290,17,17,1
274,291,2,145,1
275,292,3,97,1
276,293,2,146,1
277,294,293,1,1
278,295,2,147,1
279,296,5,59,1
280,297,2,148,1
281,298,3,99,1
282,299,2,149,1
283,300,13,23,1
284,301,2,150,1
285,302,7,43,1
286,303,2,151,1
287,304,3,101,1
288,305,2,152,1
289,306,5,61,1
290,307,2,153,1
291,308,307,1,1
292,309,2,154,1
293,310,3,103,1
294,311,2,155,1
295,312,311,1,1
296,313,2,156,1
297,314,313,1,1
298,315,2,157,1
299,316,3,105,1
300,317,2,158,1
301,318,317,1,1
302,319,2,159,1
303,320,11,29,1
304,321,2,160,1
305,322,3,107,1
306,323,3,107,2
307,325,2,162,1
308,326,5,65,1
309,327,2,163,1
310,328,3,109,1
311,329,2,164,1
312,330,7,47,1
313,331,2,165,1
314,332,331,1,1
315,333,2,166,1
316,334,3,111,1
317,335,2,167,1
318,336,5,67,1
319,337,2,168,1
320,338,337,1,1
321,339,2,169,1
322,340,3,113,1
323,341,2,170,1
324,342,11,31,1
325,343,2,171,1
326,344,7,49,1
327,345,2,172,1
328,346,3,115,1
329,347,2,173,1
330,348,347,1,1
331,349,2,174,1
332,350,349,1,1
333,351,2,175,1
334,352,3,117,1
335,353,2,176,1
336,354,353,1,1
337,355,2,177,1
338,356,5,71,1
339,357,2,178,1
340,358,3,119,1
341,359,2,179,1
342,360,179,2,2
343,362,19,19,1
344,363,2,181,1
345,364,3,121,1
346,365,2,182,1
347,366,5,73,1
348,367,2,183,1
349,368,367,1,1
350,369,2,184,1
351,370,3,123,1
352,371,2,185,1
353,372,7,53,1
354,373,2,186,1
355,374,373,1,1
356,375,2,187,1
357,376,3,125,1
358,377,2,188,1
359,378,13,29,1
360,379,2,189,1
361,380,379,1,1
362,381,2,190,1
363,382,3,127,1
364,383,2,191,1
365,384,383,1,1
366,385,2,192,1
367,386,5,77,1
368,387,2,193,1
369,388,3,129,1
370,389,2,194,1
371,390,389,1,1
372,391,2,195,1
373,392,17,23,1
374,393,2,196,1
375,394,3,131,1
376,395,2,197,1
377,396,5,79,1
378,397,2,198,1
379,398,397,1,1
380,399,397,1,2
381,401,2,200,1
382,402,401,1,1
383,403,2,201,1
384,404,13,31,1
385,405,2,202,1
386,406,3,135,1
387,407,2,203,1
388,408,11,37,1
389,409,2,204,1
390,410,409,1,1
391,411,2,205,1
392,412,3,137,1
393,413,2,206,1
394,414,7,59,1
395,415,2,207,1
396,416,5,83,1
397,417,2,208,1
398,418,3,139,1
399,419,2,209,1
400,420,419,1,1
401,421,2,210,1
402,422,421,1,1
403,423,2,211,1
404,424,3,141,1
405,425,2,212,1
406,426,5,85,1
407,427,2,213,1
408,428,7,61,1
409,429,2,214,1
410,430,3,143,1
411,431,2,215,1
412,432,431,1,1
413,433,2,216,1
414,434,433,1,1
415,435,2,217,1
416,436,3,145,1
417,437,2,218,1
418,438,19,23,1
419,439,2,219,1
420,440,3,146,2
421,442,3,147,1
422,443,2,221,1
423,444,443,1,1
424,445,2,222,1
425,446,5,89,1
426,447,2,223,1
427,448,3,149,1
428,449,2,224,1
429,450,449,1,1
430,451,2,225,1
431,452,11,41,1
432,453,2,226,1
433,454,3,151,1
434,455,2,227,1
435,456,5,91,1
436,457,2,228,1
437,458,457,1,1
438,459,2,229,1
439,460,3,153,1
440,461,2,230,1
