n,a,k,L,d
1,0,0,0,1
2,1,0,0,1
3,2,0,0,1
4,3,2,1,1
5,4,3,1,1
6,5,2,2,1
7,6,4,1,2
8,8,7,1,1
9,9,2,4,1
10,10,3,3,1
11,11,2,5,1
12,12,11,1,1
13,13,2,6,1
14,14,3,4,2
15,16,3,5,1
16,17,2,8,1
17,18,17,1,1
18,19,2,9,1
19,20,19,1,1
20,21,2,10,1
21,22,4,5,2
22,24,23,1,1
23,25,2,12,1
24,26,5,5,1
25,27,5,5,2
26,29,2,14,1
27,30,4,7,2
28,32,31,1,1
29,33,2,16,1
30,34,3,11,1
31,35,2,17,1
32,36,5,7,1
33,37,2,18,1
34,38,3,12,2
35,40,3,13,1
36,41,2,20,1
37,42,41,1,1
38,43,2,21,1
39,44,43,1,1
40,45,2,22,1
41,46,4,11,2
42,48,47,1,1
43,49,2,24,1
44,50,7,7,1
45,51,2,25,1
46,52,3,17,1
47,53,2,26,1
48,54,4,13,2
49,56,5,11,1
50,57,2,28,1
51,58,3,19,1
52,59,3,19,2
53,61,2,30,1
54,62,3,20,2
55,64,3,21,1
56,65,2,32,1
57,66,5,13,1
58,67,2,33,1
59,68,67,1,1
60,69,2,34,1
61,70,4,17,2
62,72,71,1,1
63,73,2,36,1
64,74,73,1,1
65,75,2,37,1
66,76,3,25,1
67,77,2,38,1
68,78,4,19,2
69,80,79,1,1
70,81,2,40,1
71,82,3,27,1
72,83,2,41,1
73,84,83,1,1
74,85,2,42,1
75,86,3,28,2
76,88,3,29,1
77,89,2,44,1
78,90,89,1,1
79,91,89,1,2
80,93,2,46,1
81,94,4,23,2
82,96,5,19,1
83,97,2,48,1
84,98,97,1,1
85,99,2,49,1
86,100,3,33,1
87,101,2,50,1
88,102,4,25,2
89,104,103,1,1
90,105,2,52,1
91,106,3,35,1
92,107,2,53,1
93,108,107,1,1
94,109,2,54,1
95,110,107,1,3
96,113,2,56,1
97,114,113,1,1
98,115,2,57,1
99,116,5,23,1
100,117,2,58,1
101,118,4,29,2
102,120,7,17,1
103,121,2,60,1
104,122,11,11,1
105,123,11,11,2
106,125,2,62,1
107,126,4,31,2
108,128,127,1,1
109,129,2,64,1
110,130,3,43,1
111,131,2,65,1
112,132,131,1,1
113,133,2,66,1
114,134,3,44,2
115,136,3,45,1
116,137,2,68,1
117,138,137,1,1
118,139,2,69,1
119,140,139,1,1
120,141,2,70,1
121,142,4,35,2
122,144,11,13,1
123,145,2,72,1
124,146,5,29,1
125,147,2,73,1
126,148,3,49,1
127,149,2,74,1
128,150,4,37,2
129,152,151,1,1
130,153,2,76,1
131,154,3,51,1
132,155,3,51,2
133,157,2,78,1
134,158,3,52,2
135,160,3,53,1
136,161,2,80,1
137,162,7,23,1
138,163,2,81,1
139,164,163,1,1
140,165,2,82,1
141,166,4,41,2
142,168,167,1,1
143,169,2,84,1
144,170,13,13,1
145,171,2,85,1
146,172,3,57,1
147,173,2,86,1
148,174,4,43,2
149,176,5,35,1
150,177,2,88,1
151,178,3,59,1
152,179,2,89,1
153,180,179,1,1
154,181,2,90,1
155,182,3,60,2
156,184,3,61,1
157,185,2,92,1
158,186,5,37,1
159,187,5,37,2
160,189,2,94,1
161,190,4,47,2
162,192,191,1,1
163,193,2,96,1
164,194,193,1,1
165,195,2,97,1
166,196,3,65,1
167,197,2,98,1
168,198,4,49,2
169,200,199,1,1
170,201,2,100,1
171,202,3,67,1
172,203,2,101,1
173,204,7,29,1
174,205,2,102,1
175,206,3,68,2
176,208,3,69,1
177,209,2,104,1
178,210,11,19,1
179,211,2,105,1
180,212,211,1,1
181,213,2,106,1
182,214,4,53,2
183,216,5,43,1
184,217,2,108,1
185,218,7,31,1
186,219,7,31,2
187,221,2,110,1
188,222,4,55,2
189,224,223,1,1
190,225,2,112,1
191,226,3,75,1
192,227,2,113,1
193,228,227,1,1
194,229,2,114,1
195,230,3,76,2
196,232,3,77,1
197,233,2,116,1
198,234,233,1,1
199,235,2,117,1
200,236,5,47,1
201,237,2,118,1
202,238,5,47,3
203,241,2,120,1
204,242,241,1,1
205,243,2,121,1
206,244,3,81,1
207,245,2,122,1
208,246,4,61,2
209,248,13,19,1
210,249,2,124,1
211,250,3,83,1
212,251,3,83,2
213,253,2,126,1
214,254,3,84,2
215,256,3,85,1
216,257,2,128,1
217,258,257,1,1
218,259,2,129,1
219,260,7,37,1
220,261,2,130,1
221,262,4,65,2
222,264,263,1,1
223,265,2,132,1
224,266,5,53,1
225,267,2,133,1
226,268,3,89,1
227,269,2,134,1
228,270,4,67,2
229,272,271,1,1
230,273,2,136,1
231,274,3,91,1
232,275,2,137,1
233,276,5,55,1
234,277,2,138,1
235,278,3,92,2
236,280,3,93,1
237,281,2,140,1
238,282,281,1,1
239,283,281,1,2
240,285,2,142,1
241,286,4,71,2
242,288,7,41,1
243,289,2,144,1
244,290,17,17,1
245,291,2,145,1
246,292,3,97,1
247,293,2,146,1
248,294,4,73,2
249,296,5,59,1
250,297,2,148,1
251,298,3,99,1
252,299,2,149,1
253,300,13,23,1
254,301,2,150,1
255,302,3,100,2
256,304,3,101,1
257,305,2,152,1
258,306,5,61,1
259,307,2,153,1
260,308,307,1,1
261,309,2,154,1
262,310,4,77,2
263,312,311,1,1
264,313,2,156,1
265,314,313,1,1
266,315,313,1,2
267,317,2,158,1
268,318,4,79,2
269,320,11,29,1
270,321,2,160,1
271,322,3,107,1
272,323,2,161,1
273,324,17,19,1
274,325,2,162,1
275,326,3,108,2
276,328,3,109,1
277,329,2,164,1
278,330,7,47,1
279,331,2,165,1
280,332,331,1,1
281,333,2,166,1
282,334,4,83,2
283,336,5,67,1
284,337,2,168,1
285,338,337,1,1
286,339,2,169,1
287,340,3,113,1
288,341,2,170,1
289,342,4,85,2
290,344,7,49,1
291,345,2,172,1
292,346,3,115,1
293,347,3,115,2
294,349,2,174,1
295,350,3,116,2
296,352,3,117,1
297,353,2,176,1
298,354,353,1,1
299,355,2,177,1
300,356,5,71,1
301,357,2,178,1
302,358,4,89,2
303,360,359,1,1
304,361,2,180,1
305,362,19,19,1
306,363,2,181,1
307,364,3,121,1
308,365,2,182,1
309,366,11,33,3
310,369,2,184,1
311,370,3,123,1
312,371,2,185,1
313,372,7,53,1
314,373,2,186,1
315,374,3,124,2
316,376,3,125,1
317,377,2,188,1
318,378,13,29,1
319,379,13,29,2
320,381,2,190,1
321,382,4,95,2
322,384,383,1,1
323,385,2,192,1
324,386,5,77,1
325,387,2,193,1
326,388,3,129,1
327,389,2,194,1
328,390,4,97,2
329,392,17,23,1
330,393,2,196,1
331,394,3,131,1
332,395,2,197,1
333,396,5,79,1
334,397,2,198,1
335,398,3,132,2
336,400,3,133,1
337,401,2,200,1
338,402,401,1,1
339,403,2,201,1
340,404,13,31,1
341,405,2,202,1
342,406,4,101,2
343,408,11,37,1
344,409,2,204,1
345,410,409,1,1
346,411,409,1,2
347,413,2,206,1
348,414,4,103,2
349,416,5,83,1
350,417,2,208,1
351,418,3,139,1
352,419,2,209,1
353,420,419,1,1
354,421,2,210,1
355,422,3,140,2
356,424,3,141,1
357,425,2,212,1
358,426,5,85,1
359,427,2,213,1
360,428,7,61,1
361,429,2,214,1
362,430,4,107,2
