n,a,k,L,d
1,5,3,1,2
2,7,0,0,6
3,13,0,0,10
4,23,17,1,6
5,29,3,9,2
6,31,25,1,6
7,37,27,1,10
8,47,41,1,6
9,53,9,5,8
10,61,17,3,10
11,71,9,7,8
12,79,57,1,22
13,101,3,33,2
14,103,97,1,6
15,109,91,1,18
16,127,35,3,22
17,149,3,49,2
18,151,29,5,6
19,157,21,7,10
20,167,7,23,6
21,173,11,15,8
22,181,19,9,10
23,191,37,5,6
24,197,3,65,2
25,199,25,7,24
26,223,7,31,6
27,229,73,3,10
28,239,43,5,24
29,263,257,1,6
30,269,3,89,2
31,271,53,5,6
32,277,29,9,16
33,293,25,11,18
34,311,61,5,6
35,317,57,5,32
36,349,113,3,10
37,359,9,39,8
38,367,19,19,6
39,373,11,33,10
40,383,13,29,6
41,389,127,3,8
42,397,373,1,24
43,421,137,3,10
44,431,9,47,8
45,439,139,3,22
46,461,3,153,2
47,463,149,3,16
48,479,157,3,8
49,487,157,3,16
50,503,7,71,6
51,509,53,9,32
52,541,21,25,16
53,557,103,5,42
54,599,197,3,8
55,607,601,1,6
56,613,35,17,18
57,631,41,15,16
58,647,641,1,6
59,653,15,43,8
60,661,43,15,16
61,677,653,1,24
62,701,9,77,8
63,709,233,3,10
64,719,9,79,8
65,727,7,103,6
66,733,241,3,10
67,743,15,49,8
68,751,149,5,6
69,757,19,39,16
70,773,107,7,24
71,797,773,1,24
72,821,3,273,2
73,823,19,43,6
74,829,13,63,10
75,839,15,55,14
76,853,281,3,10
77,863,283,3,14
78,877,17,51,10
79,887,863,1,24
80,911,21,43,8
81,919,23,39,22
82,941,61,15,26
83,967,317,3,16
84,983,13,75,8
85,991,197,5,6
86,997,109,9,16
87,1013,15,67,8
88,1021,337,3,10
89,1031,11,93,8
90,1039,113,9,22
91,1061,3,353,2
92,1063,7,151,6
93,1069,1051,1,18
94,1087,23,47,6
95,1093,19,57,10
96,1103,1097,1,6
97,1109,367,3,8
98,1117,57,19,34
99,1151,59,19,30
100,1181,383,3,32
101,1213,401,3,10
102,1223,1217,1,6
103,1229,3,409,2
104,1231,7,175,6
105,1237,57,21,40
106,1277,3,425,2
107,1279,419,3,22
108,1301,3,433,2
109,1303,33,39,16
110,1319,19,69,8
111,1327,99,13,40
112,1367,1361,1,6
113,1373,13,105,8
114,1381,29,47,18
115,1399,25,55,24
116,1423,13,109,6
117,1429,11,129,10
118,1439,9,159,8
119,1447,11,131,6
120,1453,35,41,18
121,1471,97,15,16
122,1487,1481,1,6
123,1493,25,59,18
124,1511,51,29,32
125,1543,29,53,6
126,1549,19,81,10
127,1559,11,141,8
128,1567,33,47,16
129,1583,523,3,14
130,1597,23,69,10
131,1607,1601,1,6
132,1613,15,107,8
133,1621,107,15,16
134,1637,179,9,26
135,1663,1657,1,6
136,1669,35,47,24
137,1693,39,43,16
138,1709,337,5,24
139,1733,15,115,8
140,1741,1723,1,18
141,1759,347,5,24
142,1783,1777,1,6
143,1789,39,45,34
144,1823,11,165,8
145,1831,33,55,16
146,1847,39,47,14
147,1861,617,3,10
148,1871,373,5,6
149,1877,3,625,2
150,1879,619,3,22
151,1901,89,21,32
152,1933,27,71,16
153,1949,3,649,2
154,1951,643,3,22
155,1973,1949,1,24
156,1997,3,665,2
157,1999,179,11,30
158,2029,673,3,10
159,2039,15,135,14
160,2053,227,9,10
161,2063,11,187,6
162,2069,293,7,18
163,2087,2063,1,24
164,2111,2081,1,30
165,2141,3,713,2
166,2143,77,27,64
167,2207,31,71,6
168,2213,9,245,8
169,2221,21,105,16
170,2237,3,745,2
171,2239,47,47,30
172,2269,2251,1,18
173,2287,2281,1,6
174,2293,23,99,16
175,2309,3,769,2
176,2311,109,21,22
177,2333,15,155,8
178,2341,21,111,10
179,2351,7,335,6
180,2357,2333,1,24
181,2381,3,793,2
182,2383,2377,1,6
183,2389,13,183,10
184,2399,25,95,24
185,2423,33,73,14
186,2437,809,3,10
187,2447,2417,1,30
188,2477,43,57,26
189,2503,821,3,40
190,2543,43,59,6
191,2549,3,849,2
192,2551,509,5,6
193,2557,87,29,34
194,2591,197,13,30
195,2621,173,15,26
196,2647,877,3,16
197,2663,9,295,8
198,2671,13,205,6
199,2677,21,127,10
200,2687,7,383,6
201,2693,25,107,18
202,2711,17,159,8
203,2719,29,93,22
204,2741,911,3,8
205,2749,2731,1,18
206,2767,45,61,22
207,2789,3,929,2
208,2791,557,5,6
209,2797,919,3,40
210,2837,29,97,24
211,2861,2843,1,18
212,2879,9,319,8
213,2887,29,99,16
214,2903,2897,1,6
215,2909,967,3,8
216,2917,17,171,10
217,2927,2897,1,30
218,2957,53,55,42
219,2999,25,119,24
220,3023,17,177,14
221,3037,131,23,24
222,3061,179,17,18
223,3079,3049,1,30
224,3109,1033,3,10
225,3119,83,37,48
226,3167,1051,3,14
227,3181,21,151,10
228,3191,109,29,30
229,3221,9,357,8
230,3229,641,5,24
231,3253,647,5,18
232,3271,463,7,30
233,3301,49,67,18
234,3319,659,5,24
235,3343,1109,3,16
236,3359,15,223,14
237,3373,373,9,16
238,3389,3,1129,2
239,3391,25,135,16
240,3407,19,179,6
241,3413,673,5,48
242,3461,3,1153,2
243,3463,3457,1,6
244,3469,149,23,42
245,3511,701,5,6
246,3517,21,167,10
247,3527,7,503,6
248,3533,15,235,8
249,3541,25,141,16
250,3557,3,1185,2
251,3559,27,131,22
252,3581,3,1193,2
253,3583,3559,1,24
254,3607,13,277,6
255,3613,1201,3,10
256,3623,15,241,8
257,3631,25,145,6
258,3637,1201,3,34
259,3671,733,5,6
260,3677,281,13,24
261,3701,1231,3,8
262,3709,27,137,10
263,3719,1237,3,8
264,3727,61,61,6
265,3733,137,27,34
266,3767,37,101,30
267,3797,49,77,24
268,3821,3,1273,2
269,3823,29,131,24
270,3847,23,167,6
271,3853,21,183,10
272,3863,1283,3,14
273,3877,61,63,34
274,3911,11,355,6
275,3917,3,1305,2
276,3919,41,95,24
277,3943,3919,1,24
278,3967,263,15,22
279,3989,19,209,18
280,4007,4001,1,6
281,4013,9,445,8
282,4021,1321,3,58
283,4079,15,271,14
284,4093,25,163,18
285,4111,21,195,16
286,4127,13,317,6
287,4133,587,7,24
288,4157,3,1385,2
289,4159,87,47,70
290,4229,3,1409,2
291,4231,23,183,22
292,4253,15,283,8
293,4261,13,327,10
294,4271,281,15,56
295,4327,35,123,22
296,4349,1447,3,8
297,4357,1447,3,16
298,4373,65,67,18
299,4391,877,5,6
300,4397,4373,1,24
301,4421,3,1473,2
302,4423,53,83,24
303,4447,21,211,16
304,4463,31,143,30
305,4493,41,109,24
