n,a,k,L,d
320,452,11,41,1
321,453,2,226,1
322,454,3,151,1
323,455,2,227,1
324,456,5,91,1
325,457,5,91,2
326,459,2,229,1
327,460,3,153,1
328,461,2,230,1
329,462,461,1,1
330,463,2,231,1
331,464,463,1,1
332,465,463,1,2
333,467,3,155,2
334,469,2,234,1
335,470,7,67,1
336,471,7,67,2
337,473,2,236,1
338,474,4,118,2
339,476,5,95,1
340,477,2,238,1
341,478,3,159,1
342,479,2,239,1
343,480,479,1,1
344,481,479,1,2
345,483,13,37,2
346,485,2,242,1
347,486,5,97,1
348,487,5,97,2
349,489,487,1,2
350,491,2,245,1
351,492,491,1,1
352,493,2,246,1
353,494,17,29,1
354,495,17,29,2
355,497,2,248,1
356,498,7,71,1
357,499,2,249,1
358,500,499,1,1
359,501,2,250,1
360,502,3,167,1
361,503,2,251,1
362,504,503,1,1
363,505,2,252,1
364,506,5,101,1
365,507,5,101,2
366,509,2,254,1
367,510,509,1,1
368,511,509,1,2
369,513,7,73,2
370,515,3,171,2
371,517,2,258,1
372,518,11,47,1
373,519,11,47,2
374,521,3,173,2
375,523,2,261,1
376,524,3,174,2
377,526,3,175,1
378,527,523,1,4
379,531,23,23,2
380,533,2,266,1
381,534,13,41,1
382,535,13,41,2
383,537,5,107,2
384,539,2,269,1
385,540,7,77,1
386,541,2,270,1
387,542,541,1,1
388,543,541,1,2
389,545,2,272,1
390,546,5,109,1
391,547,2,273,1
392,548,3,182,2
393,550,3,183,1
394,551,2,275,1
395,552,19,29,1
396,553,19,29,2
397,555,7,79,2
398,557,2,278,1
399,558,557,1,1
400,559,557,1,2
401,561,13,43,2
402,563,2,281,1
403,564,563,1,1
404,565,2,282,1
405,566,3,188,2
406,568,3,189,1
407,569,2,284,1
408,570,569,1,1
409,571,2,285,1
410,572,571,1,1
411,573,2,286,1
412,574,3,191,1
413,575,3,191,2
414,577,5,115,2
415,579,2,289,1
416,580,3,193,1
417,581,2,290,1
418,582,7,83,1
419,583,7,83,2
420,585,11,53,2
421,587,3,195,2
422,589,2,294,1
423,590,19,31,1
424,591,19,31,2
425,593,2,296,1
426,594,593,1,1
427,595,2,297,1
428,596,5,119,1
429,597,2,298,1
430,598,3,199,1
431,599,3,199,2
432,601,2,300,1
433,602,599,1,3
434,605,2,302,1
435,606,5,121,1
436,607,2,303,1
437,608,607,1,1
438,609,607,1,2
439,611,2,305,1
440,612,13,47,1
441,613,2,306,1
442,614,613,1,1
443,615,2,307,1
444,616,3,205,1
445,617,2,308,1
446,618,617,1,1
447,619,2,309,1
448,620,619,1,1
449,621,2,310,1
450,622,3,207,1
451,623,619,1,4
452,627,5,125,2
453,629,2,314,1
454,630,17,37,1
455,631,2,315,1
456,632,631,1,1
457,633,631,1,2
458,635,2,317,1
459,636,5,127,1
460,637,2,318,1
461,638,7,91,1
462,639,7,91,2
463,641,2,320,1
464,642,641,1,1
465,643,2,321,1
466,644,643,1,1
467,645,2,322,1
468,646,3,215,1
469,647,3,215,2
470,649,647,1,2
471,651,11,59,2
472,653,2,326,1
473,654,653,1,1
474,655,4,163,3
475,658,3,219,1
476,659,2,329,1
477,660,659,1,1
478,661,2,330,1
479,662,661,1,1
480,663,661,1,2
481,665,3,221,2
482,667,2,333,1
483,668,23,29,1
484,669,2,334,1
485,670,3,223,1
486,671,2,335,1
487,672,11,61,1
488,673,223,3,4
489,677,2,338,1
490,678,677,1,1
491,679,677,1,2
492,681,2,340,1
493,682,3,227,1
494,683,3,227,2
495,685,2,342,1
496,686,5,137,1
497,687,5,137,2
498,689,2,344,1
499,690,13,53,1
500,691,2,345,1
501,692,691,1,1
502,693,2,346,1
503,694,3,231,1
504,695,3,231,2
505,697,5,139,2
506,699,17,41,2
507,701,2,350,1
