n,a,k,L,d
1,1,0,0,1
2,2,0,0,1
3,3,0,0,2
4,5,3,1,2
5,7,4,1,3
6,10,4,2,2
7,12,7,1,5
8,17,2,8,1
9,18,13,1,5
10,23,3,7,2
11,25,10,2,5
12,30,4,7,2
13,32,31,1,1
14,33,7,4,5
15,38,3,12,2
16,40,7,5,5
17,45,43,1,2
18,47,6,7,5
19,52,23,2,6
20,58,23,2,12
21,70,4,17,2
22,72,67,1,5
23,77,67,1,10
24,87,79,1,8
25,95,6,15,5
26,100,97,1,3
27,103,9,11,4
28,107,4,26,3
29,110,85,1,25
30,135,7,19,2
31,137,2,68,1
32,138,7,19,5
33,143,139,1,4
34,147,31,4,23
35,170,3,56,2
36,172,13,13,3
37,175,173,1,2
38,177,43,4,5
39,182,43,4,10
40,192,179,1,13
41,205,197,1,8
42,213,211,1,2
43,215,3,71,2
44,217,107,2,3
45,220,101,2,18
46,238,6,39,4
47,242,79,3,5
48,247,2,123,1
49,248,38,6,20
50,268,7,38,2
51,270,131,2,8
52,278,7,39,5
53,283,9,31,4
54,287,12,23,11
55,298,71,4,14
56,312,311,1,1
57,313,16,19,9
58,322,11,29,3
59,325,317,1,8
60,333,8,41,5
61,338,47,7,9
62,347,2,173,1
63,348,8,43,4
64,352,349,1,3
65,355,353,1,2
66,357,31,11,16
67,373,8,46,5
68,378,53,7,7
69,385,10,38,5
70,390,383,1,7
71,397,41,9,28
72,425,11,38,7
73,432,421,1,11
74,443,6,73,5
75,448,6,74,4
76,452,449,1,3
77,455,89,5,10
78,465,463,1,2
79,467,439,1,28
80,495,7,70,5
81,500,24,20,20
82,520,16,32,8
83,528,257,2,14
84,542,541,1,1
85,543,8,67,7
86,550,109,5,5
87,555,10,55,5
88,560,3,186,2
89,562,13,43,3
90,565,79,7,12
91,577,2,288,1
92,578,71,8,10
93,588,293,2,2
94,590,587,1,3
95,593,19,31,4
96,597,97,6,15
97,612,149,4,16
98,628,619,1,9
99,637,8,79,5
100,642,631,1,11
101,653,3,217,2
102,655,643,1,12
103,667,4,166,3
104,670,7,95,5
105,675,167,4,7
106,682,13,52,6
107,688,683,1,5
108,693,683,1,10
109,703,701,1,2
110,705,19,37,2
111,707,4,176,3
112,710,3,236,2
113,712,701,1,11
114,723,709,1,14
115,737,727,1,10
116,747,13,57,6
117,753,11,68,5
118,758,743,1,15
119,773,3,257,2
120,775,109,7,12
121,787,97,8,11
122,798,4,199,2
123,800,389,2,22
124,822,8,102,6
125,828,821,1,7
126,835,7,119,2
127,837,103,8,13
128,850,23,36,22
129,872,9,96,8
130,880,857,1,23
131,903,29,31,4
132,907,17,53,6
