n;A008846;weight;level;jump
1;5;0;0;8
2;13;9;1;4
3;17;9;1;8
4;25;7;3;4
5;29;21;1;8
6;37;11;3;4
7;41;29;1;12
8;53;9;5;8
9;61;19;3;4
10;65;19;3;8
11;73;61;1;12
12;85;9;9;4
13;89;9;9;8
14;97;31;3;4
15;101;31;3;8
16;109;5;21;4
17;113;101;1;12
18;125;113;1;12
19;137;43;3;8
20;145;47;3;4
21;149;47;3;8
22;157;29;5;12
23;169;5;33;4
24;173;11;15;8
25;181;59;3;4
26;185;59;3;8
27;193;7;27;4
28;197;9;21;8
29;205;21;9;16
30;221;71;3;8
31;229;5;45;4
32;233;9;25;8
33;241;25;9;16
34;257;83;3;8
35;265;9;29;4
36;269;9;29;8
37;277;7;39;4
38;281;13;21;8
39;289;5;57;4
40;293;281;1;12
41;305;9;33;8
42;313;103;3;4
43;317;103;3;8
44;325;313;1;12
45;337;13;25;12
46;349;5;69;4
47;353;31;11;12
48;365;17;21;8
49;373;9;41;4
50;377;73;5;12
51;389;127;3;8
52;397;131;3;4
53;401;131;3;8
54;409;397;1;12
55;421;139;3;4
56;425;139;3;8
57;433;421;1;12
58;445;7;63;4
59;449;9;49;8
60;457;151;3;4
61;461;21;21;20
62;481;9;53;4
63;485;9;53;8
64;493;13;37;12
65;505;167;3;4
66;509;71;7;12
67;521;509;1;12
68;533;15;35;8
69;541;179;3;4
70;545;13;41;12
71;557;9;61;8
72;565;11;51;4
73;569;11;51;8
74;577;17;33;16
75;593;9;65;8
76;601;19;31;12
77;613;7;87;4
78;617;21;29;8
79;625;9;69;4
80;629;617;1;12
81;641;17;37;12
82;653;15;43;8
83;661;59;11;12
84;673;223;3;4
85;677;223;3;8
86;685;227;3;4
87;689;227;3;8
88;697;7;99;4
89;701;9;77;8
90;709;21;33;16
91;725;239;3;8
92;733;103;7;12
93;745;733;1;12
94;757;251;3;4
95;761;251;3;8
96;769;5;153;4
97;773;761;1;12
98;785;21;37;8
99;793;263;3;4
100;797;157;5;12
101;809;797;1;12
102;821;271;3;8
103;829;19;43;12
104;841;9;93;4
105;845;9;93;8
106;853;283;3;4
107;857;283;3;8
108;865;853;1;12
109;877;9;97;4
110;881;21;41;20
111;901;13;69;4
112;905;59;15;20
113;925;307;3;4
114;929;307;3;8
115;937;311;3;4
116;941;311;3;8
117;949;5;189;4
118;953;941;1;12
119;965;953;1;12
120;977;17;57;8
121;985;139;7;12
122;997;197;5;12
123;1009;5;201;4
124;1013;15;67;8
125;1021;9;113;4
126;1025;9;113;8
127;1033;7;147;4
128;1037;25;41;12
129;1049;17;61;12
130;1061;9;117;8
131;1069;5;213;4
132;1073;27;39;20
133;1093;9;121;4
134;1097;9;121;8
135;1105;367;3;4
136;1109;367;3;8
137;1117;13;85;12
138;1129;21;53;16
139;1145;379;3;8
140;1153;383;3;4
141;1157;383;3;8
142;1165;383;3;16
143;1181;17;69;8
144;1189;5;237;4
145;1193;15;79;8
146;1201;7;171;4
147;1205;9;133;8
148;1213;13;93;4
149;1217;241;5;12
150;1229;11;111;8
151;1237;9;137;4
152;1241;9;137;8
153;1249;1237;1;12
154;1261;83;15;16
155;1277;9;141;8
156;1285;7;183;4
157;1289;21;61;8
158;1297;431;3;4
159;1301;1289;1;12
160;1313;9;145;8
161;1321;439;3;4
162;1325;29;45;20
163;1345;443;3;16
164;1361;11;123;8
165;1369;5;273;4
166;1373;13;105;8
167;1381;9;153;4
168;1385;21;65;20
169;1405;467;3;4
170;1409;467;3;8
171;1417;281;5;12
172;1429;5;285;4
173;1433;29;49;12
174;1445;479;3;8
175;1453;131;11;12
176;1465;487;3;4
177;1469;31;47;12
178;1481;491;3;8
179;1489;5;297;4
180;1493;491;3;20
181;1513;503;3;4
182;1517;503;3;8
183;1525;17;89;12
184;1537;25;61;12
185;1549;5;309;4
186;1553;23;67;12
187;1565;103;15;20
188;1585;13;121;12
189;1597;9;177;4
190;1601;9;177;8
191;1609;5;321;4
192;1613;15;107;8
193;1621;7;231;4
194;1625;1613;1;12
195;1637;13;125;12
196;1649;547;3;8
197;1657;35;47;12
198;1669;1657;1;12
199;1681;13;129;4
200;1685;13;129;8
201;1693;563;3;4
202;1697;337;5;12
203;1709;9;189;8
204;1717;571;3;4
205;1721;1709;1;12
206;1733;15;115;8
207;1741;9;193;4
208;1745;9;193;8
209;1753;1741;1;12
210;1765;587;3;4
211;1769;587;3;8
212;1777;9;197;4
213;1781;9;197;8
214;1789;1777;1;12
215;1801;1777;1;24
216;1825;599;3;28
217;1853;9;205;8
218;1861;619;3;4
219;1865;619;3;8
220;1873;7;267;4
221;1877;21;89;8
222;1885;9;209;4
223;1889;1877;1;12
224;1901;1889;1;12
225;1913;15;127;8
226;1921;23;83;12
227;1933;643;3;4
228;1937;643;3;8
229;1945;647;3;4
230;1949;13;149;12
231;1961;1949;1;12
232;1973;37;53;12
233;1985;659;3;8
234;1993;9;221;4
235;1997;9;221;8
236;2005;1993;1;12
237;2017;401;5;12
238;2029;2017;1;12
239;2041;7;291;4
240;2045;21;97;8
241;2053;21;97;16
242;2069;17;121;12
243;2081;691;3;8
244;2089;691;3;16
245;2105;9;233;8
246;2113;19;111;4
247;2117;19;111;8
248;2125;7;303;4
249;2129;21;101;8
250;2137;9;237;4
251;2141;2129;1;12
252;2153;11;195;8
253;2161;719;3;4
254;2165;719;3;8
255;2173;307;7;24
256;2197;727;3;16
257;2213;9;245;8
258;2221;739;3;4
259;2225;2213;1;12
260;2237;743;3;8
261;2245;9;249;4
262;2249;9;249;8
263;2257;449;5;12
264;2269;5;453;4
265;2273;15;151;8
266;2281;9;253;4
267;2285;9;253;8
268;2293;7;327;4
269;2297;21;109;8
270;2305;13;177;4
271;2309;21;109;20
272;2329;5;465;4
273;2333;15;155;8
274;2341;17;137;12
275;2353;9;261;4
276;2357;41;57;20
277;2377;7;339;4
278;2381;21;113;8
279;2389;5;477;4
280;2393;2381;1;12
281;2405;2393;1;12
282;2417;11;219;8
283;2425;19;127;12
284;2437;811;3;4
285;2441;2417;1;24
286;2465;9;273;8
287;2473;823;3;4
288;2477;223;11;24
289;2501;9;277;8
290;2509;227;11;12
291;2521;839;3;4
292;2525;839;3;8
293;2533;2521;1;12
294;2545;7;363;4
295;2549;11;231;8
296;2557;23;111;4
297;2561;21;121;20
298;2581;367;7;12
299;2593;29;89;12
300;2605;9;289;4
301;2609;9;289;8
302;2617;13;201;4
303;2621;2609;1;12
304;2633;2609;1;24
305;2657;883;3;8
306;2665;887;3;4
307;2669;887;3;8
308;2677;13;205;12
309;2689;5;537;4
310;2693;15;179;8
311;2701;29;93;4
312;2705;29;93;8
313;2713;37;73;12
314;2725;907;3;4
315;2729;13;209;12
316;2741;911;3;8
317;2749;5;549;4
318;2753;2729;1;24
319;2777;13;213;8
320;2785;9;309;4
321;2789;9;309;8
322;2797;7;399;4
323;2801;19;147;8
324;2809;5;561;4
325;2813;2801;1;12
326;2825;9;313;8
327;2833;23;123;4
328;2837;23;123;8
329;2845;2833;1;12
330;2857;9;317;4
331;2861;37;77;12
332;2873;2861;1;12
333;2885;13;221;12
334;2897;577;5;12
335;2909;967;3;8
336;2917;35;83;12
337;2929;2917;1;12
338;2941;29;101;12
339;2953;983;3;4
340;2957;983;3;8
341;2965;7;423;4
342;2969;9;329;8
343;2977;21;141;16
344;2993;15;199;8
345;3001;9;333;4
346;3005;271;11;24
347;3029;19;159;8
348;3037;9;337;4
349;3041;9;337;8
350;3049;3037;1;12
351;3061;1019;3;4
352;3065;43;71;12
353;3077;9;341;8
354;3085;13;237;4
355;3089;31;99;20
356;3109;19;163;12
357;3121;1039;3;4
358;3125;1039;3;8
359;3133;7;447;4
360;3137;21;149;8
361;3145;21;149;16
362;3161;1051;3;8
363;3169;41;77;12
364;3181;41;77;24
365;3205;11;291;4
366;3209;11;291;8
367;3217;7;459;4
368;3221;9;357;8
369;3229;5;645;4
370;3233;21;153;20
371;3253;9;361;4
372;3257;9;361;8
373;3265;3253;1;12
374;3277;1091;3;4
375;3281;467;7;12
376;3293;9;365;8
377;3301;7;471;4
378;3305;21;157;8
379;3313;21;157;16
380;3329;31;107;12
381;3341;11;303;8
382;3349;47;71;12
383;3361;9;373;4
384;3365;9;373;8
385;3373;3361;1;12
386;3385;7;483;4
387;3389;673;5;24
388;3413;19;179;12
389;3425;17;201;8
390;3433;311;11;12
391;3445;31;111;4
392;3449;31;111;8
393;3457;1151;3;4
394;3461;1151;3;8
395;3469;1151;3;16
396;3485;23;151;12
397;3497;1163;3;8
398;3505;499;7;12
399;3517;701;5;12
400;3529;5;705;4
401;3533;15;235;8
402;3541;9;393;4
403;3545;3533;1;12
404;3557;3533;1;24
405;3581;9;397;8
406;3589;5;717;4
407;3593;15;239;8
408;3601;37;97;12
409;3613;9;401;4
410;3617;9;401;8
411;3625;3613;1;12
412;3637;25;145;12
413;3649;5;729;4
414;3653;331;11;12
415;3665;23;159;8
416;3673;1223;3;4
417;3677;23;159;20
418;3697;1231;3;4
419;3701;1231;3;8
420;3709;3697;1;12
421;3721;7;531;4
422;3725;9;413;8
423;3733;11;339;4
424;3737;21;177;20
425;3757;9;417;4
426;3761;9;417;8
427;3769;27;139;16
428;3785;1259;3;8
429;3793;9;421;4
430;3797;9;421;8
431;3805;7;543;4
432;3809;3797;1;12
433;3821;13;293;12
434;3833;3821;1;12
435;3845;1279;3;8
436;3853;23;167;12
437;3865;9;429;4
438;3869;9;429;8
439;3877;1291;3;4
440;3881;1291;3;8
441;3889;5;777;4
442;3893;53;73;24
443;3917;1303;3;8
444;3925;1307;3;4
445;3929;433;9;32
446;3961;1319;3;4
447;3965;1319;3;8
448;3973;7;567;4
449;3977;9;441;8
450;3985;1327;3;4
451;3989;41;97;12
452;4001;3989;1;12
453;4013;9;445;8
454;4021;19;211;12
455;4033;4021;1;12
456;4045;9;449;4
457;4049;9;449;8
458;4057;809;5;12
459;4069;5;813;4
460;4073;21;193;20
461;4093;29;141;4
462;4097;29;141;8
463;4105;29;141;16
464;4121;9;457;8
465;4129;5;825;4
466;4133;11;375;8
467;4141;7;591;4
468;4145;21;197;8
469;4153;9;461;4
470;4157;21;197;20
471;4177;13;321;4
472;4181;57;73;20
473;4201;1399;3;4
474;4205;599;7;12
475;4217;23;183;8
476;4225;7;603;4
477;4229;4217;1;12
478;4241;4229;1;12
479;4253;15;283;8
480;4261;9;473;4
481;4265;9;473;8
482;4273;4261;1;12
483;4285;1427;3;4
484;4289;1427;3;8
485;4297;4273;1;24
486;4321;1439;3;4
487;4325;19;227;12
488;4337;25;173;12
489;4349;1447;3;8
490;4357;55;79;12
491;4369;5;873;4
492;4373;9;485;8
493;4381;1459;3;4
494;4385;4373;1;12
495;4397;11;399;8
496;4405;9;489;4
497;4409;4397;1;12
498;4421;27;163;20
499;4441;43;103;12
500;4453;1483;3;4
501;4457;35;127;12
502;4469;4457;1;12
503;4481;41;109;12
504;4493;4481;1;12
505;4505;1499;3;8
506;4513;9;501;4
507;4517;9;501;8
508;4525;4513;1;12
509;4537;25;181;12
510;4549;5;909;4
511;4553;9;505;8
512;4561;4549;1;12
513;4573;21;217;16
514;4589;9;509;8
515;4597;269;17;24
516;4621;9;513;4
517;4625;9;513;8
518;4633;1543;3;4
519;4637;1543;3;8
520;4645;7;663;4
521;4649;13;357;8
522;4657;17;273;16
523;4673;59;79;12
524;4685;311;15;20
525;4705;1567;3;4
526;4709;1567;3;8
527;4717;1571;3;4
528;4721;1571;3;8
529;4729;5;945;4
530;4733;4721;1;12
531;4745;21;225;20
532;4765;49;97;12
533;4777;953;5;12
534;4789;5;957;4
535;4793;11;435;8
536;4801;4789;1;12
537;4813;7;687;4
538;4817;21;229;8
539;4825;4801;1;24
540;4849;691;7;12
541;4861;17;285;16
542;4877;9;541;8
543;4885;1627;3;4
544;4889;4877;1;12
545;4901;21;233;8
546;4909;5;981;4
547;4913;13;377;12
548;4925;11;447;8
549;4933;31;159;4
550;4937;33;149;20
551;4957;23;215;12
552;4969;5;993;4
553;4973;15;331;8
554;4981;7;711;4
555;4985;9;553;8
556;4993;21;237;16
557;5009;1667;3;8
558;5017;9;557;4
559;5021;263;19;24
560;5045;719;7;12
561;5057;9;561;8
562;5065;7;723;4
563;5069;21;241;8
564;5077;19;267;4
565;5081;21;241;20
566;5101;1699;3;4
567;5105;1699;3;8
568;5113;5101;1;12
569;5125;39;131;16
570;5141;23;223;12
571;5153;15;343;8
572;5161;9;573;4
573;5165;21;245;20
574;5185;11;471;4
575;5189;11;471;8
576;5197;17;305;12
577;5209;5;1041;4
578;5213;577;9;20
579;5233;7;747;4
580;5237;9;581;8
581;5245;1747;3;4
582;5249;5237;1;12
583;5261;29;181;12
584;5273;9;585;8
585;5281;27;195;16
586;5297;41;129;8
587;5305;9;589;4
588;5309;9;589;8
589;5317;7;759;4
590;5321;11;483;8
591;5329;5;1065;4
592;5333;17;313;12
593;5345;9;593;8
594;5353;49;109;12
595;5365;1783;3;16
596;5381;9;597;8
597;5389;5;1077;4
598;5393;27;199;20
599;5413;9;601;4
