n;A008864;weight;level;jump
1;3;2;1;1
2;4;0;0;2
3;6;4;1;2
4;8;0;0;4
5;12;5;2;2
6;14;5;2;4
7;18;4;4;2
8;20;8;2;4
9;24;9;2;6
10;30;4;7;2
11;32;13;2;6
12;38;17;2;4
13;42;4;10;2
14;44;5;8;4
15;48;7;6;6
16;54;8;6;6
17;60;29;2;2
18;62;7;8;6
19;68;8;8;4
20;72;5;14;2
21;74;17;4;6
22;80;19;4;4
23;84;13;6;6
24;90;41;2;8
25;98;47;2;4
26;102;4;25;2
27;104;5;20;4
28;108;53;2;2
29;110;53;2;4
30;114;20;5;14
31;128;31;4;4
32;132;7;18;6
33;138;4;34;2
34;140;13;10;10
35;150;4;37;2
36;152;73;2;6
37;158;8;19;6
38;164;5;32;4
39;168;9;18;6
40;174;7;24;6
41;180;89;2;2
42;182;43;4;10
43;192;5;38;2
44;194;5;38;4
45;198;4;49;2
46;200;47;4;12
47;212;20;10;12
48;224;5;44;4
49;228;113;2;2
50;230;113;2;4
51;234;12;19;6
52;240;7;34;2
53;242;29;8;10
54;252;41;6;6
55;258;7;36;6
56;264;43;6;6
57;270;4;67;2
58;272;7;38;6
59;278;137;2;4
60;282;4;70;2
61;284;137;2;10
62;294;20;14;14
63;308;8;38;4
64;312;5;62;2
65;314;5;62;4
66;318;16;19;14
67;332;163;2;6
68;338;41;8;10
69;348;173;2;2
70;350;173;2;4
71;354;12;29;6
72;360;11;32;8
73;368;181;2;6
74;374;8;46;6
75;380;8;47;4
76;384;7;54;6
77;390;191;2;8
78;398;197;2;4
79;402;197;2;8
80;410;16;25;10
81;420;11;38;2
82;422;103;4;10
83;432;5;86;2
84;434;107;4;6
85;440;109;4;4
86;444;73;6;6
87;450;13;34;8
88;458;227;2;4
89;462;4;115;2
90;464;5;92;4
91;468;19;24;12
92;480;59;8;8
93;488;11;44;4
94;492;11;44;8
95;500;8;62;4
96;504;83;6;6
97;510;83;6;12
98;522;4;130;2
99;524;22;23;18
100;542;8;67;6
101;548;269;2;10
102;558;8;69;6
103;564;9;62;6
104;570;4;142;2
105;572;283;2;6
106;578;71;8;10
107;588;97;6;6
108;594;7;84;6
109;600;13;46;2
110;602;149;4;6
111;608;7;86;6
112;614;5;122;4
113;618;4;154;2
114;620;16;38;12
115;632;311;2;10
116;642;4;160;2
117;644;5;128;4
118;648;107;6;6
119;654;8;81;6
120;660;7;94;2
121;662;13;50;12
122;674;5;134;4
123;678;7;96;6
124;684;13;52;8
125;692;11;62;10
126;702;347;2;8
127;710;14;50;10
128;720;89;8;8
129;728;19;38;6
130;734;7;104;6
131;740;8;92;4
132;744;16;46;8
133;752;373;2;6
134;758;13;58;4
135;762;13;58;8
136;770;383;2;4
137;774;19;40;14
138;788;389;2;10
139;798;131;6;12
140;810;4;202;2
141;812;401;2;10
142;822;4;205;2
143;824;5;164;4
144;828;7;118;2
145;830;20;41;10
146;840;59;14;14
147;854;5;170;4
148;858;4;214;2
149;860;8;107;4
150;864;17;50;14
151;878;19;46;4
152;882;4;220;2
153;884;5;176;4
154;888;28;31;20
155;908;8;113;4
156;912;113;8;8
157;920;13;70;10
158;930;461;2;8
159;938;467;2;4
160;942;8;117;6
161;948;157;6;6
162;954;20;47;14
163;968;241;4;4
164;972;7;138;6
165;978;9;108;6
166;984;16;61;8
167;992;17;58;6
168;998;17;58;12
169;1010;503;2;4
170;1014;7;144;6
171;1020;509;2;2
172;1022;11;92;10
173;1032;5;206;2
174;1034;257;4;6
175;1040;103;10;10
176;1050;4;262;2
177;1052;521;2;10
178;1062;4;265;2
179;1064;23;46;6
180;1070;263;4;18
181;1088;271;4;4
182;1092;5;218;2
183;1094;5;218;4
184;1098;7;156;6
185;1104;9;122;6
186;1110;19;58;8
187;1118;8;139;6
188;1124;13;86;6
189;1130;277;4;22
190;1152;5;230;2
191;1154;11;104;10
192;1164;17;68;8
193;1172;14;83;10
194;1182;7;168;6
195;1188;197;6;6
196;1194;593;2;8
197;1202;14;85;12
198;1214;5;242;4
199;1218;12;101;6
200;1224;7;174;6
201;1230;4;307;2
202;1232;613;2;6
203;1238;613;2;12
204;1250;20;62;10
205;1260;23;54;18
206;1278;4;319;2
207;1280;11;116;4
208;1284;9;142;6
209;1290;4;322;2
210;1292;643;2;6
211;1298;647;2;4
212;1302;4;325;2
213;1304;5;260;4
214;1308;16;81;12
215;1320;659;2;2
216;1322;7;188;6
217;1328;647;2;34
218;1362;12;113;6
219;1368;227;6;6
220;1374;683;2;8
221;1382;22;62;18
222;1400;139;10;10
223;1410;349;4;14
224;1424;5;284;4
225;1428;23;62;2
226;1430;23;62;4
227;1434;7;204;6
228;1440;179;8;8
229;1448;19;76;4
230;1452;5;290;2
231;1454;8;181;6
232;1460;181;8;12
