n,a,k,L,d
1,22,0,0,36
2,58,32,1,26
3,84,83,1,1
4,85,19,4,9
5,94,52,1,42
6,136,28,4,24
7,160,7,22,6
8,166,65,2,36
9,202,34,5,32
10,234,109,2,16
11,250,47,5,15
12,265,16,16,9
13,274,40,6,34
14,308,27,11,11
15,319,151,2,17
16,336,163,2,10
17,346,337,1,9
18,355,349,1,6
19,361,179,2,3
20,364,173,2,18
21,382,373,1,9
22,391,179,2,33
23,424,41,10,14
24,438,211,2,16
25,454,4,113,2
26,456,109,4,20
27,476,67,7,7
28,483,45,10,33
29,516,5,103,1
30,517,127,4,9
31,526,11,47,9
32,535,127,4,27
33,562,71,7,65
34,627,10,62,7
35,634,12,52,10
36,644,643,1,1
37,645,8,80,5
38,650,17,38,4
39,654,8,81,6
40,660,9,73,3
41,663,53,12,27
42,690,113,6,12
43,702,349,2,4
44,706,34,20,26
45,732,9,81,3
46,735,59,12,27
47,762,373,2,16
48,778,701,1,77
49,855,10,85,5
50,860,859,1,1
51,861,827,1,34
52,895,877,1,18
53,913,911,1,2
54,915,227,4,7
55,922,28,32,26
56,948,14,67,10
57,958,49,19,27
58,985,221,4,101
59,1086,1061,1,25
60,1111,7,158,5
61,1116,271,4,32
62,1148,29,39,17
63,1165,101,11,54
64,1219,91,13,36
65,1255,307,4,27
66,1282,313,4,30
67,1312,40,32,32
68,1344,107,12,60
69,1404,331,4,80
70,1484,487,3,23
71,1507,61,24,43
72,1550,127,12,26
73,1576,1571,1,5
74,1581,22,71,19
75,1600,397,4,12
76,1612,17,94,14
77,1626,1619,1,7
78,1633,14,116,9
79,1642,19,86,8
80,1650,109,15,15
81,1665,14,118,13
82,1678,103,16,30
83,1708,52,32,44
84,1752,1709,1,43
85,1795,127,14,17
86,1812,17,106,10
87,1822,4,455,2
88,1824,21,86,18
89,1842,22,83,16
90,1858,20,92,18
91,1876,929,2,18
92,1894,13,145,9
93,1903,29,65,18
94,1921,7,274,3
95,1924,941,2,42
96,1966,52,37,42
97,2008,43,46,30
98,2038,503,4,26
99,2064,9,229,3
100,2067,52,39,39
101,2106,121,17,49
102,2155,16,134,11
103,2166,17,127,7
104,2173,541,4,9
105,2182,37,58,36
106,2218,47,47,9
107,2227,11,202,5
108,2232,557,4,4
109,2236,2207,1,29
110,2265,11,205,10
111,2275,89,25,50
112,2325,2,1162,1
113,2326,46,50,26
114,2352,587,4,4
115,2356,10,235,6
116,2362,2351,1,11
117,2373,35,67,28
118,2401,2393,1,8
119,2409,149,16,25
120,2434,29,83,27
121,2461,173,14,39
122,2500,35,71,15
123,2515,131,19,26
124,2541,839,3,24
