n,a,k,L,d
1,1,0,0,9
2,10,3,3,1
3,11,2,5,1
4,12,11,1,1
5,13,2,6,1
6,14,13,1,1
7,15,2,7,1
8,16,3,5,1
9,17,2,8,1
10,18,17,1,1
11,19,17,1,2
12,21,11,1,10
13,31,21,1,10
14,41,31,1,10
15,51,41,1,10
16,61,17,3,10
17,71,61,1,10
18,81,71,1,10
19,91,41,2,9
20,100,3,33,1
21,101,2,50,1
22,102,101,1,1
23,103,2,51,1
24,104,103,1,1
25,105,2,52,1
26,106,3,35,1
27,107,2,53,1
28,108,107,1,1
29,109,2,54,1
30,110,109,1,1
31,111,2,55,1
32,112,3,37,1
33,113,2,56,1
34,114,113,1,1
35,115,2,57,1
36,116,5,23,1
37,117,2,58,1
38,118,3,39,1
39,119,2,59,1
40,120,7,17,1
41,121,2,60,1
42,122,11,11,1
43,123,2,61,1
44,124,3,41,1
45,125,2,62,1
46,126,5,25,1
47,127,2,63,1
48,128,127,1,1
49,129,2,64,1
50,130,3,43,1
51,131,2,65,1
52,132,131,1,1
53,133,2,66,1
54,134,7,19,1
55,135,2,67,1
56,136,3,45,1
57,137,2,68,1
58,138,137,1,1
59,139,2,69,1
60,140,139,1,1
61,141,2,70,1
62,142,3,47,1
63,143,2,71,1
64,144,11,13,1
65,145,2,72,1
66,146,5,29,1
67,147,2,73,1
68,148,3,49,1
69,149,2,74,1
70,150,149,1,1
71,151,2,75,1
72,152,151,1,1
73,153,2,76,1
74,154,3,51,1
75,155,2,77,1
76,156,5,31,1
77,157,2,78,1
78,158,157,1,1
79,159,2,79,1
80,160,3,53,1
81,161,2,80,1
82,162,7,23,1
83,163,2,81,1
84,164,163,1,1
85,165,2,82,1
86,166,3,55,1
87,167,2,83,1
88,168,167,1,1
89,169,2,84,1
90,170,13,13,1
91,171,2,85,1
92,172,3,57,1
93,173,2,86,1
94,174,173,1,1
95,175,2,87,1
96,176,5,35,1
97,177,2,88,1
98,178,3,59,1
99,179,2,89,1
100,180,179,1,1
101,181,2,90,1
102,182,181,1,1
103,183,2,91,1
104,184,3,61,1
105,185,2,92,1
106,186,5,37,1
107,187,2,93,1
108,188,11,17,1
109,189,2,94,1
110,190,3,63,1
111,191,2,95,1
112,192,191,1,1
113,193,2,96,1
114,194,193,1,1
115,195,2,97,1
116,196,3,65,1
117,197,2,98,1
118,198,197,1,1
119,199,197,1,2
120,201,12,16,9
121,210,11,19,1
122,211,2,105,1
123,212,211,1,1
124,213,2,106,1
125,214,3,71,1
126,215,2,107,1
127,216,5,43,1
128,217,2,108,1
129,218,7,31,1
130,219,7,31,2
131,221,211,1,10
132,231,13,17,10
133,241,11,21,10
134,251,241,1,10
135,261,251,1,10
136,271,29,9,10
137,281,271,1,10
138,291,281,1,10
139,301,73,4,9
140,310,3,103,1
141,311,2,155,1
142,312,311,1,1
143,313,2,156,1
144,314,313,1,1
145,315,2,157,1
146,316,3,105,1
147,317,2,158,1
148,318,317,1,1
149,319,317,1,2
150,321,311,1,10
151,331,107,3,10
152,341,331,1,10
153,351,11,31,10
154,361,13,27,10
155,371,19,19,10
156,381,53,7,10
157,391,127,3,10
158,401,14,28,9
159,410,409,1,1
160,411,2,205,1
161,412,3,137,1
162,413,2,206,1
163,414,7,59,1
164,415,2,207,1
165,416,5,83,1
166,417,2,208,1
167,418,3,139,1
168,419,3,139,2
169,421,137,3,10
170,431,421,1,10
171,441,431,1,10
172,451,21,21,10
173,461,11,41,10
174,471,461,1,10
175,481,157,3,10
176,491,13,37,10
177,501,12,41,9
178,510,509,1,1
179,511,2,255,1
180,512,7,73,1
181,513,2,256,1
182,514,3,171,1
183,515,2,257,1
184,516,5,103,1
185,517,2,258,1
186,518,11,47,1
187,519,11,47,2
188,521,73,7,10
189,531,521,1,10
190,541,59,9,10
191,551,541,1,10
192,561,19,29,10
193,571,11,51,10
194,581,571,1,10
195,591,83,7,10
196,601,16,37,9
197,610,3,203,1
198,611,2,305,1
199,612,13,47,1
200,613,2,306,1
201,614,613,1,1
202,615,2,307,1
203,616,3,205,1
204,617,2,308,1
205,618,617,1,1
206,619,617,1,2
207,621,13,47,10
208,631,23,27,10
209,641,631,1,10
210,651,641,1,10
211,661,21,31,10
212,671,661,1,10
213,681,11,61,10
214,691,227,3,10
215,701,173,4,9
216,710,709,1,1
217,711,2,355,1
218,712,3,237,1
219,713,2,356,1
220,714,23,31,1
221,715,2,357,1
222,716,5,143,1
223,717,2,358,1
224,718,3,239,1
225,719,3,239,2
226,721,79,9,10
227,731,103,7,10
228,741,17,43,10
229,751,13,57,10
230,761,751,1,10
231,771,761,1,10
232,781,257,3,10
233,791,11,71,10
234,801,11,72,9
235,810,809,1,1
236,811,2,405,1
237,812,811,1,1
238,813,2,406,1
239,814,3,271,1
240,815,2,407,1
241,816,5,163,1
242,817,2,408,1
243,818,19,43,1
244,819,19,43,2
245,821,811,1,10
246,831,821,1,10
247,841,277,3,10
248,851,29,29,10
249,861,23,37,10
250,871,21,41,10
251,881,13,67,10
252,891,881,1,10
253,901,223,4,9
254,910,3,303,1
255,911,2,455,1
256,912,911,1,1
257,913,2,456,1
258,914,11,83,1
259,915,2,457,1
260,916,3,305,1
261,917,2,458,1
262,918,7,131,1
263,919,7,131,2
264,921,911,1,10
265,931,307,3,10
266,941,19,49,10
267,951,941,1,10
268,961,317,3,10
269,971,31,31,10
270,981,971,1,10
271,991,491,2,9
272,1000,3,333,1
273,1001,2,500,1
274,1002,7,143,1
275,1003,2,501,1
276,1004,17,59,1
277,1005,2,502,1
278,1006,3,335,1
279,1007,2,503,1
280,1008,19,53,1
281,1009,2,504,1
282,1010,1009,1,1
283,1011,2,505,1
284,1012,3,337,1
285,1013,2,506,1
286,1014,1013,1,1
287,1015,2,507,1
288,1016,5,203,1
289,1017,2,508,1
290,1018,3,339,1
291,1019,2,509,1
292,1020,1019,1,1
293,1021,2,510,1
294,1022,1021,1,1
295,1023,2,511,1
296,1024,3,341,1
297,1025,2,512,1
298,1026,5,205,1
299,1027,2,513,1
300,1028,13,79,1
301,1029,2,514,1
302,1030,3,343,1
303,1031,2,515,1
304,1032,1031,1,1
305,1033,2,516,1
306,1034,1033,1,1
307,1035,2,517,1
308,1036,3,345,1
309,1037,2,518,1
310,1038,17,61,1
311,1039,2,519,1
312,1040,1039,1,1
313,1041,2,520,1
314,1042,3,347,1
315,1043,2,521,1
316,1044,7,149,1
317,1045,2,522,1
318,1046,5,209,1
319,1047,2,523,1
320,1048,3,349,1
