n,a,k,L,d
1,3,0,0,2
2,5,0,0,3
3,8,5,1,3
4,11,6,1,5
5,16,13,1,3
6,19,7,2,5
7,24,7,3,3
8,27,11,2,5
9,32,25,1,7
10,39,4,9,3
11,42,35,1,7
12,49,11,4,5
13,54,17,3,3
14,57,13,4,5
15,62,11,5,7
16,69,31,2,7
17,76,73,1,3
18,79,8,9,7
19,86,9,9,5
20,91,4,22,3
21,94,29,3,7
22,101,6,16,5
23,106,9,11,7
24,113,13,8,9
25,122,9,13,5
26,127,4,31,3
27,130,25,5,5
28,135,4,33,3
29,138,7,19,5
30,143,16,8,15
31,158,9,17,5
32,163,12,13,7
33,170,167,1,3
34,173,18,9,11
35,184,181,1,3
36,187,9,20,7
37,194,11,17,7
38,201,7,28,5
39,206,199,1,7
40,213,103,2,7
41,220,7,31,3
42,223,53,4,11
43,234,7,33,3
44,237,8,29,5
45,242,239,1,3
46,245,29,8,13
47,258,35,7,13
48,271,7,38,5
49,276,7,39,3
50,279,137,2,5
51,284,277,1,7
52,291,4,72,3
53,294,283,1,11
54,305,149,2,7
55,312,61,5,7
56,319,8,39,7
57,326,17,19,3
58,329,14,23,7
59,336,331,1,5
60,341,13,26,3
61,344,37,9,11
62,355,17,20,15
63,370,73,5,5
64,375,4,93,3
65,378,373,1,5
66,383,16,23,15
67,398,17,23,7
68,405,197,2,11
69,416,7,59,3
70,419,6,69,5
71,424,139,3,7
72,431,211,2,9
73,440,433,1,7
74,447,8,55,7
75,454,449,1,5
76,459,113,4,7
77,466,457,1,9
78,475,10,47,5
79,480,157,3,9
80,489,239,2,11
81,500,7,71,3
82,503,12,41,11
83,514,7,73,3
84,517,10,51,7
85,524,173,3,5
86,529,9,58,7
87,536,17,31,9
88,545,6,90,5
89,550,547,1,3
90,553,137,4,5
91,558,109,5,13
92,571,281,2,9
93,580,23,25,5
94,585,12,48,9
95,594,19,31,5
96,599,8,74,7
97,606,593,1,13
98,619,4,154,3
99,622,67,9,19
100,641,317,2,7
101,648,13,49,11
102,659,163,4,7
103,666,659,1,7
104,673,5,134,3
105,676,223,3,7
106,683,12,56,11
107,694,229,3,7
108,701,347,2,7
109,708,5,141,3
110,711,8,88,7
111,718,9,79,7
112,725,6,120,5
113,730,727,1,3
114,733,15,48,13
115,746,15,49,11
116,757,13,58,3
117,760,151,5,5
118,765,379,2,7
119,772,9,85,7
120,779,4,194,3
121,782,769,1,13
122,795,10,79,5
123,800,13,61,7
124,807,14,57,9
125,816,23,35,11
126,827,409,2,9
127,836,15,55,11
128,847,419,2,9
129,856,283,3,7
130,863,8,107,7
131,870,173,5,5
132,875,433,2,9
133,884,877,1,7
134,891,443,2,5
135,896,887,1,9
136,905,6,150,5
137,910,179,5,15
138,925,457,2,11
139,936,71,13,13
140,949,11,86,3
141,952,941,1,11
142,963,4,240,3
143,966,31,31,5
144,971,4,242,3
145,974,107,9,11
146,985,97,10,15
147,1000,199,5,5
148,1005,6,167,3
149,1008,17,59,5
150,1013,499,2,15
151,1028,11,93,5
152,1033,5,206,3
153,1036,1031,1,5
154,1041,30,34,21
155,1062,7,151,5
156,1067,23,46,9
157,1076,15,71,11
158,1087,11,98,9
159,1096,1091,1,5
160,1101,547,2,7
161,1108,367,3,7
162,1115,20,55,15
163,1130,9,125,5
164,1135,8,141,7
165,1142,227,5,7
166,1149,10,114,9
167,1158,1151,1,7
168,1165,16,72,13
169,1178,17,69,5
170,1183,8,147,7
171,1190,1187,1,3
172,1193,197,6,11
173,1204,1201,1,3
174,1207,8,150,7
175,1214,401,3,11
176,1225,13,94,3
177,1228,1217,1,11
178,1239,4,309,3
179,1242,13,95,7
180,1249,30,41,19
181,1268,421,3,5
182,1273,5,254,3
183,1276,31,41,5
184,1281,13,98,7
185,1288,21,61,7
186,1295,643,2,9
187,1304,1297,1,7
188,1311,8,163,7
189,1318,35,37,23
190,1341,6,223,3
191,1344,31,43,11
192,1355,673,2,9
193,1364,33,41,11
194,1375,8,171,7
195,1382,11,125,7
196,1389,10,138,9
197,1398,277,5,13
198,1411,19,74,5
199,1416,1409,1,7
200,1423,8,177,7
201,1430,1427,1,3
202,1433,23,62,7
203,1440,1427,1,13
204,1453,14,103,11
205,1464,85,17,19
206,1483,4,370,3
207,1486,1481,1,5
208,1491,14,106,7
209,1498,5,299,3
210,1501,9,166,7
211,1508,9,167,5
212,1513,5,302,3
213,1516,1511,1,5
214,1521,26,58,13
215,1534,1531,1,3
216,1537,9,170,7
217,1544,503,3,35
218,1579,12,131,7
219,1586,1579,1,7
220,1593,11,144,9
221,1602,1583,1,19
222,1621,14,115,11
223,1632,21,77,15
224,1647,821,2,5
225,1652,17,97,3
226,1655,6,275,5
227,1660,19,87,7
228,1667,829,2,9
229,1676,557,3,5
230,1681,839,2,3
231,1684,13,129,7
232,1691,839,2,13
233,1704,1693,1,11
234,1715,4,428,3
235,1718,571,3,5
236,1723,4,430,3
237,1726,1721,1,5
238,1731,431,4,7
239,1738,15,115,13
240,1751,22,79,13
241,1764,13,135,9
242,1773,16,110,13
243,1786,593,3,7
244,1793,6,298,5
245,1798,9,199,7
246,1805,449,4,9
247,1814,9,201,5
248,1819,10,181,9
249,1828,1823,1,5
250,1833,18,101,15
251,1848,19,97,5
252,1853,13,142,7
253,1860,619,3,3
254,1863,929,2,5
255,1868,1861,1,7
256,1875,4,468,3
257,1878,1871,1,7
258,1885,937,2,11
259,1896,25,75,21
260,1917,10,191,7
261,1924,19,101,5
262,1929,6,321,3
263,1932,1907,1,25
264,1957,8,244,5
265,1962,653,3,3
266,1965,977,2,11
267,1976,151,13,13
268,1989,6,331,3
269,1992,283,7,11
270,2003,997,2,9
