n,a,k,L,d
1,25,0,0,20
2,45,35,1,10
3,55,0,0,36
4,91,29,3,4
5,95,7,13,4
6,99,73,1,26
7,125,23,5,10
8,135,127,1,8
9,143,19,7,10
10,153,151,1,2
11,155,149,1,6
12,161,21,7,14
13,175,163,1,12
14,187,149,1,38
15,225,43,5,10
16,235,15,15,10
17,245,3,81,2
18,247,233,1,14
19,261,83,3,12
20,273,271,1,2
21,275,271,1,4
22,279,7,39,6
23,285,281,1,4
24,289,281,1,8
25,297,25,11,22
26,319,103,3,10
27,329,5,65,4
28,333,331,1,2
29,335,21,15,20
30,355,347,1,8
31,363,7,51,6
32,369,27,13,18
33,387,383,1,4
34,391,379,1,12
35,403,7,57,4
36,407,401,1,6
37,413,13,31,10
38,423,421,1,2
39,425,421,1,4
40,429,9,47,6
41,435,433,1,2
42,437,433,1,4
43,441,47,9,18
44,459,89,5,14
45,473,7,67,4
46,477,11,43,4
47,481,479,1,2
48,483,11,43,10
49,493,479,1,14
50,507,71,7,10
51,517,509,1,8
52,525,521,1,4
53,529,5,105,4
54,533,3,177,2
55,535,103,5,20
56,555,19,29,4
57,559,19,29,8
58,567,79,7,14
59,581,21,27,14
60,595,83,7,14
61,609,9,67,6
62,615,7,87,6
63,621,619,1,2
64,623,13,47,12
65,635,3,211,2
66,637,89,7,14
67,651,647,1,4
68,655,647,1,8
69,663,661,1,2
70,665,659,1,6
71,671,23,29,4
72,675,647,1,28
73,703,701,1,2
74,705,19,37,2
75,707,701,1,6
76,713,701,1,12
77,725,701,1,24
78,749,743,1,6
79,755,149,5,10
80,765,7,109,2
81,767,757,1,10
82,777,5,155,2
83,779,109,7,16
84,795,7,113,4
85,799,109,7,36
86,835,7,119,2
87,837,829,1,8
88,845,167,5,10
89,855,283,3,6
90,861,23,37,10
91,871,17,51,4
92,875,173,5,10
93,885,877,1,8
94,893,7,127,4
95,897,5,179,2
96,899,3,299,2
97,901,127,7,12
98,913,911,1,2
99,915,181,5,10
100,925,919,1,6
101,931,9,103,4
102,935,9,103,8
103,943,19,49,12
104,955,953,1,2
105,957,15,63,12
106,969,9,107,6
107,975,73,13,26
108,1001,3,333,2
109,1003,7,143,2
110,1005,983,1,22
111,1027,113,9,10
112,1037,1031,1,6
113,1043,3,347,2
114,1045,17,61,8
115,1053,1051,1,2
116,1055,149,7,12
117,1067,1061,1,6
118,1073,3,357,2
119,1075,11,97,8
120,1083,359,3,6
121,1089,19,57,6
122,1095,83,13,16
123,1111,367,3,10
124,1121,1117,1,4
125,1125,373,3,6
126,1131,1129,1,2
127,1133,3,377,2
128,1135,101,11,24
129,1159,13,89,2
130,1161,1153,1,8
131,1169,9,129,8
132,1177,1171,1,6
133,1183,389,3,16
