n,a,k,L,d
1,3,0,0,3
2,6,5,1,1
3,7,0,0,4
4,11,2,5,1
5,12,5,2,2
6,14,13,1,1
7,15,11,1,4
8,19,17,1,2
9,21,2,10,1
10,22,3,7,1
11,23,2,11,1
12,24,7,3,3
13,27,2,13,1
14,28,13,2,2
15,30,29,1,1
16,31,29,1,2
17,33,31,1,2
18,35,4,8,3
19,38,37,1,1
20,39,4,9,3
21,42,41,1,1
22,43,2,21,1
23,44,3,14,2
24,46,3,15,1
25,47,2,23,1
26,48,5,9,3
27,51,4,12,3
28,54,53,1,1
29,55,2,27,1
30,56,5,11,1
31,57,5,11,2
32,59,2,29,1
33,60,29,2,2
34,62,61,1,1
35,63,4,15,3
36,66,5,13,1
37,67,5,13,2
38,69,2,34,1
39,70,3,23,1
40,71,67,1,4
41,75,2,37,1
42,76,3,25,1
43,77,2,38,1
44,78,7,11,1
45,79,5,15,4
46,83,2,41,1
47,84,41,2,2
48,86,5,17,1
49,87,2,43,1
50,88,5,17,3
51,91,2,45,1
52,92,7,13,1
53,93,2,46,1
54,94,3,31,1
55,95,2,47,1
56,96,31,3,3
57,99,4,24,3
58,102,101,1,1
59,103,101,1,2
60,105,103,1,2
61,107,2,53,1
62,108,53,2,2
63,110,109,1,1
64,111,2,55,1
65,112,5,22,2
66,114,113,1,1
67,115,4,28,3
68,118,3,39,1
69,119,2,59,1
70,120,9,13,3
71,123,2,61,1
72,124,61,2,2
73,126,5,25,1
74,127,5,25,2
75,129,127,1,2
76,131,2,65,1
77,132,131,1,1
78,133,2,66,1
79,134,7,19,1
80,135,4,33,3
81,138,137,1,1
82,139,2,69,1
83,140,139,1,1
84,141,2,70,1
85,142,3,47,1
86,143,139,1,4
87,147,4,36,3
88,150,149,1,1
89,151,2,75,1
90,152,3,50,2
91,154,3,51,1
92,155,2,77,1
93,156,7,22,2
94,158,157,1,1
95,159,157,1,2
96,161,3,53,2
97,163,7,23,2
98,165,2,82,1
99,166,3,55,1
100,167,2,83,1
101,168,5,33,3
102,171,2,85,1
103,172,5,34,2
104,174,173,1,1
105,175,2,87,1
106,176,5,35,1
107,177,5,35,2
108,179,4,44,3
109,182,181,1,1
110,183,2,91,1
111,184,7,26,2
112,186,5,37,1
113,187,2,93,1
114,188,11,17,1
115,189,2,94,1
116,190,3,63,1
117,191,2,95,1
118,192,7,27,3
119,195,4,48,3
120,198,197,1,1
121,199,197,1,2
122,201,199,1,2
123,203,2,101,1
124,204,101,2,2
125,206,5,41,1
126,207,5,41,2
127,209,2,104,1
128,210,11,19,1
129,211,11,19,2
130,213,2,106,1
131,214,3,71,1
132,215,2,107,1
133,216,5,43,1
134,217,5,43,2
135,219,2,109,1
136,220,109,2,2
137,222,13,17,1
138,223,2,111,1
139,224,13,17,3
140,227,2,113,1
141,228,113,2,2
142,230,229,1,1
143,231,227,1,4
144,235,2,117,1
145,236,5,47,1
146,237,2,118,1
147,238,3,79,1
148,239,2,119,1
149,240,79,3,3
150,243,4,60,3
151,246,5,49,1
152,247,2,123,1
153,248,13,19,1
154,249,13,19,2
155,251,2,125,1
156,252,251,1,1
157,253,2,126,1
158,254,11,23,1
159,255,4,63,3
160,258,257,1,1
161,259,4,64,3
162,262,3,87,1
163,263,2,131,1
164,264,131,2,2
165,266,5,53,1
166,267,2,133,1
167,268,7,38,2
168,270,269,1,1
169,271,269,1,2
170,273,271,1,2
171,275,2,137,1
172,276,137,2,2
173,278,277,1,1
174,279,2,139,1
175,280,139,2,2
176,282,281,1,1
177,283,2,141,1
178,284,283,1,1
179,285,2,142,1
180,286,3,95,1
181,287,283,1,4
182,291,4,72,3
183,294,293,1,1
184,295,293,1,2
185,297,5,59,2
186,299,2,149,1
187,300,13,23,1
188,301,2,150,1
189,302,7,43,1
190,303,2,151,1
191,304,7,43,3
192,307,2,153,1
193,308,307,1,1
194,309,2,154,1
195,310,3,103,1
196,311,2,155,1
197,312,103,3,3
198,315,2,157,1
199,316,157,2,2
200,318,317,1,1
201,319,317,1,2
202,321,2,160,1
203,322,3,107,1
204,323,4,80,3
205,326,5,65,1
206,327,5,65,2
207,329,2,164,1
208,330,7,47,1
209,331,2,165,1
210,332,3,110,2
211,334,3,111,1
212,335,2,167,1
213,336,9,37,3
214,339,337,1,2
215,341,2,170,1
216,342,11,31,1
217,343,2,171,1
218,344,7,49,1
219,345,7,49,2
220,347,2,173,1
221,348,173,2,2
222,350,349,1,1
223,351,2,175,1
224,352,5,70,2
225,354,353,1,1
226,355,353,1,2
227,357,2,178,1
228,358,3,119,1
229,359,5,71,4
230,363,2,181,1
231,364,181,2,2
232,366,5,73,1
233,367,2,183,1
234,368,5,73,3
235,371,2,185,1
236,372,5,74,2
237,374,373,1,1
238,375,2,187,1
239,376,11,34,2
240,378,13,29,1
241,379,2,189,1
242,380,379,1,1
243,381,2,190,1
244,382,3,127,1
245,383,2,191,1
246,384,383,1,1
247,385,383,1,2
248,387,4,96,3
249,390,389,1,1
250,391,389,1,2
251,393,17,23,2
252,395,2,197,1
253,396,197,2,2
254,398,397,1,1
255,399,4,99,3
256,402,401,1,1
257,403,4,100,3
258,406,3,135,1
259,407,2,203,1
260,408,5,81,3
261,411,2,205,1
262,412,3,137,1
263,413,2,206,1
264,414,7,59,1
265,415,7,59,2
266,417,2,208,1
267,418,3,139,1
268,419,2,209,1
269,420,11,38,2
270,422,421,1,1
271,423,4,105,3
272,426,5,85,1
273,427,2,213,1
274,428,7,61,1
275,429,2,214,1
276,430,3,143,1
277,431,2,215,1
278,432,5,86,2
279,434,433,1,1
280,435,433,1,2
