n,a,k,L,d
1,1,0,0,2
2,3,0,0,5
3,8,0,0,5
4,13,8,1,5
5,18,4,4,2
6,20,15,1,5
7,25,10,2,5
8,30,25,1,5
9,35,3,11,2
10,37,8,4,5
11,42,37,1,5
12,47,6,7,5
13,52,5,10,2
14,54,7,7,5
15,59,6,9,5
16,64,11,5,9
17,73,17,4,5
18,78,73,1,5
19,83,3,27,2
20,85,8,10,5
21,90,17,5,5
22,95,6,15,5
23,100,7,14,2
24,102,97,1,5
25,107,6,17,5
26,112,107,1,5
27,117,5,23,2
28,119,6,19,5
29,124,7,17,5
30,129,10,12,9
31,138,7,19,5
32,143,6,23,5
33,148,73,2,2
34,150,29,5,5
35,155,6,25,5
36,160,31,5,5
37,165,163,1,2
38,167,6,27,5
39,172,167,1,5
40,177,43,4,5
41,182,3,60,2
42,184,179,1,5
43,189,8,23,5
44,194,37,5,9
45,203,6,33,5
46,208,7,29,5
47,213,211,1,2
48,215,6,35,5
49,220,43,5,5
50,225,10,22,5
51,230,3,76,2
52,232,227,1,5
53,237,8,29,5
54,242,79,3,5
55,247,5,49,2
56,249,61,4,5
57,254,17,14,16
58,270,53,5,5
59,275,3,91,2
60,277,8,34,5
61,282,277,1,5
62,287,6,47,5
63,292,5,58,2
64,294,17,17,5
65,299,6,49,5
66,304,13,23,5
67,309,307,1,2
68,311,6,51,5
69,316,311,1,5
70,321,12,26,9
71,330,13,25,5
72,335,6,55,5
73,340,13,26,2
74,342,337,1,5
75,347,6,57,5
76,352,347,1,5
77,357,5,71,2
78,359,6,59,5
79,364,359,1,5
80,369,7,52,5
81,374,3,124,2
82,376,7,53,5
83,381,8,47,5
84,386,13,29,9
85,395,6,65,5
86,400,79,5,5
87,405,13,31,2
88,407,6,67,5
89,412,11,37,5
90,417,103,4,5
91,422,3,140,2
92,424,419,1,5
93,429,8,53,5
94,434,11,39,5
95,439,19,23,2
96,441,109,4,5
97,446,7,63,5
98,451,13,34,9
99,460,7,65,5
100,465,10,46,5
101,470,3,156,2
102,472,467,1,5
103,477,8,59,5
104,482,9,53,5
105,487,5,97,2
106,489,11,44,5
107,494,163,3,5
108,499,13,38,5
109,504,251,2,2
110,506,167,3,5
111,511,33,15,16
112,527,6,87,5
113,532,5,106,2
114,534,23,23,5
115,539,6,89,5
116,544,7,77,5
117,549,547,1,2
118,551,6,91,5
119,556,19,29,5
120,561,139,4,5
121,566,3,188,2
122,568,563,1,5
123,573,8,71,5
124,578,569,1,9
125,587,6,97,5
126,592,587,1,5
127,597,5,119,2
128,599,6,99,5
129,604,599,1,5
130,609,151,4,5
131,614,3,204,2
132,616,13,47,5
133,621,7,88,5
134,626,9,69,5
135,631,17,37,2
136,633,157,4,5
137,638,211,3,5
138,643,317,2,9
