n,a,k,L,d
1,9,0,0,10
2,19,0,0,10
3,29,19,1,10
4,39,29,1,10
5,49,13,3,10
6,59,49,1,10
7,69,59,1,10
8,79,23,3,10
9,89,2,44,1
10,90,89,1,1
11,91,2,45,1
12,92,7,13,1
13,93,2,46,1
14,94,3,31,1
15,95,2,47,1
16,96,5,19,1
17,97,2,48,1
18,98,97,1,1
19,99,89,1,10
20,109,11,9,10
21,119,109,1,10
22,129,17,7,10
23,139,43,3,10
24,149,139,1,10
25,159,149,1,10
26,169,53,3,10
27,179,13,13,10
28,189,2,94,1
29,190,3,63,1
30,191,2,95,1
31,192,191,1,1
32,193,2,96,1
33,194,193,1,1
34,195,2,97,1
35,196,3,65,1
36,197,2,98,1
37,198,197,1,1
38,199,21,9,10
39,209,199,1,10
40,219,11,19,10
41,229,73,3,10
42,239,229,1,10
43,249,239,1,10
44,259,83,3,10
45,269,37,7,10
46,279,269,1,10
47,289,2,144,1
48,290,17,17,1
49,291,2,145,1
50,292,3,97,1
51,293,2,146,1
52,294,293,1,1
53,295,2,147,1
54,296,5,59,1
55,297,2,148,1
56,298,3,99,1
57,299,17,17,10
58,309,13,23,10
59,319,103,3,10
60,329,11,29,10
61,339,47,7,10
62,349,113,3,10
63,359,349,1,10
64,369,359,1,10
65,379,41,9,10
66,389,2,194,1
67,390,389,1,1
68,391,2,195,1
69,392,17,23,1
70,393,2,196,1
71,394,3,131,1
72,395,2,197,1
73,396,5,79,1
74,397,2,198,1
75,398,397,1,1
76,399,389,1,10
77,409,19,21,10
78,419,409,1,10
79,429,419,1,10
80,439,11,39,10
81,449,439,1,10
82,459,449,1,10
83,469,17,27,10
84,479,67,7,10
85,489,2,244,1
86,490,3,163,1
87,491,2,245,1
88,492,491,1,1
89,493,2,246,1
90,494,17,29,1
91,495,2,247,1
92,496,3,165,1
93,497,2,248,1
94,498,7,71,1
95,499,163,3,10
96,509,499,1,10
97,519,509,1,10
98,529,173,3,10
99,539,23,23,10
100,549,11,49,10
101,559,61,9,10
102,569,13,43,10
103,579,569,1,10
104,589,2,294,1
105,590,19,31,1
106,591,2,295,1
107,592,3,197,1
108,593,2,296,1
109,594,593,1,1
110,595,2,297,1
111,596,5,119,1
112,597,2,298,1
113,598,3,199,1
114,599,19,31,10
115,609,599,1,10
116,619,21,29,10
117,629,619,1,10
118,639,17,37,10
119,649,71,9,10
120,659,11,59,10
121,669,659,1,10
122,679,223,3,10
123,689,2,344,1
124,690,13,53,1
125,691,2,345,1
126,692,691,1,1
127,693,2,346,1
128,694,3,231,1
129,695,2,347,1
130,696,5,139,1
131,697,2,348,1
132,698,17,41,1
133,699,13,53,10
134,709,233,3,10
135,719,709,1,10
136,729,719,1,10
137,739,27,27,10
138,749,739,1,10
139,759,107,7,10
140,769,11,69,10
141,779,769,1,10
142,789,2,394,1
143,790,3,263,1
144,791,2,395,1
145,792,7,113,1
146,793,2,396,1
147,794,13,61,1
148,795,2,397,1
149,796,3,265,1
150,797,2,398,1
151,798,797,1,1
152,799,263,3,10
153,809,17,47,10
154,819,809,1,10
155,829,13,63,10
156,839,829,1,10
157,849,839,1,10
158,859,283,3,10
159,869,859,1,10
160,879,11,79,10
161,889,2,444,1
162,890,7,127,1
163,891,2,445,1
164,892,3,297,1
165,893,2,446,1
166,894,19,47,1
167,895,2,447,1
168,896,5,179,1
169,897,2,448,1
170,898,3,299,1
171,899,2,449,1
172,900,29,31,1
173,901,2,450,1
174,902,17,53,1
175,903,2,451,1
176,904,3,301,1
177,905,2,452,1
178,906,5,181,1
179,907,2,453,1
180,908,907,1,1
181,909,2,454,1
182,910,3,303,1
183,911,2,455,1
184,912,911,1,1
185,913,2,456,1
186,914,11,83,1
187,915,2,457,1
188,916,3,305,1
189,917,2,458,1
190,918,7,131,1
191,919,2,459,1
192,920,919,1,1
193,921,2,460,1
194,922,3,307,1
195,923,2,461,1
196,924,13,71,1
197,925,2,462,1
198,926,5,185,1
199,927,2,463,1
200,928,3,309,1
201,929,2,464,1
202,930,929,1,1
203,931,2,465,1
204,932,7,133,1
205,933,2,466,1
206,934,3,311,1
207,935,2,467,1
208,936,5,187,1
209,937,2,468,1
210,938,937,1,1
211,939,2,469,1
212,940,3,313,1
213,941,2,470,1
214,942,941,1,1
215,943,2,471,1
216,944,23,41,1
217,945,2,472,1
218,946,3,315,1
219,947,2,473,1
220,948,947,1,1
221,949,2,474,1
222,950,13,73,1
223,951,2,475,1
224,952,3,317,1
225,953,2,476,1
226,954,953,1,1
227,955,2,477,1
228,956,5,191,1
229,957,2,478,1
230,958,3,319,1
231,959,2,479,1
232,960,7,137,1
233,961,2,480,1
234,962,31,31,1
235,963,2,481,1
236,964,3,321,1
237,965,2,482,1
238,966,5,193,1
239,967,2,483,1
240,968,967,1,1
241,969,2,484,1
242,970,3,323,1
243,971,2,485,1
244,972,971,1,1
245,973,2,486,1
246,974,7,139,1
247,975,2,487,1
248,976,3,325,1
249,977,2,488,1
250,978,977,1,1
251,979,2,489,1
252,980,11,89,1
253,981,2,490,1
254,982,3,327,1
255,983,2,491,1
256,984,983,1,1
257,985,2,492,1
258,986,5,197,1
259,987,2,493,1
260,988,3,329,1
261,989,2,494,1
262,990,23,43,1
263,991,2,495,1
264,992,991,1,1
265,993,2,496,1
266,994,3,331,1
267,995,2,497,1
268,996,5,199,1
269,997,2,498,1
270,998,997,1,1
271,999,23,43,10
272,1009,27,37,10
273,1019,1009,1,10
274,1029,1019,1,10
275,1039,21,49,10
276,1049,1039,1,10
277,1059,1049,1,10
278,1069,353,3,10
279,1079,1069,1,10
280,1089,2,544,1
281,1090,3,363,1
282,1091,2,545,1
283,1092,1091,1,1
284,1093,2,546,1
285,1094,1093,1,1
