n,a,k,L,d
1,4,0,0,2
2,6,0,0,6
3,12,0,0,6
4,18,0,0,12
5,30,18,1,12
6,42,24,1,18
7,60,16,3,12
8,72,42,1,30
9,102,8,12,6
10,108,39,2,30
11,138,14,9,12
12,150,40,3,30
13,180,14,12,12
14,192,31,6,6
15,198,42,4,30
16,228,18,12,12
17,240,35,6,30
18,270,43,6,12
19,282,36,7,30
20,312,46,6,36
21,348,92,3,72
22,420,17,24,12
23,432,67,6,30
24,462,67,6,60
25,522,79,6,48
26,570,36,15,30
27,600,97,6,18
28,618,27,22,24
29,642,24,26,18
30,660,170,3,150
31,810,14,57,12
32,822,8,102,6
33,828,38,21,30
34,858,139,6,24
35,882,186,4,138
36,1020,14,72,12
37,1032,26,39,18
38,1050,173,6,12
39,1062,43,24,30
40,1092,86,12,60
41,1152,179,6,78
42,1230,197,6,48
43,1278,211,6,12
44,1290,18,71,12
45,1302,107,12,18
46,1320,202,6,108
47,1428,26,54,24
48,1452,79,18,30
49,1482,9,164,6
50,1488,152,9,120
51,1608,14,114,12
52,1620,131,12,48
53,1668,39,42,30
54,1698,27,62,24
55,1722,69,24,66
56,1788,142,12,84
57,1872,311,6,6
58,1878,57,32,54
59,1932,22,87,18
60,1950,317,6,48
61,1998,41,48,30
62,2028,94,21,54
63,2082,12,173,6
64,2088,43,48,24
65,2112,349,6,18
66,2130,353,6,12
67,2142,186,11,96
68,2238,32,69,30
69,2268,53,42,42
70,2310,38,60,30
71,2340,383,6,42
72,2382,246,9,168
73,2550,44,57,42
74,2592,421,6,66
75,2658,36,73,30
76,2688,36,74,24
77,2712,449,6,18
78,2730,89,30,60
79,2790,463,6,12
80,2802,439,6,168
81,2970,35,84,30
82,3000,144,20,120
83,3120,64,48,48
84,3168,257,12,84
85,3252,541,6,6
86,3258,48,67,42
87,3300,109,30,30
88,3330,33,100,30
89,3360,18,186,12
90,3372,26,129,18
91,3390,79,42,72
92,3462,8,432,6
93,3468,71,48,60
94,3528,293,12,12
95,3540,587,6,18
96,3558,31,114,24
97,3582,97,36,90
98,3672,149,24,96
99,3768,619,6,54
100,3822,48,79,30
101,3852,631,6,66
102,3918,14,279,12
103,3930,643,6,72
104,4002,24,166,18
105,4020,35,114,30
106,4050,167,24,42
107,4092,39,104,36
108,4128,683,6,30
109,4158,683,6,60
110,4218,701,6,12
111,4230,19,222,12
112,4242,22,192,18
113,4260,18,236,12
114,4272,701,6,66
115,4338,709,6,84
116,4422,727,6,60
117,4482,38,117,36
118,4518,33,136,30
119,4548,743,6,90
120,4638,18,257,12
121,4650,109,42,72
122,4722,97,48,66
123,4788,24,199,12
124,4800,389,12,132
125,4932,48,102,36
126,4968,821,6,42
127,5010,14,357,12
128,5022,103,48,78
129,5100,138,36,132
130,5232,54,96,48
131,5280,857,6,138
132,5418,29,186,24
133,5442,51,106,36
134,5478,27,202,24
135,5502,457,12,18
136,5520,135,40,120
137,5640,14,402,12
138,5652,941,6,6
139,5658,929,6,84
140,5742,313,18,108
141,5850,24,243,18
142,5868,16,366,12
143,5880,270,21,210
144,6090,48,126,42
145,6132,337,18,66
146,6198,1021,6,72
147,6270,32,195,30
148,6300,65,96,60
149,6360,95,66,90
150,6450,138,46,102
151,6552,22,297,18
152,6570,108,60,90
153,6660,34,195,30
154,6690,14,477,12
155,6702,81,82,60
156,6762,24,281,18
157,6780,16,423,12
158,6792,563,12,36
159,6828,58,117,42
160,6870,283,24,78
161,6948,17,408,12
162,6960,283,24,168
163,7128,587,12,84
164,7212,593,12,96
165,7308,607,12,24
166,7332,23,318,18
167,7350,142,51,108
168,7458,619,12,30
169,7488,619,12,60
170,7548,16,471,12
171,7560,251,30,30
172,7590,1237,6,168
173,7758,134,57,120
174,7878,1301,6,72
175,7950,263,30,60
176,8010,661,12,78
177,8088,153,52,132
178,8220,16,513,12
179,8232,227,36,60
180,8292,683,12,96
181,8388,78,107,42
182,8430,114,73,108
183,8538,157,54,60
184,8598,34,252,30
185,8628,222,38,192
186,8820,27,326,18
187,8838,26,339,24
188,8862,1459,6,108
189,8970,60,149,30
190,9000,14,642,12
191,9012,499,18,30
192,9042,201,44,198
193,9240,63,146,42
194,9282,87,106,60
195,9342,193,48,78
196,9420,14,672,12
197,9432,1571,6,6
198,9438,523,18,24
199,9462,1549,6,168
200,9630,1597,6,48
201,9678,44,219,42
202,9720,52,186,48
203,9768,1613,6,90
204,9858,233,42,72
205,9930,821,12,78
206,10008,1663,6,30
207,10038,36,278,30
208,10068,27,372,24
209,10092,54,186,48
210,10140,139,72,132
211,10272,569,18,30
212,10302,32,321,30
213,10332,853,12,96
214,10428,1733,6,30
215,10458,48,217,42
216,10500,349,30,30
217,10530,207,50,180
218,10710,160,66,150
219,10860,38,285,30
220,10890,78,139,48
221,10938,601,18,120
222,11058,14,789,12
223,11070,66,167,48
224,11118,52,213,42
225,11160,929,12,12
226,11172,229,48,180
227,11352,178,63,138
228,11490,90,127,60
229,11550,152,75,150
230,11700,22,531,18
231,11718,67,174,60
232,11778,977,12,54
233,11832,977,12,108
234,11940,397,30,30
235,11970,661,18,72
236,12042,33,364,30
237,12072,51,236,36
238,12108,82,147,54
239,12162,106,114,78
240,12240,1019,12,12
241,12252,129,94,126
242,12378,509,24,162
243,12540,1039,12,72
244,12612,234,53,210
245,12822,101,126,96
246,12918,93,138,84
247,13002,9,1444,6
248,13008,237,54,210
249,13218,177,74,120
250,13338,2213,6,60
251,13398,1093,12,282
252,13680,17,804,12
253,13692,43,318,18
254,13710,18,761,12
255,13722,2281,6,36
256,13758,2281,6,72
257,13830,2297,6,48
258,13878,2309,6,24
259,13902,34,408,30
260,13932,2311,6,66
261,13998,14,999,12
262,14010,101,138,72
263,14082,773,18,168
264,14250,102,139,72
265,14322,72,198,66
266,14388,72,199,60
267,14448,797,18,102
268,14550,2423,6,12
269,14562,42,346,30
270,14592,1213,12,36
271,14628,327,44,240
272,14868,811,18,270
273,15138,183,82,132
274,15270,31,492,18
275,15288,63,242,42
