n,a,k,L,d
1,2,0,0,3
2,5,3,1,2
3,7,4,1,3
4,10,7,1,3
5,13,11,1,2
6,15,4,3,3
7,18,5,3,3
8,21,19,1,2
9,23,4,5,3
10,26,23,1,3
11,29,3,9,2
12,31,4,7,3
13,34,31,1,3
14,37,5,7,2
15,39,4,9,3
16,42,4,10,2
17,44,41,1,3
18,47,4,11,3
19,50,3,16,2
20,52,7,7,3
21,55,4,13,3
22,58,4,14,2
23,60,19,3,3
24,63,4,15,3
25,66,4,16,2
26,68,5,13,3
27,71,4,17,3
28,74,3,24,2
29,76,73,1,3
30,79,4,19,3
31,82,4,20,2
32,84,9,9,3
33,87,5,17,2
34,89,43,2,3
35,92,89,1,3
36,95,3,31,2
37,97,47,2,3
38,100,97,1,3
39,103,101,1,2
40,105,6,17,3
41,108,5,21,3
42,111,109,1,2
43,113,5,22,3
44,116,113,1,3
45,119,3,39,2
46,121,59,2,3
47,124,61,2,2
48,126,41,3,3
49,129,6,21,3
50,132,5,26,2
51,134,131,1,3
52,137,67,2,3
53,140,3,46,2
54,142,139,1,3
55,145,71,2,3
56,148,73,2,2
57,150,7,21,3
58,153,5,30,3
59,156,7,22,2
60,158,5,31,3
61,161,79,2,3
62,164,3,54,2
63,166,163,1,3
64,169,167,1,2
65,171,4,42,3
66,174,9,19,3
67,177,5,35,2
68,179,4,44,3
69,182,179,1,3
70,185,3,61,2
71,187,4,46,3
72,190,11,17,3
73,193,191,1,2
74,195,4,48,3
75,198,5,39,3
76,201,199,1,2
77,203,4,50,3
78,206,7,29,3
79,209,3,69,2
80,211,4,52,3
81,214,4,53,2
82,216,71,3,3
83,219,4,54,3
84,222,4,55,2
85,224,13,17,3
86,227,4,56,3
87,230,3,76,2
88,232,229,1,3
89,235,4,58,3
90,238,4,59,2
91,240,79,3,3
92,243,4,60,3
93,246,4,61,2
94,248,5,49,3
95,251,3,83,2
96,253,5,50,3
97,256,11,23,3
98,259,257,1,2
99,261,6,43,3
100,264,9,29,3
101,267,5,53,2
102,269,7,38,3
103,272,269,1,3
104,275,3,91,2
105,277,137,2,3
106,280,277,1,3
107,283,281,1,2
108,285,6,47,3
109,288,5,57,3
110,291,17,17,2
111,293,5,58,3
112,296,3,98,2
113,298,5,59,3
114,301,149,2,3
115,304,151,2,2
116,306,101,3,3
117,309,6,51,3
118,312,5,62,2
119,314,311,1,3
120,317,157,2,3
121,320,3,106,2
122,322,11,29,3
123,325,7,46,3
124,328,163,2,2
125,330,109,3,3
126,333,5,66,3
127,336,167,2,2
128,338,5,67,3
129,341,3,113,2
130,343,4,85,3
131,346,7,49,3
132,349,347,1,2
133,351,4,87,3
134,354,9,39,3
135,357,5,71,2
136,359,4,89,3
137,362,359,1,3
138,365,3,121,2
139,367,4,91,3
140,370,367,1,3
141,373,7,53,2
142,375,4,93,3
143,378,4,94,2
144,380,13,29,3
145,383,4,95,3
146,386,3,128,2
147,388,5,77,3
148,391,4,97,3
149,394,4,98,2
150,396,131,3,3
151,399,4,99,3
152,402,4,100,2
153,404,401,1,3
154,407,4,101,3
155,410,3,136,2
156,412,409,1,3
157,415,4,103,3
158,418,4,104,2
159,420,139,3,3
160,423,421,1,2
161,425,211,2,3
162,428,5,85,3
163,431,3,143,2
164,433,5,86,3
165,436,433,1,3
166,439,19,23,2
167,441,6,73,3
168,444,7,63,3
169,447,5,89,2
170,449,223,2,3
171,452,449,1,3
172,455,3,151,2
173,457,227,2,3
174,460,457,1,3
175,463,461,1,2
176,465,6,77,3
177,468,233,2,2
178,470,467,1,3
179,473,5,94,3
180,476,3,158,2
181,478,5,95,3
182,481,239,2,3
183,484,241,2,2
184,486,7,69,3
185,489,6,81,3
186,492,5,98,2
187,494,491,1,3
188,497,13,38,3
189,500,3,166,2
190,502,499,1,3
191,505,503,1,2
192,507,4,126,3
193,510,13,39,3
194,513,7,73,2
195,515,4,128,3
196,518,5,103,3
197,521,3,173,2
198,523,4,130,3
199,526,523,1,3
200,529,17,31,2
201,531,4,132,3
202,534,9,59,3
203,537,5,107,2
204,539,4,134,3
205,542,7,77,3
206,545,3,181,2
207,547,4,136,3
208,550,4,137,2
209,552,9,61,3
210,555,4,138,3
211,558,4,139,2
212,560,557,1,3
213,563,4,140,3
214,566,3,188,2
215,568,5,113,3
216,571,4,142,3
217,574,4,143,2
218,576,191,3,3
219,579,4,144,3
220,582,4,145,2
221,584,7,83,3
222,587,4,146,3
223,590,3,196,2
224,592,19,31,3
225,595,593,1,2
226,597,6,99,3
227,600,199,3,3
228,603,601,1,2
229,605,7,86,3
230,608,5,121,3
231,611,3,203,2
232,613,5,122,3
233,616,613,1,3
234,619,617,1,2
235,621,6,103,3
236,624,9,69,3
237,627,5,125,2
238,629,313,2,3
239,632,3,210,2
240,634,631,1,3
241,637,317,2,3
242,640,11,58,2
243,642,9,71,3
244,645,6,107,3
245,648,17,38,2
246,650,647,1,3
247,653,5,130,3
248,656,3,218,2
249,658,5,131,3
250,661,7,94,3
251,664,331,2,2
252,666,13,51,3
253,669,6,111,3
254,672,5,134,2
255,674,11,61,3
256,677,3,225,2
257,679,4,169,3
258,682,7,97,3
259,685,683,1,2
260,687,4,171,3
261,690,229,3,3
262,693,691,1,2
263,695,4,173,3
264,698,5,139,3
265,701,3,233,2
266,703,4,175,3
267,706,19,37,3
268,709,7,101,2
269,711,4,177,3
270,714,4,178,2
271,716,23,31,3
272,719,4,179,3
273,722,3,240,2
274,724,7,103,3
275,727,4,181,3
276,730,4,182,2
277,732,9,81,3
278,735,4,183,3
279,738,4,184,2
280,740,11,67,3
281,743,4,185,3
282,746,3,248,2
283,748,5,149,3
284,751,4,187,3
285,754,4,188,2
286,756,251,3,3
287,759,757,1,2
288,761,379,2,3
289,764,761,1,3
290,767,3,255,2
291,769,383,2,3
292,772,769,1,3
293,775,773,1,2
294,777,6,129,3
295,780,7,111,3
296,783,11,71,2
297,785,17,46,3
298,788,5,157,3
299,791,3,263,2
300,793,5,158,3
301,796,13,61,3
302,799,797,1,2
303,801,6,133,3
304,804,401,2,2
305,806,11,73,3
306,809,13,62,3
307,812,3,270,2
308,814,811,1,3
309,817,11,74,3
310,820,409,2,2
311,822,7,117,3
312,825,6,137,3
313,828,7,118,2
314,830,827,1,3
315,833,5,166,3
316,836,3,278,2
317,838,5,167,3
318,841,839,1,2
319,843,4,210,3
320,846,281,3,3
321,849,7,121,2
