n,a,k,L,d
1,1,0,0,6
2,7,4,1,3
3,10,7,1,3
4,13,7,1,6
5,19,5,3,4
6,23,6,3,5
7,28,5,5,3
8,31,2,15,1
9,32,20,1,12
10,44,13,3,5
11,49,30,1,19
12,68,3,22,2
13,70,61,1,9
14,79,4,19,3
15,82,6,13,4
16,86,9,9,5
17,91,4,22,3
18,94,7,13,3
19,97,47,2,3
20,100,97,1,3
21,103,97,1,6
22,109,89,1,20
23,129,2,64,1
24,130,127,1,3
25,133,127,1,6
26,139,37,3,28
27,167,79,2,9
28,176,41,4,12
29,188,3,62,2
30,190,4,47,2
31,192,191,1,1
32,193,61,3,10
33,203,6,33,5
34,208,197,1,11
35,219,53,4,7
36,226,6,37,4
37,230,7,32,6
38,236,233,1,3
39,239,24,9,23
40,262,3,87,1
41,263,41,6,17
42,280,269,1,11
43,291,17,17,2
44,293,15,19,8
45,301,2,150,1
46,302,14,21,8
47,310,307,1,3
48,313,307,1,6
49,319,2,159,1
50,320,157,2,6
51,326,17,19,3
52,329,3,109,2
53,331,9,36,7
54,338,20,16,18
55,356,7,50,6
56,362,359,1,3
57,365,3,121,2
58,367,2,183,1
59,368,9,40,8
60,376,373,1,3
61,379,5,75,4
62,383,4,95,3
63,386,127,3,5
64,391,2,195,1
65,392,9,43,5
66,397,10,39,7
67,404,7,57,5
68,409,42,9,31
69,440,7,62,6
70,446,107,4,18
71,464,9,51,5
72,469,10,46,9
73,478,67,7,9
74,487,4,121,3
75,490,11,44,6
76,496,57,8,40
77,536,43,12,20
78,556,9,61,7
79,563,3,187,2
80,565,2,282,1
81,566,131,4,42
82,608,599,1,9
83,617,6,102,5
84,622,3,207,1
85,623,307,2,9
86,632,17,37,3
87,635,3,211,2
88,637,2,318,1
89,638,8,79,6
90,644,9,71,5
91,649,5,129,4
92,653,3,217,2
93,655,2,327,1
94,656,647,1,9
95,665,659,1,6
96,671,3,223,2
97,673,9,74,7
98,680,677,1,3
99,683,12,56,11
100,694,8,86,6
101,700,691,1,9
102,709,9,78,7
103,716,24,29,20
104,736,733,1,3
105,739,10,73,9
106,748,15,49,13
107,761,3,253,2
108,763,53,14,21
109,784,389,2,6
110,790,787,1,3
111,793,14,56,9
112,802,6,133,4
113,806,397,2,12
114,818,3,272,2
115,820,269,3,13
116,833,5,166,3
117,836,15,55,11
118,847,139,6,13
119,860,857,1,3
120,863,12,71,11
121,874,17,51,7
122,881,19,46,7
123,888,877,1,11
124,899,3,299,2
125,901,449,2,3
126,904,17,53,3
127,907,4,226,3
128,910,4,227,2
129,912,911,1,1
130,913,181,5,8
131,921,919,1,2
132,923,15,61,8
133,931,2,465,1
134,932,9,103,5
135,937,467,2,3
136,940,467,2,6
137,946,29,32,18
138,964,479,2,6
139,970,967,1,3
140,973,29,33,16
141,989,10,98,9
142,998,3,332,2
143,1000,997,1,3
144,1003,997,1,6
145,1009,23,43,20
146,1029,2,514,1
147,1030,13,79,3
148,1033,13,79,6
149,1039,337,3,28
150,1067,23,46,9
151,1076,14,76,12
152,1088,3,362,2
153,1090,4,272,2
154,1092,1091,1,1
155,1093,179,6,19
156,1112,3,370,2
157,1114,3,371,1
158,1115,1109,1,6
159,1121,2,560,1
160,1122,373,3,3
161,1125,6,187,3
162,1128,223,5,13
163,1141,9,126,7
164,1148,5,229,3
165,1151,2,575,1
166,1152,191,6,6
167,1158,67,17,19
168,1177,293,4,5
169,1182,4,295,2
170,1184,7,169,1
171,1185,6,197,3
172,1188,389,3,21
173,1209,17,71,2
174,1211,2,605,1
175,1212,13,93,3
176,1215,4,303,3
177,1218,5,243,3
178,1221,2,610,1
179,1222,173,7,11
180,1233,23,53,14
181,1247,11,113,4
182,1251,15,83,6
183,1257,2,628,1
184,1258,18,69,16
185,1274,19,67,1
186,1275,19,67,2
187,1277,19,67,4
188,1281,1277,1,4
189,1285,641,2,3
190,1288,643,2,2
191,1290,21,61,9
192,1299,2,649,1
193,1300,1297,1,3
194,1303,1297,1,6
195,1309,35,37,14
196,1323,14,94,7
197,1330,4,332,2
198,1332,11,121,1
199,1333,11,121,2
200,1335,31,43,2
201,1337,3,445,2
202,1339,25,53,14
203,1353,20,67,13
204,1366,9,151,7
205,1373,113,12,17
206,1390,19,73,3
207,1393,25,55,18
208,1411,9,156,7
209,1418,1409,1,9
210,1427,30,47,17
211,1444,11,131,3
212,1447,2,723,1
213,1448,1439,1,9
214,1457,103,14,15
215,1472,3,490,2
216,1474,3,491,1
217,1475,4,368,3
218,1478,5,295,3
219,1481,739,2,3
220,1484,1481,1,3
221,1487,77,19,24
222,1511,2,755,1
223,1512,251,6,6
224,1518,5,303,3
225,1521,15,101,6
226,1527,2,763,1
227,1528,1523,1,5
228,1533,31,49,14
229,1547,29,53,10
230,1557,257,6,15
231,1572,5,314,2
232,1574,11,143,1
233,1575,4,393,3
234,1578,5,315,3
235,1581,2,790,1
236,1582,19,83,5
237,1587,15,105,12
238,1599,37,43,8
239,1607,263,6,29
240,1636,1609,1,27
241,1663,4,415,3
242,1666,6,277,4
243,1670,11,151,9
244,1679,151,11,18
245,1697,211,8,9
246,1706,15,113,11
247,1717,9,190,7
248,1724,1723,1,1
249,1725,1723,1,2
250,1727,1721,1,6
251,1733,431,4,9
252,1742,3,580,2
253,1744,3,581,1
254,1745,13,134,3
255,1748,8,218,4
256,1752,5,350,2
257,1754,1753,1,1
258,1755,4,438,3
259,1758,4,439,2
260,1760,17,103,9
261,1769,3,589,2
262,1771,2,885,1
263,1772,16,110,12
264,1784,1783,1,1
265,1785,887,2,11
266,1796,223,8,12
267,1808,11,164,4
268,1812,5,362,2
269,1814,7,259,1
270,1815,4,453,3
271,1818,5,363,3
272,1821,23,79,4
273,1825,911,2,3
274,1828,15,121,13
275,1841,919,2,3
276,1844,7,263,3
277,1847,19,97,4
278,1851,2,925,1
279,1852,1847,1,5
280,1857,20,92,17
281,1874,1873,1,1
282,1875,10,187,5
283,1880,1879,1,1
284,1881,2,940,1
285,1882,7,268,6
286,1888,14,134,12
287,1900,13,146,2
288,1902,1901,1,1
289,1903,23,82,17
290,1920,13,147,9
291,1929,2,964,1
292,1930,41,47,3
293,1933,1907,1,26
294,1959,1951,1,8
295,1967,11,178,9
296,1976,20,98,16
297,1992,9,221,3
298,1995,1987,1,8
299,2003,6,333,5
300,2008,1997,1,11
301,2019,503,4,7
302,2026,6,337,4
303,2030,8,253,6
304,2036,19,107,3
305,2039,24,84,23
306,2062,3,687,1
307,2063,22,93,17
308,2080,2069,1,11
309,2091,2089,1,2
310,2093,31,67,16
311,2109,7,301,2
312,2111,2,1055,1
313,2112,19,111,3
314,2115,4,528,3
315,2118,5,423,3
316,2121,2,1060,1
317,2122,2111,1,11
318,2133,163,13,14
319,2147,2143,1,4
320,2151,11,195,6
321,2157,2,1078,1
322,2158,17,126,16
323,2174,41,53,1
324,2175,41,53,2
325,2177,41,53,4
326,2181,7,311,4
327,2185,1091,2,3
328,2188,1093,2,2
329,2190,727,3,9
330,2199,8,274,7
331,2206,31,71,5
332,2211,2,1105,1
333,2212,2203,1,9
334,2221,1109,2,3
335,2224,1103,2,18
336,2242,2239,1,3
337,2245,13,172,9
338,2254,2251,1,3
339,2257,2,1128,1
340,2258,3,752,2
341,2260,449,5,15
342,2275,15,151,10
343,2285,227,10,15
344,2300,31,74,6
345,2306,7,329,3
346,2309,5,461,4
347,2313,27,85,18
348,2331,17,137,2
349,2333,6,388,5
350,2338,3,779,1
351,2339,38,61,21
352,2360,2351,1,9
353,2369,15,157,14
354,2383,8,297,7
355,2390,7,341,3
356,2393,5,478,3
357,2396,25,95,21
358,2417,6,402,5
359,2422,41,59,3
360,2425,1201,2,23
361,2448,13,188,4
362,2452,31,79,3
363,2455,11,223,2
364,2457,2,1228,1
365,2458,15,163,13
366,2471,2467,1,4
367,2475,4,618,3
368,2478,8,309,6
369,2484,13,191,1
370,2485,13,191,2
371,2487,821,3,24
372,2511,15,167,6
373,2517,2,1258,1
374,2518,8,314,6
375,2524,2521,1,3
376,2527,2,1263,1
377,2528,419,6,14
378,2542,2539,1,3
379,2545,2543,1,2
380,2547,2,1273,1
381,2548,31,82,6
382,2554,3,851,1
383,2555,3,851,2
384,2557,19,134,11
385,2568,5,513,3
386,2571,2,1285,1
387,2572,5,514,2
388,2574,31,83,1
389,2575,7,367,6
390,2581,2,1290,1
391,2582,3,860,2
392,2584,1291,2,2
393,2586,257,10,16
394,2602,3,867,1
395,2603,431,6,17
396,2620,15,174,10
397,2630,2621,1,9
398,2639,20,131,19
399,2658,877,3,27
400,2685,2677,1,8
401,2693,167,16,21
402,2714,2713,1,1
403,2715,2713,1,2
404,2717,9,301,8
405,2725,21,129,16
406,2741,7,391,4
407,2745,6,457,3
408,2748,5,549,3
409,2751,2,1375,1
410,2752,5,550,2
411,2754,2753,1,1
412,2755,33,83,16
413,2771,14,197,13
414,2784,173,16,16
415,2800,2789,1,11
416,2811,7,401,4
417,2815,4,703,3
418,2818,937,3,7
419,2825,9,313,8
420,2833,17,166,11
421,2844,2843,1,1
422,2845,2843,1,2
423,2847,2843,1,4
424,2851,2,1425,1
425,2852,3,950,2
426,2854,4,713,2
427,2856,13,219,9
428,2865,12,238,9
429,2874,47,61,7
430,2881,409,7,18
431,2899,2897,1,2
432,2901,13,223,2
433,2903,8,362,7
434,2910,967,3,9
435,2919,727,4,11
436,2930,2927,1,3
437,2933,5,586,3
438,2936,2909,1,27
439,2963,33,89,26
440,2989,29,103,2
441,2991,8,373,7
442,2998,5,599,3
443,3001,2,1500,1
444,3002,499,6,8
445,3010,31,97,3
446,3013,31,97,6
447,3019,2,1509,1
448,3020,11,274,6
449,3026,3023,1,3
450,3029,3,1009,2
451,3031,8,378,7
452,3038,20,151,18
453,3056,10,305,6
454,3062,7,437,3
455,3065,3,1021,2
456,3067,2,1533,1
457,3068,9,340,8
458,3076,7,439,3
459,3079,5,615,4
460,3083,4,770,3
461,3086,13,237,5
462,3091,2,1545,1
463,3092,7,441,5
464,3097,7,442,3
465,3100,19,163,3
466,3103,19,163,6
467,3109,619,5,14
468,3123,19,164,7
469,3130,4,782,2
470,3132,31,101,1
471,3133,31,101,2
472,3135,13,241,2
473,3137,3,1045,2
474,3139,25,125,14
475,3153,20,157,13
476,3166,9,351,7
477,3173,263,12,17
478,3190,3187,1,3
479,3193,9,354,7
480,3200,1597,2,6
481,3206,3203,1,3
482,3209,5,641,4
483,3213,45,71,18
484,3231,3229,1,2
485,3233,6,538,5
486,3238,3,1079,1
487,3239,1609,2,21
