n,a,k,L,d
1,1,0,0,1
2,2,0,0,2
3,4,0,0,2
4,6,4,1,2
5,8,0,0,4
6,12,8,1,4
7,16,7,2,2
8,18,4,4,2
9,20,8,2,4
10,24,5,4,4
11,28,13,2,2
12,30,4,7,2
13,32,7,4,4
14,36,8,4,4
15,40,19,2,2
16,42,9,4,6
17,48,7,6,6
18,54,4,13,2
19,56,13,4,4
20,60,7,8,4
21,64,31,2,2
22,66,10,6,6
23,72,11,6,6
24,78,4,19,2
25,80,19,4,4
26,84,5,16,4
27,88,43,2,2
28,90,7,12,6
29,96,23,4,4
30,100,6,16,4
31,104,5,20,4
32,108,8,13,4
33,112,13,8,8
34,120,19,6,6
35,126,4,31,2
36,128,31,4,4
37,132,31,4,8
38,140,8,17,4
39,144,23,6,6
40,150,8,18,6
41,156,8,19,4
42,160,79,2,2
43,162,12,13,6
44,168,10,16,8
45,176,43,4,4
46,180,14,12,12
47,192,47,4,4
48,196,97,2,2
49,198,4,49,2
50,200,7,28,4
51,204,5,40,4
52,208,103,2,2
53,210,12,17,6
54,216,53,4,4
55,220,6,36,4
56,224,5,44,4
57,228,37,6,6
58,234,12,19,6
59,240,19,12,12
60,252,8,31,4
61,256,6,42,4
62,260,8,32,4
63,264,43,6,6
64,270,4,67,2
65,272,67,4,4
66,276,8,34,4
67,280,16,17,8
68,288,47,6,6
69,294,8,36,6
70,300,8,37,4
71,304,151,2,2
72,306,4,76,2
73,308,8,38,4
74,312,16,19,8
75,320,79,4,4
76,324,53,6,6
77,330,9,36,6
78,336,83,4,4
79,340,13,26,2
80,342,7,48,6
81,348,8,43,4
82,352,43,8,8
83,360,89,4,4
84,364,5,72,4
85,368,179,2,10
86,378,4,94,2
87,380,8,47,4
88,384,7,54,6
89,390,4,97,2
90,392,97,4,4
91,396,7,56,4
92,400,14,28,8
93,408,67,6,6
94,414,4,103,2
95,416,103,4,4
96,420,17,24,12
97,432,53,8,8
98,440,9,48,8
99,448,223,2,2
100,450,12,37,6
101,456,113,4,4
102,460,229,2,2
103,462,4,115,2
104,464,5,92,4
105,468,10,46,8
106,476,8,59,4
107,480,79,6,6
108,486,14,34,10
109,496,6,82,4
110,500,8,62,4
111,504,83,6,6
112,510,4,127,2
113,512,9,56,8
114,520,7,74,2
115,522,12,43,6
116,528,131,4,4
117,532,131,4,8
118,540,8,67,4
119,544,271,2,2
120,546,9,60,6
121,552,7,78,6
122,558,4,139,2
123,560,11,50,10
124,570,12,47,6
125,576,11,52,4
126,580,11,52,8
127,588,97,6,6
128,594,7,84,6
129,600,16,37,8
130,608,151,4,4
131,612,8,76,4
132,616,6,102,4
133,620,7,88,4
134,624,103,6,6
135,630,20,31,10
136,640,6,106,4
137,644,5,128,4
138,648,53,12,12
139,660,109,6,6
140,666,10,66,6
141,672,83,8,8
142,680,13,52,4
143,684,113,6,6
144,690,9,76,6
145,696,173,4,4
146,700,349,2,2
147,702,4,175,2
148,704,347,2,10
149,714,12,59,6
150,720,7,102,6
151,726,4,181,2
152,728,9,80,8
153,736,6,122,4
154,740,8,92,4
155,744,9,82,6
156,750,8,93,6
157,756,8,94,4
158,760,16,47,8
159,768,14,54,12
160,780,8,97,4
161,784,97,8,8
162,792,131,6,6
163,798,4,199,2
164,800,79,10,10
165,810,4,202,2
166,812,8,101,4
167,816,7,116,4
168,820,14,58,8
169,828,8,103,4
170,832,103,8,8
171,840,137,6,18
172,858,4,214,2
173,860,8,107,4
174,864,5,172,4
175,868,433,2,2
176,870,20,43,10
177,880,439,2,2
178,882,12,73,6
179,888,10,88,8
180,896,223,4,4
181,900,24,37,12
182,912,151,6,6
183,918,4,229,2
184,920,229,4,4
185,924,5,184,4
186,928,463,2,2
187,930,7,132,6
188,936,20,46,16
189,952,16,59,8
190,960,9,106,6
191,966,4,241,2
192,968,241,4,4
193,972,241,4,8
194,980,8,122,4
195,984,163,6,6
196,990,4,247,2
197,992,12,82,8
198,1000,16,62,8
199,1008,167,6,6
200,1014,7,144,6
201,1020,8,127,4
202,1024,7,146,2
203,1026,10,102,6
204,1032,257,4,4
205,1036,6,172,4
206,1040,7,148,4
207,1044,173,6,6
208,1050,9,116,6
209,1056,131,8,8
210,1064,131,8,16
211,1080,16,67,8
212,1088,271,4,4
213,1092,271,4,8
214,1100,8,137,4
215,1104,9,122,6
216,1110,8,138,6
217,1116,8,139,4
218,1120,13,86,2
219,1122,9,124,6
