n,a,k,L,d
1,4,0,0,18
2,22,17,1,5
3,27,0,0,31
4,58,31,1,27
5,85,19,4,9
6,94,67,1,27
7,121,76,1,45
8,166,65,2,36
9,202,139,1,63
10,265,16,16,9
11,274,229,1,45
12,319,73,4,27
13,346,337,1,9
14,355,83,4,23
15,378,11,34,4
16,382,373,1,9
17,391,86,4,47
18,438,211,2,16
19,454,85,5,29
20,483,449,1,34
21,517,127,4,9
22,526,11,47,9
23,535,127,4,27
24,562,137,4,14
25,576,47,12,12
26,588,61,9,39
27,627,10,62,7
28,634,4,158,2
29,636,11,57,9
30,645,6,107,3
31,648,107,6,6
32,654,15,43,9
33,663,4,165,3
34,666,107,6,24
35,690,337,2,16
36,706,36,19,22
37,728,727,1,1
38,729,58,12,33
39,762,373,2,16
40,778,731,1,47
41,825,38,21,27
42,852,281,3,9
43,861,827,1,34
44,895,877,1,18
45,913,911,1,2
46,915,227,4,7
47,922,443,2,36
48,958,49,19,27
49,985,221,4,101
50,1086,1061,1,25
51,1111,151,7,54
52,1165,101,11,54
53,1219,91,13,36
54,1255,307,4,27
55,1282,4,320,2
56,1284,149,8,92
57,1376,1303,1,73
58,1449,107,13,58
59,1507,1433,1,74
60,1581,48,32,45
61,1626,1619,1,7
62,1633,14,116,9
63,1642,73,22,36
64,1678,60,27,58
65,1736,101,17,19
66,1755,34,51,21
67,1776,251,7,19
68,1795,34,52,27
69,1822,34,53,20
70,1842,22,83,16
71,1858,461,4,14
72,1872,23,81,9
73,1881,467,4,13
74,1894,13,145,9
75,1903,13,146,5
76,1908,379,5,13
77,1921,1907,1,14
78,1935,137,14,17
79,1952,971,2,10
80,1962,11,178,4
81,1966,947,2,72
82,2038,41,49,29
83,2067,15,137,12
84,2079,2003,1,76
85,2155,2137,1,18
86,2173,541,4,9
87,2182,37,58,36
88,2218,47,47,9
89,2227,199,11,38
90,2265,22,102,21
91,2286,1123,2,40
92,2326,229,10,36
93,2362,6,393,4
94,2366,337,7,7
95,2373,41,57,36
96,2409,149,16,25
97,2434,29,83,27
98,2461,2447,1,14
99,2475,18,137,9
100,2484,223,11,31
101,2515,1237,2,41
102,2556,317,8,20
103,2576,3,858,2
104,2578,31,83,5
105,2583,197,13,22
106,2605,11,236,9
107,2614,2549,1,65
108,2679,10,267,9
109,2688,1327,2,34
110,2722,2699,1,23
111,2745,11,249,6
112,2751,143,19,34
113,2785,2731,1,54
114,2839,62,45,49
115,2888,479,6,14
116,2902,11,263,9
117,2911,38,76,23
118,2934,17,172,10
119,2944,293,10,14
120,2958,8,369,6
121,2964,2963,1,1
122,2965,8,370,5
123,2970,1483,2,4
124,2974,1451,2,72
125,3046,3001,1,45
126,3091,761,4,47
127,3138,37,84,30
128,3168,17,186,6
129,3174,223,14,52
130,3226,229,14,20
131,3246,14,231,12
132,3258,179,18,36
133,3294,69,47,51
134,3345,277,12,21
135,3366,557,6,24
136,3390,1669,2,52
137,3442,109,31,63
138,3505,1723,2,59
139,3564,3533,1,31
140,3595,25,143,20
141,3615,8,451,7
142,3622,719,5,27
143,3649,727,5,14
144,3663,36,101,27
145,3690,19,194,4
146,3694,163,22,108
147,3802,56,67,50
148,3852,15,256,12
149,3864,3863,1,1
150,3865,76,50,65
151,3930,19,206,16
152,3946,3919,1,27
153,3973,139,28,81
154,4054,181,22,72
155,4126,409,10,36
156,4162,593,7,11
157,4173,19,219,12
158,4185,37,113,4
159,4189,53,79,2
160,4191,8,523,7
161,4198,53,79,11
162,4209,4139,1,70
163,4279,1063,4,27
164,4306,4243,1,63
165,4369,46,94,45
166,4414,16,275,14
167,4428,61,72,36
