n,a,k,L,d
1,5,3,1,2
2,7,0,0,6
3,13,7,1,6
4,19,0,0,12
5,31,19,1,12
6,43,25,1,18
7,61,49,1,12
8,73,43,1,30
9,103,97,1,6
10,109,79,1,30
11,139,127,1,12
12,151,121,1,30
13,181,13,13,12
14,193,11,17,6
15,199,169,1,30
16,229,31,7,12
17,241,211,1,30
18,271,37,7,12
19,283,253,1,30
20,313,277,1,36
21,349,277,1,72
22,421,409,1,12
23,433,31,13,30
24,463,403,1,60
25,523,95,5,48
26,571,541,1,30
27,601,53,11,18
28,619,35,17,24
29,643,25,25,18
30,661,511,1,150
31,811,17,47,12
32,823,19,43,6
33,829,47,17,30
34,859,167,5,24
35,883,149,5,138
36,1021,1009,1,12
37,1033,29,35,18
38,1051,1039,1,12
39,1063,1033,1,30
40,1093,1033,1,60
41,1153,215,5,78
42,1231,91,13,48
43,1279,181,7,12
44,1291,1279,1,12
45,1303,257,5,18
46,1321,1213,1,108
47,1429,281,5,24
48,1453,1423,1,30
49,1483,7,211,6
50,1489,1369,1,120
51,1609,1597,1,12
52,1621,121,13,48
53,1669,149,11,30
54,1699,25,67,24
55,1723,1657,1,66
56,1789,155,11,84
57,1873,1867,1,6
58,1879,73,25,54
59,1933,383,5,18
60,1951,173,11,48
61,1999,179,11,30
62,2029,79,25,54
63,2083,31,67,6
64,2089,35,59,24
65,2113,419,5,18
66,2131,13,163,12
67,2143,2047,1,96
68,2239,47,47,30
69,2269,131,17,42
70,2311,2281,1,30
71,2341,121,19,42
72,2383,443,5,168
73,2551,193,13,42
74,2593,133,19,66
75,2659,239,11,30
76,2689,41,65,24
77,2713,35,77,18
78,2731,2671,1,60
79,2791,397,7,12
80,2803,527,5,168
81,2971,173,17,30
82,3001,2881,1,120
83,3121,439,7,48
84,3169,617,5,84
85,3253,17,191,6
86,3259,3217,1,42
87,3301,3271,1,30
88,3331,3301,1,30
89,3361,17,197,12
90,3373,55,61,18
91,3391,3319,1,72
92,3463,3457,1,6
93,3469,487,7,60
94,3529,3517,1,12
95,3541,271,13,18
96,3559,35,101,24
97,3583,499,7,90
98,3673,511,7,96
99,3769,743,5,54
100,3823,3793,1,30
101,3853,541,7,66
102,3919,3907,1,12
103,3931,227,17,72
104,4003,797,5,18
105,4021,307,13,30
106,4051,211,19,42
107,4093,4057,1,36
108,4129,4099,1,30
109,4159,4099,1,60
110,4219,601,7,12
111,4231,4219,1,12
112,4243,25,169,18
113,4261,607,7,12
114,4273,601,7,66
115,4339,115,37,84
116,4423,4363,1,60
117,4483,4447,1,36
118,4519,67,67,30
119,4549,91,49,90
120,4639,661,7,12
121,4651,241,19,72
122,4723,4657,1,66
123,4789,17,281,12
124,4801,161,29,132
125,4933,59,83,36
126,4969,379,13,42
127,5011,4999,1,12
128,5023,115,43,78
129,5101,4969,1,132
130,5233,61,85,48
131,5281,139,37,138
132,5419,65,83,24
133,5443,5407,1,36
134,5479,1091,5,24
135,5503,1097,5,18
136,5521,491,11,120
137,5641,13,433,12
138,5653,5647,1,6
139,5659,223,25,84
140,5743,115,49,108
141,5851,19,307,18
142,5869,5857,1,12
143,5881,5671,1,210
144,6091,263,23,42
145,6133,6067,1,66
146,6199,557,11,72
147,6271,79,79,30
148,6301,79,79,60
149,6361,6271,1,90
150,6451,907,7,102
151,6553,1307,5,18
152,6571,6481,1,90
153,6661,349,19,30
154,6691,6679,1,12
155,6703,73,91,60
156,6763,19,355,18
157,6781,967,7,12
158,6793,233,29,36
159,6829,617,11,42
160,6871,6793,1,78
161,6949,991,7,12
162,6961,6793,1,168
163,7129,1409,5,84
164,7213,647,11,96
165,7309,31,235,24
166,7333,19,385,18
167,7351,7243,1,108
168,7459,323,23,30
169,7489,323,23,60
170,7549,7537,1,12
171,7561,443,17,30
172,7591,571,13,168
173,7759,7639,1,120
174,7879,211,37,72
175,7951,607,13,60
176,8011,7933,1,78
177,8089,7957,1,132
178,8221,8209,1,12
179,8233,743,11,60
180,8293,1171,7,96
181,8389,491,17,42
182,8431,203,41,108
183,8539,61,139,60
184,8599,41,209,30
185,8629,649,13,192
186,8821,8803,1,18
187,8839,41,215,24
188,8863,515,17,108
189,8971,8941,1,30
190,9001,89,101,12
191,9013,691,13,30
192,9043,305,29,198
193,9241,9199,1,42
194,9283,401,23,60
195,9343,85,109,78
196,9421,97,97,12
197,9433,11,857,6
198,9439,35,269,24
199,9463,169,55,168
200,9631,259,37,48
201,9679,419,23,42
202,9721,569,17,48
203,9769,9679,1,90
204,9859,9787,1,72
205,9931,167,59,78
206,10009,587,17,30
207,10039,10009,1,30
208,10069,35,287,24
209,10093,49,205,48
210,10141,10009,1,132
211,10273,10243,1,30
212,10303,10273,1,30
213,10333,353,29,96
214,10429,10399,1,30
215,10459,947,11,42
216,10501,37,283,30
217,10531,941,11,180
218,10711,179,59,150
219,10861,10831,1,30
220,10891,1549,7,48
221,10939,349,31,120
222,11059,11047,1,12
223,11071,73,151,48
224,11119,53,209,42
225,11161,11149,1,12
226,11173,10993,1,180
227,11353,2243,5,138
228,11491,71,161,60
229,11551,877,13,150
230,11701,1669,7,18
231,11719,89,131,60
232,11779,67,175,54
233,11833,175,67,108
234,11941,43,277,30
235,11971,73,163,72
236,12043,41,293,30
237,12073,12037,1,36
238,12109,2411,5,54
239,12163,2417,5,78
240,12241,1747,7,12
241,12253,181,67,126
242,12379,643,19,162
243,12541,337,37,72
244,12613,12403,1,210
245,12823,143,89,96
246,12919,85,151,84
247,13003,41,317,6
248,13009,12799,1,210
249,13219,13099,1,120
250,13339,271,49,60
251,13399,1009,13,282
252,13681,13669,1,12
253,13693,25,547,18
254,13711,19,721,12
255,13723,13687,1,36
256,13759,13687,1,72
257,13831,77,179,48
258,13879,85,163,24
259,13903,13873,1,30
260,13933,283,49,66
261,13999,71,197,12
262,14011,263,53,72
263,14083,253,55,168
264,14251,1289,11,72
265,14323,269,53,66
266,14389,89,161,60
267,14449,14347,1,102
268,14551,31,469,12
269,14563,14533,1,30
270,14593,14557,1,36
271,14629,14389,1,240
272,14869,1123,13,270
273,15139,349,43,132
274,15271,2179,7,18
275,15289,79,193,42
276,15331,107,143,30
277,15361,15139,1,222
278,15583,361,43,60
279,15643,19,823,6
280,15649,283,55,84
281,15733,15727,1,6
282,15739,917,17,150
283,15889,109,145,84
284,15973,2269,7,90
285,16063,16057,1,6
286,16069,941,17,72
287,16141,77,209,48
288,16189,67,241,42
289,16231,947,17,132
290,16363,16273,1,90
291,16453,16273,1,180
292,16633,3323,5,18
293,16651,977,17,42
294,16693,215,77,138
295,16831,16759,1,72
296,16903,673,25,78
