n,a,k,L,d
1,1,0,0,1
2,2,0,0,2
3,4,0,0,2
4,6,0,0,4
5,10,4,2,2
6,12,8,1,4
7,16,7,2,2
8,18,7,2,4
9,22,8,2,6
10,28,13,2,2
11,30,8,3,6
12,36,8,4,4
13,40,19,2,2
14,42,19,2,4
15,46,8,5,6
16,52,23,2,6
17,58,4,14,2
18,60,9,6,6
19,66,31,2,4
20,70,4,17,2
21,72,11,6,6
22,78,37,2,4
23,82,19,4,6
24,88,10,8,8
25,96,23,4,4
26,100,7,14,2
27,102,7,14,4
28,106,4,26,2
29,108,8,13,4
30,112,49,2,14
31,126,61,2,4
32,130,31,4,6
33,136,67,2,2
34,138,16,8,10
35,148,73,2,2
36,150,8,18,6
37,156,10,15,6
38,162,79,2,4
39,166,8,20,6
40,172,83,2,6
41,178,4,44,2
42,180,17,10,10
43,190,4,47,2
44,192,47,4,4
45,196,97,2,2
46,198,31,6,12
47,210,18,11,12
48,222,109,2,4
49,226,4,56,2
50,228,7,32,4
51,232,113,2,6
52,238,4,59,2
53,240,23,10,10
54,250,61,4,6
55,256,10,25,6
56,262,8,32,6
57,268,7,38,2
58,270,8,33,6
59,276,8,34,4
60,280,139,2,2
61,282,16,17,10
62,292,139,2,14
63,306,151,2,4
64,310,4,77,2
65,312,7,44,4
66,316,151,2,14
67,330,9,36,6
68,336,163,2,10
69,346,4,86,2
70,348,8,43,4
71,352,173,2,6
72,358,10,35,8
73,366,8,45,6
74,372,61,6,6
75,378,11,34,4
76,382,8,47,6
77,388,10,38,8
78,396,7,56,4
79,400,14,28,8
80,408,199,2,10
81,418,4,104,2
82,420,41,10,10
83,430,4,107,2
84,432,71,6,6
85,438,7,62,4
86,442,109,4,6
87,448,10,44,8
88,456,113,4,4
89,460,229,2,2
90,462,229,2,4
91,466,227,2,12
92,478,10,47,8
93,486,241,2,4
94,490,241,2,8
95,498,13,38,4
96,502,8,62,6
97,508,16,31,12
98,520,7,74,2
99,522,21,24,18
100,540,89,6,6
101,546,67,8,10
102,556,10,55,6
103,562,139,4,6
104,568,283,2,2
105,570,12,47,6
106,576,283,2,10
107,586,10,58,6
108,592,293,2,6
109,598,4,149,2
110,600,9,66,6
111,606,8,75,6
112,612,8,76,4
113,616,307,2,2
114,618,101,6,12
115,630,20,31,10
116,640,11,58,2
117,642,11,58,4
118,646,8,80,6
119,652,17,38,6
120,658,4,164,2
121,660,18,36,12
122,672,167,4,4
123,676,10,67,6
124,682,337,2,8
125,690,17,40,10
126,700,173,4,8
127,708,349,2,10
128,718,10,71,8
129,726,8,90,6
130,732,11,66,6
131,738,367,2,4
132,742,367,2,8
133,750,8,93,6
134,756,8,94,4
135,760,16,47,8
136,768,191,4,4
137,772,379,2,14
138,786,97,8,10
139,796,14,56,12
140,808,13,62,2
141,810,16,50,10
142,820,409,2,2
143,822,409,2,4
144,826,4,206,2
145,828,409,2,10
146,838,103,8,14
147,852,8,106,4
148,856,7,122,2
149,858,7,122,4
150,862,16,53,14
151,876,8,109,4
152,880,439,2,2
153,882,439,2,4
154,886,433,2,20
155,906,11,82,4
156,910,11,82,8
157,918,227,4,10
158,928,10,92,8
159,936,233,4,4
160,940,467,2,6
161,946,10,94,6
162,952,67,14,14
163,966,13,74,4
164,970,241,4,6
165,976,10,97,6
166,982,487,2,8
167,990,8,123,6
168,996,24,41,12
169,1008,251,4,4
170,1012,503,2,6
171,1018,4,254,2
172,1020,101,10,10
173,1030,4,257,2
174,1032,9,114,6
175,1038,257,4,10
176,1048,523,2,2
177,1050,13,80,10
178,1060,23,46,2
179,1062,8,132,6
180,1068,21,50,18
181,1086,541,2,4
182,1090,4,272,2
183,1092,8,136,4
184,1096,10,109,6
185,1102,8,137,6
186,1108,10,110,8
187,1116,10,111,6
188,1122,9,124,6
189,1128,79,14,22
190,1150,4,287,2
191,1152,571,2,10
192,1162,577,2,8
193,1170,20,58,10
194,1180,587,2,6
195,1186,10,118,6
196,1192,16,74,8
197,1200,18,66,12
198,1212,8,151,4
199,1216,10,121,6
200,1222,8,152,6
201,1228,613,2,2
202,1230,8,153,6
203,1236,17,72,12
204,1248,619,2,10
205,1258,20,62,18
206,1276,7,182,2
207,1278,7,182,4
208,1282,11,116,6
209,1288,643,2,2
210,1290,12,107,6
211,1296,17,76,4
212,1300,11,118,2
213,1302,11,118,4
214,1306,647,2,12
215,1318,4,329,2
216,1320,9,146,6
