n,a,k,L,d
1,0,0,0,1
2,1,0,0,1
3,2,0,0,1
4,3,2,1,1
5,4,3,1,1
6,5,2,2,1
7,6,4,1,2
8,8,7,1,1
9,9,2,4,1
10,10,3,3,1
11,11,2,5,1
12,12,11,1,1
13,13,5,2,3
14,16,3,5,1
15,17,2,8,1
16,18,17,1,1
17,19,2,9,1
18,20,19,1,1
19,21,2,10,1
20,22,4,5,2
21,24,23,1,1
22,25,2,12,1
23,26,5,5,1
24,27,11,2,5
25,32,31,1,1
26,33,2,16,1
27,34,3,11,1
28,35,2,17,1
29,36,5,7,1
30,37,2,18,1
31,38,3,12,2
32,40,3,13,1
33,41,2,20,1
34,42,41,1,1
35,43,2,21,1
36,44,43,1,1
37,45,6,7,3
38,48,47,1,1
39,49,2,24,1
40,50,7,7,1
41,51,2,25,1
42,52,3,17,1
43,53,2,26,1
44,54,11,4,10
45,64,3,21,1
46,65,2,32,1
47,66,5,13,1
48,67,2,33,1
49,68,67,1,1
50,69,2,34,1
51,70,4,17,2
52,72,71,1,1
53,73,2,36,1
54,74,73,1,1
55,75,2,37,1
56,76,3,25,1
57,77,37,2,3
58,80,79,1,1
59,81,2,40,1
60,82,3,27,1
61,83,2,41,1
62,84,83,1,1
63,85,2,42,1
64,86,3,28,2
65,88,3,29,1
66,89,2,44,1
67,90,89,1,1
68,91,43,2,5
69,96,5,19,1
70,97,2,48,1
71,98,97,1,1
72,99,2,49,1
73,100,3,33,1
74,101,2,50,1
75,102,4,25,2
76,104,103,1,1
77,105,2,52,1
78,106,3,35,1
79,107,2,53,1
80,108,107,1,1
81,109,30,3,19
82,128,127,1,1
83,129,2,64,1
84,130,3,43,1
85,131,2,65,1
86,132,131,1,1
87,133,2,66,1
88,134,3,44,2
89,136,3,45,1
90,137,2,68,1
91,138,137,1,1
92,139,2,69,1
93,140,139,1,1
94,141,6,23,3
95,144,11,13,1
96,145,2,72,1
97,146,5,29,1
98,147,2,73,1
99,148,3,49,1
100,149,2,74,1
101,150,4,37,2
102,152,151,1,1
103,153,2,76,1
104,154,3,51,1
105,155,6,25,5
106,160,3,53,1
107,161,2,80,1
108,162,7,23,1
109,163,2,81,1
110,164,163,1,1
111,165,2,82,1
112,166,4,41,2
113,168,167,1,1
114,169,2,84,1
115,170,13,13,1
116,171,2,85,1
117,172,3,57,1
118,173,5,34,3
119,176,5,35,1
120,177,2,88,1
121,178,3,59,1
122,179,2,89,1
123,180,179,1,1
124,181,2,90,1
125,182,43,4,10
126,192,191,1,1
127,193,2,96,1
128,194,193,1,1
129,195,2,97,1
130,196,3,65,1
131,197,2,98,1
132,198,4,49,2
133,200,199,1,1
134,201,2,100,1
135,202,3,67,1
136,203,2,101,1
137,204,7,29,1
138,205,101,2,3
139,208,3,69,1
140,209,2,104,1
141,210,11,19,1
142,211,2,105,1
143,212,211,1,1
144,213,2,106,1
145,214,4,53,2
146,216,5,43,1
147,217,2,108,1
148,218,7,31,1
149,219,91,2,37
150,256,3,85,1
151,257,2,128,1
152,258,257,1,1
153,259,2,129,1
154,260,7,37,1
155,261,2,130,1
156,262,4,65,2
157,264,263,1,1
158,265,2,132,1
159,266,5,53,1
160,267,2,133,1
161,268,3,89,1
162,269,7,38,3
163,272,271,1,1
164,273,2,136,1
165,274,3,91,1
166,275,2,137,1
167,276,5,55,1
168,277,2,138,1
169,278,3,92,2
170,280,3,93,1
171,281,2,140,1
172,282,281,1,1
173,283,139,2,5
174,288,7,41,1
175,289,2,144,1
176,290,17,17,1
177,291,2,145,1
178,292,3,97,1
179,293,2,146,1
180,294,4,73,2
181,296,5,59,1
182,297,2,148,1
183,298,3,99,1
184,299,2,149,1
185,300,13,23,1
186,301,149,2,3
187,304,3,101,1
188,305,2,152,1
189,306,5,61,1
190,307,2,153,1
191,308,307,1,1
192,309,2,154,1
193,310,12,25,10
194,320,11,29,1
195,321,2,160,1
196,322,3,107,1
197,323,2,161,1
198,324,17,19,1
199,325,2,162,1
200,326,3,108,2
201,328,3,109,1
202,329,2,164,1
203,330,7,47,1
204,331,2,165,1
205,332,331,1,1
206,333,5,66,3
207,336,5,67,1
208,337,2,168,1
209,338,337,1,1
210,339,2,169,1
211,340,3,113,1
212,341,2,170,1
213,342,4,85,2
214,344,7,49,1
215,345,2,172,1
216,346,3,115,1
217,347,6,57,5
218,352,3,117,1
219,353,2,176,1
220,354,353,1,1
221,355,2,177,1
222,356,5,71,1
223,357,2,178,1
224,358,4,89,2
225,360,359,1,1
226,361,2,180,1
227,362,19,19,1
228,363,2,181,1
229,364,3,121,1
230,365,173,2,19
231,384,383,1,1
232,385,2,192,1
233,386,5,77,1
234,387,2,193,1
235,388,3,129,1
236,389,2,194,1
237,390,4,97,2
238,392,17,23,1
239,393,2,196,1
240,394,3,131,1
241,395,2,197,1
242,396,5,79,1
243,397,197,2,3
244,400,3,133,1
245,401,2,200,1
246,402,401,1,1
247,403,2,201,1
248,404,13,31,1
249,405,2,202,1
250,406,4,101,2
251,408,11,37,1
252,409,2,204,1
253,410,409,1,1
254,411,7,58,5
255,416,5,83,1
256,417,2,208,1
257,418,3,139,1
258,419,2,209,1
259,420,419,1,1
260,421,2,210,1
261,422,3,140,2
262,424,3,141,1
263,425,2,212,1
264,426,5,85,1
265,427,2,213,1
266,428,7,61,1
267,429,6,71,3
268,432,431,1,1
269,433,2,216,1
270,434,433,1,1
271,435,2,217,1
272,436,3,145,1
273,437,2,218,1
274,438,91,4,74
275,512,7,73,1
276,513,2,256,1
277,514,3,171,1
278,515,2,257,1
279,516,5,103,1
280,517,2,258,1
281,518,3,172,2
282,520,3,173,1
283,521,2,260,1
284,522,521,1,1
285,523,2,261,1
286,524,523,1,1
287,525,6,87,3
288,528,17,31,1
289,529,2,264,1
290,530,23,23,1
291,531,2,265,1
292,532,3,177,1
293,533,2,266,1
294,534,4,133,2
295,536,5,107,1
296,537,2,268,1
297,538,3,179,1
298,539,6,89,5
299,544,3,181,1
300,545,2,272,1
301,546,5,109,1
302,547,2,273,1
303,548,547,1,1
304,549,2,274,1
305,550,4,137,2
306,552,19,29,1
307,553,2,276,1
308,554,7,79,1
309,555,2,277,1
310,556,3,185,1
311,557,277,2,3
312,560,13,43,1
313,561,2,280,1
314,562,3,187,1
315,563,2,281,1
316,564,563,1,1
317,565,2,282,1
318,566,139,4,10
319,576,5,115,1
320,577,2,288,1
321,578,577,1,1
322,579,2,289,1
323,580,3,193,1
324,581,2,290,1
325,582,4,145,2
326,584,11,53,1
327,585,2,292,1
328,586,3,195,1
329,587,2,293,1
330,588,587,1,1
331,589,293,2,3
332,592,3,197,1
333,593,2,296,1
334,594,593,1,1
335,595,2,297,1
336,596,5,119,1
337,597,2,298,1
338,598,4,149,2
339,600,599,1,1
340,601,2,300,1
341,602,601,1,1
342,603,13,46,5
343,608,607,1,1
344,609,2,304,1
345,610,3,203,1
346,611,2,305,1
347,612,13,47,1
348,613,2,306,1
349,614,3,204,2
350,616,3,205,1
351,617,2,308,1
352,618,617,1,1
353,619,2,309,1
354,620,619,1,1
355,621,43,14,19
356,640,3,213,1
357,641,2,320,1
358,642,641,1,1
359,643,2,321,1
360,644,643,1,1
361,645,2,322,1
362,646,4,161,2
