n,a,k,L,d
1,0,0,0,1
2,1,0,0,2
3,3,0,0,2
4,5,3,1,2
5,7,5,1,2
6,9,0,0,6
7,15,13,1,2
8,17,13,1,4
9,21,15,1,6
10,27,23,1,4
11,31,29,1,2
12,33,21,1,12
13,45,13,3,6
14,51,13,3,12
15,63,61,1,2
16,65,19,3,8
17,73,61,1,12
18,85,11,7,8
19,93,29,3,6
20,99,13,7,8
21,107,19,5,12
22,119,37,3,8
23,127,5,25,2
24,129,35,3,24
25,153,47,3,12
26,165,47,3,24
27,189,61,3,6
28,195,57,3,24
29,219,23,9,12
30,231,69,3,24
31,255,11,23,2
32,257,241,1,16
33,273,83,3,24
34,297,281,1,16
35,313,43,7,12
36,325,103,3,16
37,341,317,1,24
38,365,349,1,16
39,381,15,25,6
40,387,53,7,16
41,403,379,1,24
42,427,137,3,16
43,443,431,1,12
44,455,439,1,16
45,471,149,3,24
46,495,479,1,16
47,511,509,1,2
48,513,93,5,48
49,561,179,3,24
50,585,179,3,48
51,633,23,27,12
52,645,199,3,48
53,693,223,3,24
54,717,223,3,48
55,765,11,69,6
56,771,241,3,48
57,819,53,15,24
58,843,53,15,48
59,891,293,3,12
60,903,57,15,48
61,951,103,9,24
62,975,103,9,48
63,1023,1021,1,2
64,1025,331,3,32
65,1057,1009,1,48
66,1105,37,29,32
67,1137,53,21,24
68,1161,1129,1,32
69,1193,229,5,48
70,1241,39,31,32
71,1273,13,97,12
72,1285,179,7,32
73,1317,141,9,48
74,1365,43,31,32
75,1397,1373,1,24
76,1421,463,3,32
77,1453,281,5,48
78,1501,113,13,32
79,1533,509,3,6
80,1539,137,11,32
81,1571,1523,1,48
82,1619,69,23,32
83,1651,1627,1,24
84,1675,53,31,32
85,1707,79,21,48
86,1755,1723,1,32
87,1787,25,71,12
88,1799,57,31,32
89,1831,1783,1,48
90,1879,1847,1,32
91,1911,37,51,24
92,1935,173,11,32
93,1967,101,19,48
94,2015,661,3,32
95,2047,5,409,2
96,2049,217,9,96
97,2145,233,9,48
98,2193,233,9,96
99,2289,151,15,24
100,2313,739,3,96
101,2409,787,3,48
102,2457,787,3,96
103,2553,21,121,12
104,2565,823,3,96
105,2661,67,39,48
106,2709,201,13,96
107,2805,27,103,24
108,2829,911,3,96
109,2925,137,21,48
110,2973,137,21,96
111,3069,1021,3,6
112,3075,331,9,96
113,3171,347,9,48
114,3219,347,9,96
115,3315,1097,3,24
116,3339,141,23,96
117,3435,1129,3,48
118,3483,1129,3,96
119,3579,29,123,12
120,3591,233,15,96
121,3687,1213,3,48
122,3735,1213,3,96
123,3831,27,141,24
