n;A032924;weight;level;jump
2787;111424;3;37141;1
2788;111425;3;37141;2
2789;111427;2;55713;1
2790;111428;31;3594;14
2791;111442;3;37147;1
2792;111443;3;37147;2
2793;111445;2;55722;1
2794;111446;11;10131;5
2795;111451;2;55725;1
2796;111452;3;37150;2
2797;111454;3;37151;1
2798;111455;62;1797;41
2799;111496;3;37165;1
2800;111497;3;37165;2
2801;111499;2;55749;1
2802;111500;15;7433;5
2803;111505;2;55752;1
2804;111506;3;37168;2
2805;111508;3;37169;1
2806;111509;15;7433;14
2807;111523;2;55761;1
2808;111524;3;37174;2
2809;111526;3;37175;1
2810;111527;6;18587;5
2811;111532;3;37177;1
2812;111533;3;37177;2
2813;111535;2;55767;1
2814;111536;5155;21;3281
2815;114817;2;57408;1
2816;114818;3;38272;2
2817;114820;3;38273;1
2818;114821;6;19136;5
2819;114826;3;38275;1
2820;114827;3;38275;2
2821;114829;2;57414;1
2822;114830;16;7176;14
2823;114844;3;38281;1
2824;114845;3;38281;2
2825;114847;2;57423;1
2826;114848;38281;3;5
2827;114853;2;57426;1
2828;114854;3;38284;2
2829;114856;3;38285;1
2830;114857;46;2496;41
2831;114898;3;38299;1
2832;114899;3;38299;2
2833;114901;2;57450;1
2834;114902;38299;3;5
2835;114907;2;57453;1
2836;114908;3;38302;2
2837;114910;3;38303;1
2838;114911;38299;3;14
2839;114925;2;57462;1
2840;114926;3;38308;2
2841;114928;3;38309;1
2842;114929;6;19154;5
2843;114934;3;38311;1
2844;114935;3;38311;2
2845;114937;2;57468;1
2846;114938;128;897;122
2847;115060;3;38353;1
2848;115061;3;38353;2
2849;115063;2;57531;1
2850;115064;7;16437;5
2851;115069;2;57534;1
2852;115070;3;38356;2
2853;115072;3;38357;1
2854;115073;21;5479;14
2855;115087;2;57543;1
2856;115088;3;38362;2
2857;115090;3;38363;1
2858;115091;6;19181;5
2859;115096;3;38365;1
2860;115097;3;38365;2
2861;115099;2;57549;1
2862;115100;5479;21;41
2863;115141;2;57570;1
2864;115142;3;38380;2
2865;115144;3;38381;1
2866;115145;6;19190;5
2867;115150;3;38383;1
2868;115151;3;38383;2
2869;115153;2;57576;1
2870;115154;15;7676;14
2871;115168;3;38389;1
2872;115169;3;38389;2
2873;115171;2;57585;1
2874;115172;13;8859;5
2875;115177;2;57588;1
2876;115178;3;38392;2
2877;115180;3;38393;1
2878;115181;368;312;365
2879;115546;3;38515;1
2880;115547;3;38515;2
2881;115549;2;57774;1
2882;115550;15;7703;5
2883;115555;2;57777;1
2884;115556;3;38518;2
2885;115558;3;38519;1
2886;115559;15;7703;14
2887;115573;2;57786;1
2888;115574;3;38524;2
2889;115576;3;38525;1
2890;115577;6;19262;5
2891;115582;3;38527;1
2892;115583;3;38527;2
2893;115585;2;57792;1
2894;115586;7703;15;41
2895;115627;2;57813;1
2896;115628;3;38542;2
2897;115630;3;38543;1
2898;115631;6;19271;5
2899;115636;3;38545;1
2900;115637;3;38545;2
2901;115639;2;57819;1
2902;115640;21;5506;14
2903;115654;3;38551;1
2904;115655;3;38551;2
2905;115657;2;57828;1
2906;115658;19;6087;5
2907;115663;2;57831;1
2908;115664;3;38554;2
2909;115666;3;38555;1
2910;115667;7703;15;122
2911;115789;2;57894;1
2912;115790;3;38596;2
2913;115792;3;38597;1
2914;115793;6;19298;5
2915;115798;3;38599;1
2916;115799;3;38599;2
2917;115801;2;57900;1
2918;115802;9649;12;14
2919;115816;3;38605;1
2920;115817;3;38605;2
2921;115819;2;57909;1
2922;115820;7;16545;5
2923;115825;2;57912;1
2924;115826;3;38608;2
2925;115828;3;38609;1
2926;115829;9649;12;41
2927;115870;3;38623;1
2928;115871;3;38623;2
2929;115873;2;57936;1
2930;115874;13;8913;5
2931;115879;2;57939;1
2932;115880;3;38626;2
2933;115882;3;38627;1
2934;115883;39;2971;14
2935;115897;2;57948;1
2936;115898;3;38632;2
2937;115900;3;38633;1
2938;115901;6;19316;5
2939;115906;3;38635;1
2940;115907;3;38635;2
2941;115909;2;57954;1
2942;115910;1104;104;1094
2943;117004;3;39001;1
2944;117005;3;39001;2
2945;117007;2;58503;1
2946;117008;43;2721;5
2947;117013;2;58506;1
2948;117014;3;39004;2
2949;117016;3;39005;1
2950;117017;43;2721;14
2951;117031;2;58515;1
2952;117032;3;39010;2
2953;117034;3;39011;1
2954;117035;6;19505;5
2955;117040;3;39013;1
2956;117041;3;39013;2
2957;117043;2;58521;1
2958;117044;43;2721;41
2959;117085;2;58542;1
2960;117086;3;39028;2
2961;117088;3;39029;1
2962;117089;6;19514;5
2963;117094;3;39031;1
2964;117095;3;39031;2
2965;117097;2;58548;1
2966;117098;22;5322;14
2967;117112;3;39037;1
2968;117113;3;39037;2
2969;117115;2;58557;1
2970;117116;103;1137;5
2971;117121;2;58560;1
2972;117122;3;39040;2
2973;117124;3;39041;1
2974;117125;129;907;122
2975;117247;2;58623;1
2976;117248;3;39082;2
2977;117250;3;39083;1
2978;117251;6;19541;5
2979;117256;3;39085;1
2980;117257;3;39085;2
2981;117259;2;58629;1
2982;117260;19541;6;14
2983;117274;3;39091;1
2984;117275;3;39091;2
2985;117277;2;58638;1
2986;117278;13;9021;5
2987;117283;2;58641;1
2988;117284;3;39094;2
2989;117286;3;39095;1
2990;117287;19541;6;41
2991;117328;3;39109;1
2992;117329;3;39109;2
2993;117331;2;58665;1
2994;117332;7;16761;5
2995;117337;2;58668;1
2996;117338;3;39112;2
2997;117340;3;39113;1
2998;117341;21;5587;14
2999;117355;2;58677;1
3000;117356;3;39118;2
3001;117358;3;39119;1
3002;117359;6;19559;5
3003;117364;3;39121;1
3004;117365;3;39121;2
3005;117367;2;58683;1
3006;117368;907;129;365
3007;117733;2;58866;1
3008;117734;3;39244;2
