n;A037301;weight;level;jump
1;0;0;0;1
2;1;0;0;5
3;6;5;1;1
4;7;4;1;3
5;10;3;3;1
6;11;2;5;1
7;12;11;1;1
8;13;8;1;5
9;18;17;1;1
10;19;17;1;2
11;21;0;0;15
12;36;5;7;1
13;37;14;2;9
14;46;3;15;1
15;47;12;3;11
16;58;3;19;1
17;59;2;29;1
18;60;59;1;1
19;61;36;1;25
20;86;8;10;6
21;92;41;2;10
22;102;101;1;1
23;103;23;4;11
24;114;113;1;1
25;115;10;11;5
26;120;7;17;1
27;121;76;1;45
28;166;3;55;1
29;167;6;27;5
30;172;3;57;1
31;173;83;2;7
32;180;179;1;1
33;181;41;4;17
34;198;197;1;1
35;199;26;7;17
36;216;5;43;1
37;217;53;4;5
38;222;13;17;1
39;223;185;1;38
40;261;83;3;12
41;273;11;24;9
42;282;281;1;1
43;283;281;1;2
44;285;16;17;13
45;298;3;99;1
46;299;2;149;1
47;300;13;23;1
48;301;8;37;5
49;306;5;61;1
50;307;5;61;2
51;309;10;30;9
52;318;317;1;1
53;319;8;39;7
54;326;7;46;4
55;330;7;47;1
56;331;17;19;8
57;339;9;37;6
58;345;12;28;9
59;354;353;1;1
60;355;353;1;2
61;357;6;59;3
62;360;359;1;1
63;361;89;4;5
64;366;5;73;1
65;367;5;73;2
66;369;11;33;6
67;375;10;37;5
68;380;32;11;28
69;408;11;37;1
70;409;193;2;23
71;432;431;1;1
72;433;107;4;5
73;438;19;23;1
74;439;4;109;3
75;442;3;147;1
76;443;2;221;1
77;444;443;1;1
78;445;107;4;17
79;462;461;1;1
80;463;13;35;8
81;471;15;31;6
82;477;227;2;23
83;500;46;10;40
84;540;7;77;1
85;541;257;2;27
86;568;3;189;1
87;569;6;94;5
88;574;3;191;1
89;575;139;4;19
90;594;593;1;1
91;595;593;1;2
92;597;12;49;9
93;606;5;121;1
94;607;16;37;15
95;622;3;207;1
96;623;8;77;7
97;630;17;37;1
98;631;47;13;20
99;651;33;19;24
100;675;13;51;12
101;687;58;11;49
102;736;3;245;1
103;737;13;56;9
104;746;9;82;8
105;754;3;251;1
106;755;23;32;19
107;774;773;1;1
108;775;191;4;11
109;786;5;157;1
110;787;5;157;2
111;789;6;131;3
112;792;7;113;1
113;793;197;4;5
114;798;797;1;1
115;799;23;34;17
116;816;5;163;1
117;817;101;8;9
118;826;3;275;1
119;827;22;37;13
120;840;839;1;1
121;841;17;49;8
122;849;10;84;9
123;858;857;1;1
124;859;857;1;2
125;861;6;143;3
126;864;863;1;1
127;865;10;86;5
128;870;11;79;1
129;871;4;217;3
130;874;3;291;1
131;875;2;437;1
132;876;5;175;1
133;877;8;109;5
134;882;881;1;1
135;883;881;1;2
136;885;29;30;15
137;900;29;31;1
138;901;223;4;9
139;910;3;303;1
140;911;12;75;11
141;922;3;307;1
142;923;2;461;1
143;924;13;71;1
144;925;911;1;14
145;939;233;4;7
146;946;3;315;1
147;947;2;473;1
148;948;947;1;1
149;949;10;94;9
150;958;3;319;1
151;959;67;14;21
152;980;21;46;14
153;994;3;331;1
154;995;2;497;1
155;996;5;199;1
156;997;233;4;65
157;1062;1061;1;1
158;1063;523;2;17
159;1080;13;83;1
160;1081;269;4;5
161;1086;5;217;1
162;1087;97;11;20
163;1107;15;73;12
164;1119;367;3;18
165;1137;12;94;9
166;1146;5;229;1
167;1147;5;229;2
168;1149;72;15;69
169;1218;1217;1;1
170;1219;1217;1;2
171;1221;6;203;3
172;1224;1223;1;1
173;1225;10;122;5
174;1230;1229;1;1
175;1231;1229;1;2
176;1233;409;3;6
177;1239;617;2;5
178;1244;617;2;10
179;1254;7;179;1
180;1255;10;125;5
181;1260;1259;1;1
182;1261;25;50;11
183;1272;31;41;1
184;1273;29;43;26
185;1299;431;3;6
186;1305;433;3;6
187;1311;16;81;15
188;1326;5;265;1
189;1327;1319;1;8
190;1335;443;3;6
191;1341;21;63;18
192;1359;149;9;18
193;1377;457;3;6
194;1383;4;345;3
195;1386;5;277;1
196;1387;5;277;2
197;1389;461;3;6
198;1395;173;8;11
199;1406;1381;1;25
200;1431;463;3;42
201;1473;367;4;5
202;1478;11;134;4
203;1482;1481;1;1
204;1483;9;164;7
205;1490;3;496;2
206;1492;3;497;1
207;1493;5;298;3
208;1496;10;149;6
209;1502;7;214;4
210;1506;5;301;1
211;1507;5;301;2
212;1509;373;4;17
213;1526;8;190;6
214;1532;761;2;10
215;1542;23;67;1
216;1543;769;2;5
217;1548;7;221;1
218;1549;23;67;8
219;1557;38;40;37
220;1594;3;531;1
221;1595;2;797;1
222;1596;5;319;1
223;1597;131;12;25
224;1622;809;2;4
225;1626;5;325;1
226;1627;16;101;11
227;1638;1637;1;1
228;1639;22;74;11
229;1650;17;97;1
230;1651;17;97;2
231;1653;5;330;3
232;1656;5;331;1
233;1657;7;236;5
234;1662;11;151;1
235;1663;45;36;43
236;1706;3;568;2
237;1708;3;569;1
238;1709;6;284;5
239;1714;3;571;1
240;1715;2;857;1
241;1716;5;343;1
242;1717;857;2;3
243;1720;3;573;1
244;1721;6;286;5
245;1726;3;575;1
246;1727;2;863;1
247;1728;11;157;1
248;1729;431;4;5
249;1734;1733;1;1
250;1735;4;433;3
251;1738;3;579;1
252;1739;2;869;1
253;1740;37;47;1
254;1741;7;248;5
255;1746;5;349;1
256;1747;5;349;2
257;1749;17;102;15
258;1764;41;43;1
259;1765;439;4;9
260;1774;3;591;1
261;1775;1741;1;34
262;1809;601;3;6
263;1815;4;453;3
264;1818;23;79;1
265;1819;23;79;2
266;1821;21;86;15
267;1836;5;367;1
268;1837;31;59;8
269;1845;12;153;9
270;1854;17;109;1
271;1855;461;4;11
272;1866;5;373;1
273;1867;5;373;2
274;1869;9;207;6
275;1875;7;267;6
276;1881;15;125;6
277;1887;4;471;3
278;1890;1889;1;1
279;1891;1889;1;2
280;1893;12;157;9
281;1902;1901;1;1
282;1903;379;5;8
283;1911;467;4;43
284;1954;3;651;1
285;1955;2;977;1
286;1956;5;391;1
287;1957;487;4;9
288;1966;3;655;1
289;1967;12;163;11
290;1978;3;659;1
291;1979;11;179;10
292;1989;659;3;12
293;2001;12;166;9
294;2010;7;287;1
295;2011;7;287;2
296;2013;199;10;23
297;2036;8;254;4
298;2040;2039;1;1
299;2041;236;8;153
300;2194;3;731;1
301;2195;6;365;5
302;2200;3;733;1
303;2201;313;7;10
304;2211;1103;2;5
305;2216;10;221;6
306;2222;3;740;2
307;2224;3;741;1
308;2225;6;370;5
309;2230;3;743;1
310;2231;4;557;3
311;2234;3;744;2
312;2236;3;745;1
313;2237;6;372;5
314;2242;3;747;1
315;2243;2;1121;1
316;2244;2243;1;1
317;2245;13;172;9
318;2254;3;751;1
319;2255;8;281;7
320;2262;7;323;1
321;2263;14;161;9
322;2272;3;757;1
323;2273;283;8;9
324;2282;3;760;2
325;2284;3;761;1
326;2285;6;380;5
327;2290;3;763;1
328;2291;2;1145;1
329;2292;29;79;1
330;2293;283;8;29
331;2322;11;211;1
332;2323;11;211;2
333;2325;12;193;9
334;2334;2333;1;1
335;2335;19;122;17
336;2352;2351;1;1
337;2353;293;8;9
338;2362;3;787;1
339;2363;2;1181;1
340;2364;17;139;1
341;2365;22;107;11
342;2376;5;475;1
343;2377;593;4;5
344;2382;2381;1;1
345;2383;2381;1;2
346;2385;13;183;6
347;2391;4;597;3
348;2394;2393;1;1
349;2395;2393;1;2
350;2397;12;199;9
351;2406;5;481;1
352;2407;1201;2;5
353;2412;2411;1;1
354;2413;13;185;8
355;2421;14;172;13
356;2434;3;811;1
357;2435;2;1217;1
358;2436;5;487;1
359;2437;1217;2;3
360;2440;3;813;1
