n;A006364;weight;level;jump
1;0;0;0;1
2;1;0;0;5
3;6;5;1;1
4;7;4;1;3
5;10;3;3;1
6;11;2;5;1
7;12;11;1;1
8;13;8;1;5
9;18;17;1;1
10;19;2;9;1
11;20;19;1;1
12;21;6;3;3
13;24;23;1;1
14;25;10;2;5
15;30;29;1;1
16;31;4;7;3
17;34;3;11;1
18;35;2;17;1
19;36;5;7;1
20;37;17;2;3
21;40;3;13;1
22;41;6;6;5
23;46;3;15;1
24;47;2;23;1
25;48;47;1;1
26;49;11;4;5
27;54;53;1;1
28;55;4;13;3
29;58;3;19;1
30;59;2;29;1
31;60;59;1;1
32;61;7;8;5
33;66;5;13;1
34;67;2;33;1
35;68;67;1;1
36;69;6;11;3
37;72;71;1;1
38;73;17;4;5
39;78;7;11;1
40;79;2;39;1
41;80;79;1;1
42;81;19;4;5
43;86;5;17;1
44;87;4;21;3
45;90;89;1;1
46;91;2;45;1
47;92;7;13;1
48;93;5;18;3
49;96;5;19;1
50;97;23;4;5
51;102;101;1;1
52;103;4;25;3
53;106;3;35;1
54;107;2;53;1
55;108;107;1;1
56;109;8;13;5
57;114;113;1;1
58;115;2;57;1
59;116;5;23;1
60;117;6;19;3
61;120;7;17;1
62;121;29;4;5
63;126;5;25;1
64;127;4;31;3
65;130;3;43;1
66;131;2;65;1
67;132;131;1;1
68;133;5;26;3
69;136;3;45;1
70;137;6;22;5
71;142;3;47;1
72;143;2;71;1
73;144;11;13;1
74;145;7;20;5
75;150;149;1;1
76;151;4;37;3
77;154;3;51;1
78;155;2;77;1
79;156;5;31;1
80;157;7;22;3
81;160;3;53;1
82;161;6;26;5
83;166;3;55;1
84;167;4;41;3
85;170;13;13;1
86;171;2;85;1
87;172;3;57;1
88;173;6;28;5
89;178;3;59;1
90;179;2;89;1
91;180;179;1;1
92;181;89;2;3
93;184;3;61;1
94;185;6;30;5
95;190;3;63;1
96;191;2;95;1
97;192;191;1;1
98;193;47;4;5
99;198;197;1;1
100;199;4;49;3
101;202;3;67;1
102;203;2;101;1
103;204;7;29;1
104;205;8;25;5
105;210;11;19;1
106;211;2;105;1
107;212;211;1;1
108;213;5;42;3
109;216;5;43;1
110;217;53;4;5
111;222;13;17;1
112;223;4;55;3
113;226;3;75;1
114;227;2;113;1
115;228;227;1;1
116;229;113;2;3
117;232;3;77;1
118;233;6;38;5
119;238;3;79;1
120;239;2;119;1
121;240;239;1;1
122;241;59;4;5
123;246;5;49;1
124;247;4;61;3
125;250;3;83;1
126;251;2;125;1
127;252;251;1;1
128;253;8;31;5
129;258;257;1;1
130;259;2;129;1
131;260;7;37;1
132;261;6;43;3
133;264;263;1;1
134;265;10;26;5
135;270;269;1;1
136;271;2;135;1
137;272;271;1;1
138;273;67;4;5
139;278;277;1;1
140;279;4;69;3
141;282;281;1;1
142;283;2;141;1
143;284;283;1;1
144;285;6;47;3
145;288;7;41;1
146;289;71;4;5
147;294;293;1;1
148;295;4;73;3
149;298;3;99;1
150;299;2;149;1
151;300;13;23;1
152;301;8;37;5
153;306;5;61;1
154;307;2;153;1
155;308;307;1;1
156;309;6;51;3
157;312;311;1;1
158;313;7;44;5
159;318;317;1;1
160;319;2;159;1
161;320;11;29;1
162;321;79;4;5
163;326;5;65;1
164;327;4;81;3
165;330;7;47;1
166;331;2;165;1
167;332;331;1;1
168;333;8;41;5
169;338;337;1;1
170;339;2;169;1
171;340;3;113;1
172;341;13;26;3
173;344;7;49;1
174;345;10;34;5
175;350;349;1;1
176;351;4;87;3
177;354;353;1;1
178;355;2;177;1
179;356;5;71;1
180;357;6;59;3
181;360;359;1;1
182;361;89;4;5
183;366;5;73;1
184;367;2;183;1
185;368;367;1;1
186;369;7;52;5
187;374;373;1;1
188;375;4;93;3
189;378;13;29;1
190;379;2;189;1
191;380;379;1;1
192;381;6;63;3
193;384;383;1;1
194;385;10;38;5
195;390;389;1;1
196;391;4;97;3
197;394;3;131;1
198;395;2;197;1
199;396;5;79;1
200;397;7;56;5
201;402;401;1;1
202;403;2;201;1
203;404;13;31;1
204;405;6;67;3
205;408;11;37;1
206;409;101;4;5
207;414;7;59;1
208;415;4;103;3
209;418;3;139;1
210;419;2;209;1
211;420;419;1;1
212;421;11;38;3
213;424;3;141;1
214;425;6;70;5
215;430;3;143;1
216;431;2;215;1
217;432;431;1;1
218;433;107;4;5
219;438;19;23;1
220;439;4;109;3
221;442;3;147;1
222;443;2;221;1
223;444;443;1;1
224;445;8;55;5
225;450;449;1;1
226;451;2;225;1
227;452;11;41;1
228;453;5;90;3
229;456;5;91;1
230;457;113;4;5
231;462;461;1;1
232;463;2;231;1
233;464;463;1;1
234;465;10;46;5
235;470;7;67;1
236;471;4;117;3
237;474;11;43;1
238;475;2;237;1
239;476;5;95;1
240;477;6;79;3
241;480;479;1;1
242;481;7;68;5
243;486;5;97;1
244;487;4;121;3
245;490;3;163;1
246;491;2;245;1
247;492;491;1;1
248;493;8;61;5
249;498;7;71;1
250;499;2;249;1
251;500;499;1;1
252;501;6;83;3
253;504;503;1;1
254;505;10;50;5
255;510;509;1;1
256;511;4;127;3
257;514;3;171;1
258;515;2;257;1
259;516;5;103;1
260;517;257;2;3
261;520;3;173;1
262;521;6;86;5
263;526;3;175;1
264;527;2;263;1
265;528;17;31;1
266;529;131;4;5
267;534;13;41;1
268;535;4;133;3
269;538;3;179;1
270;539;2;269;1
271;540;7;77;1
272;541;269;2;3
273;544;3;181;1
274;545;6;90;5
275;550;3;183;1
276;551;4;137;3
277;554;7;79;1
278;555;2;277;1
279;556;3;185;1
280;557;6;92;5
281;562;3;187;1
282;563;2;281;1
283;564;563;1;1
284;565;281;2;3
285;568;3;189;1
286;569;6;94;5
287;574;3;191;1
288;575;2;287;1
289;576;5;115;1
290;577;11;52;5
291;582;7;83;1
292;583;4;145;3
293;586;3;195;1
294;587;2;293;1
295;588;587;1;1
296;589;8;73;5
297;594;593;1;1
298;595;2;297;1
299;596;5;119;1
300;597;6;99;3
301;600;599;1;1
302;601;149;4;5
303;606;5;121;1
304;607;4;151;3
305;610;3;203;1
306;611;2;305;1
307;612;13;47;1
308;613;5;122;3
309;616;3;205;1
310;617;6;102;5
311;622;3;207;1
312;623;2;311;1
313;624;7;89;1
314;625;10;62;5
315;630;17;37;1
316;631;4;157;3
317;634;3;211;1
318;635;2;317;1
319;636;5;127;1
320;637;317;2;3
321;640;3;213;1
322;641;6;106;5
323;646;3;215;1
324;647;4;161;3
325;650;11;59;1
326;651;2;325;1
327;652;3;217;1
328;653;6;108;5
329;658;3;219;1
330;659;2;329;1
331;660;659;1;1
332;661;7;94;3
333;664;3;221;1
334;665;6;110;5
335;670;3;223;1
336;671;4;167;3
337;674;673;1;1
338;675;2;337;1
339;676;3;225;1
340;677;337;2;3
341;680;7;97;1
342;681;13;52;5
343;686;5;137;1
344;687;2;343;1
345;688;3;229;1
346;689;6;114;5
347;694;3;231;1
348;695;4;173;3
349;698;17;41;1
350;699;2;349;1
351;700;3;233;1
352;701;6;116;5
353;706;3;235;1
354;707;2;353;1
355;708;7;101;1
356;709;353;2;3
357;712;3;237;1
358;713;6;118;5
359;718;3;239;1
360;719;2;359;1
361;720;719;1;1
362;721;179;4;5
363;726;5;145;1
364;727;4;181;3
365;730;3;243;1
366;731;2;365;1
367;732;17;43;1
368;733;5;146;3
369;736;3;245;1
370;737;6;122;5
371;742;3;247;1
372;743;4;185;3
373;746;5;149;1
374;747;2;373;1
375;748;3;249;1
376;749;6;124;5
377;754;3;251;1
378;755;2;377;1
379;756;5;151;1
380;757;13;58;3
381;760;3;253;1
382;761;6;126;5
383;766;3;255;1
384;767;2;383;1
