n;A029953;weight;level;jump
1;0;0;0;1
2;1;0;0;1
3;2;0;0;1
4;3;2;1;1
5;4;3;1;1
6;5;3;1;2
7;7;0;0;7
8;14;0;0;7
9;21;14;1;7
10;28;21;1;7
11;35;3;11;2
12;37;31;1;6
13;43;37;1;6
14;49;43;1;6
15;55;7;7;6
16;61;11;5;6
17;67;10;6;7
18;74;17;4;6
19;80;37;2;6
20;86;8;10;6
21;92;43;2;6
22;98;23;4;6
23;104;97;1;7
24;111;7;15;6
25;117;37;3;6
26;123;9;13;6
27;129;41;3;6
28;135;43;3;6
29;141;67;2;7
30;148;71;2;6
31;154;37;4;6
32;160;7;22;6
33;166;8;20;6
34;172;83;2;6
35;178;9;19;7
36;185;179;1;6
37;191;37;5;6
38;197;191;1;6
39;203;197;1;6
40;209;7;29;6
41;215;3;71;2
42;217;175;1;42
43;259;217;1;42
44;301;259;1;42
45;343;43;7;42
46;385;49;7;42
47;427;10;42;7
48;434;49;8;42
49;476;62;7;42
50;518;68;7;42
51;560;74;7;42
52;602;56;10;42
53;644;13;49;7
54;651;87;7;42
55;693;93;7;42
56;735;63;11;42
57;777;49;15;42
58;819;111;7;42
59;861;14;61;7
60;868;59;14;42
61;910;62;14;42
62;952;65;14;42
63;994;56;17;42
64;1036;71;14;42
65;1078;9;119;7
66;1085;149;7;42
67;1127;155;7;42
68;1169;49;23;42
69;1211;167;7;42
70;1253;173;7;42
71;1295;3;431;2
72;1297;97;13;36
73;1333;1297;1;36
74;1369;43;31;36
75;1405;37;37;36
76;1441;281;5;36
77;1477;205;7;42
78;1519;1483;1;36
79;1555;49;31;36
80;1591;311;5;36
81;1627;37;43;36
82;1663;1627;1;36
83;1699;1657;1;42
84;1741;55;31;36
85;1777;1741;1;36
86;1813;1777;1;36
87;1849;37;49;36
88;1885;43;43;36
89;1921;1879;1;42
90;1963;41;47;36
91;1999;151;13;36
92;2035;1999;1;36
93;2071;37;55;36
94;2107;109;19;36
95;2143;191;11;42
96;2185;307;7;36
97;2221;95;23;36
98;2257;2221;1;36
99;2293;37;61;36
100;2329;2293;1;36
101;2365;101;23;42
102;2407;2371;1;36
103;2443;83;29;36
104;2479;349;7;36
105;2515;37;67;36
106;2551;503;5;36
107;2587;10;258;7
108;2594;1279;2;36
109;2630;1297;2;36
110;2666;263;10;36
111;2702;43;62;36
112;2738;193;14;36
113;2774;683;4;42
114;2816;139;20;36
115;2852;44;64;36
116;2888;46;62;36
117;2924;38;76;36
118;2960;43;68;36
119;2996;211;14;42
120;3038;38;79;36
121;3074;49;62;36
122;3110;53;58;36
123;3146;311;10;36
124;3182;121;26;36
125;3218;397;8;42
126;3260;52;62;36
127;3296;163;20;36
128;3332;103;32;36
129;3368;49;68;36
130;3404;421;8;36
131;3440;1699;2;42
132;3482;1723;2;36
133;3518;1741;2;36
134;3554;1759;2;36
135;3590;1777;2;36
136;3626;359;10;36
137;3662;181;20;42
138;3704;131;28;36
139;3740;463;8;36
140;3776;44;85;36
141;3812;59;64;36
142;3848;953;4;36
143;3884;3877;1;7
144;3891;257;15;36
145;3927;1297;3;36
146;3963;51;77;36
147;3999;1321;3;36
148;4035;43;93;36
149;4071;51;79;42
150;4113;151;27;36
151;4149;457;9;36
152;4185;461;9;36
153;4221;45;93;36
154;4257;63;67;36
155;4293;109;39;42
156;4335;1433;3;36
157;4371;51;85;36
158;4407;47;93;36
159;4443;39;113;36
160;4479;1481;3;36
161;4515;63;71;42
162;4557;137;33;36
163;4593;49;93;36
164;4629;1531;3;36
165;4665;1543;3;36
166;4701;311;15;36
167;4737;313;15;42
168;4779;51;93;36
169;4815;59;81;36
170;4851;45;107;36
171;4887;49;99;36
172;4923;181;27;36
173;4959;149;33;42
174;5001;331;15;36
175;5037;1667;3;36
176;5073;69;73;36
177;5109;57;89;36
178;5145;39;131;36
179;5181;13;398;7
180;5188;46;112;36
181;5224;1297;4;36
182;5260;653;8;36
183;5296;263;20;36
184;5332;331;16;36
185;5368;2663;2;42
186;5410;2687;2;36
187;5446;541;10;36
188;5482;389;14;36
189;5518;2741;2;36
190;5554;62;89;36
191;5590;73;76;42
192;5632;1399;4;36
193;5668;44;128;36
194;5704;52;109;36
195;5740;46;124;36
196;5776;41;140;36
197;5812;577;10;42
198;5854;2909;2;36
199;5890;2927;2;36
200;5926;38;155;36
201;5962;2963;2;36
202;5998;271;22;36
203;6034;56;107;42
204;6076;40;151;36
205;6112;49;124;36
206;6148;191;32;36
207;6184;53;116;36
208;6220;773;8;36
209;6256;239;26;42
210;6298;62;101;36
211;6334;47;134;36
212;6370;3167;2;36
213;6406;49;130;36
214;6442;3203;2;36
215;6478;9;719;7
216;6485;6449;1;36
217;6521;1297;5;36
218;6557;6521;1;36
219;6593;79;83;36
220;6629;347;19;36
221;6665;179;37;42
222;6707;953;7;36
223;6743;353;19;36
224;6779;613;11;36
225;6815;6779;1;36
226;6851;47;145;36
227;6887;185;37;42
228;6929;61;113;36
229;6965;41;169;36
230;7001;199;35;36
231;7037;7001;1;36
232;7073;227;31;36
233;7109;191;37;42
234;7151;1423;5;36
235;7187;7151;1;36
236;7223;7187;1;36
237;7259;233;31;36
238;7295;61;119;36
239;7331;197;37;42
240;7373;253;29;36
241;7409;73;101;36
242;7445;239;31;36
243;7481;1489;5;36
244;7517;7481;1;36
245;7553;203;37;42
246;7595;7559;1;36
247;7631;49;155;36
248;7667;587;13;36
249;7703;41;187;36
250;7739;7703;1;36
251;7775;3;2591;2
252;7777;301;25;252
253;8029;707;11;252
254;8281;259;31;252
255;8533;637;13;252
256;8785;371;23;252
257;9037;257;35;42
258;9079;679;13;252
259;9331;1297;7;252
260;9583;301;31;252
261;9835;259;37;252
262;10087;281;35;252
263;10339;1471;7;42
264;10381;1447;7;252
265;10633;1483;7;252
266;10885;343;31;252
267;11137;311;35;252
268;11389;259;43;252
269;11641;1657;7;42
270;11683;497;23;252
271;11935;1669;7;252
272;12187;341;35;252
273;12439;1741;7;252
274;12691;1777;7;252
275;12943;97;133;42
276;12985;749;17;252
277;13237;265;49;252
278;13489;427;31;252
279;13741;287;47;252
280;13993;1057;13;252
281;14245;2029;7;42
282;14287;401;35;252
283;14539;1099;13;252
284;14791;469;31;252
285;15043;2113;7;252
286;15295;307;49;252
287;15547;10;1554;7
288;15554;1093;14;252
289;15806;707;22;252
290;16058;1129;14;252
291;16310;259;62;252
292;16562;466;35;252
293;16814;599;28;42
294;16856;593;28;252
295;17108;301;56;252
296;17360;329;52;252
297;17612;280;62;252
298;17864;259;68;252
299;18116;1291;14;42
300;18158;1279;14;252
301;18410;1297;14;252
302;18662;263;70;252
303;18914;301;62;252
304;19166;386;49;252
305;19418;56;346;42
306;19460;343;56;252
307;19712;278;70;252
308;19964;256;77;252
309;20216;322;62;252
310;20468;266;76;252
311;20720;49;422;42
312;20762;293;70;252
313;21014;1483;14;252
314;21266;266;79;252
315;21518;343;62;252
316;21770;371;58;252
317;22022;70;314;42
318;22064;266;82;252
319;22316;394;56;252
320;22568;797;28;252
321;22820;364;62;252
322;23072;326;70;252
323;23324;3331;7;7
324;23331;471;49;252
325;23583;303;77;252
326;23835;1123;21;252
327;24087;681;35;252
328;24339;259;93;252
