n;A037308;weight;level;jump
1;0;0;0;1
2;1;0;0;19
3;20;19;1;1
4;21;0;0;101
5;122;11;11;1
6;123;0;0;79
7;202;3;67;1
8;203;23;8;19
9;222;13;17;1
10;223;8;27;7
11;230;229;1;1
12;231;80;2;71
13;302;7;43;1
14;303;196;1;107
15;410;409;1;1
16;411;160;2;91
17;502;3;167;1
18;503;0;0;627
19;1130;1129;1;1
20;1131;139;8;19
21;1150;3;383;1
22;1151;55;20;51
23;1202;1201;1;1
24;1203;199;6;9
25;1212;7;173;1
26;1213;23;52;17
27;1230;1229;1;1
28;1231;83;14;69
29;1300;3;433;1
30;1301;120;10;101
31;1402;3;467;1
32;1403;163;8;99
33;1502;19;79;1
34;1503;8;187;7
35;1510;3;503;1
36;1511;508;2;495
37;2006;5;401;1
38;2007;991;2;25
39;2032;3;677;1
40;2033;491;4;69
41;2102;11;191;1
42;2103;118;17;97
43;2200;3;733;1
44;2201;1396;1;805
45;3006;5;601;1
46;3007;19;158;5
47;3012;3011;1;1
48;3013;48;62;37
49;3050;3049;1;1
50;3051;379;8;19
51;3070;3;1023;1
52;3071;32;95;31
53;3102;7;443;1
54;3103;8;387;7
55;3110;3109;1;1
56;3111;487;6;189
57;3300;3299;1;1
58;3301;1294;2;713
59;4014;4013;1;1
60;4015;1010;3;985
61;5000;4999;1;1
62;5001;12;416;9
63;5010;5009;1;1
64;5011;41;122;9
65;5020;3;1673;1
66;5021;1010;4;981
67;6002;17;353;1
68;6003;18;333;9
69;6012;6011;1;1
70;6013;1481;4;89
71;6102;6101;1;1
72;6103;2603;2;897
73;7000;3;2333;1
74;7001;115;60;101
75;7102;3;2367;1
76;7103;1016;6;1007
77;8110;3;2703;1
78;8111;2072;3;1895
79;10006;3;3335;1
80;10007;31;322;25
81;10032;7;1433;1
82;10033;32;313;17
83;10050;13;773;1
84;10051;5021;2;9
85;10060;3;3353;1
86;10061;14;718;9
87;10070;10069;1;1
88;10071;59;170;41
89;10112;10111;1;1
90;10113;49;206;19
91;10132;3;3377;1
92;10133;631;16;37
93;10170;10169;1;1
94;10171;76;133;63
95;10234;3;3411;1
96;10235;80;127;75
97;10310;13;793;1
98;10311;111;92;99
99;10410;7;1487;1
100;10411;24;433;19
101;10430;10429;1;1
102;10431;985;10;581
103;11012;7;1573;1
104;11013;49;224;37
105;11050;3;3683;1
106;11051;28;394;19
107;11070;11069;1;1
108;11071;919;12;43
109;11114;11113;1;1
110;11115;38;292;19
111;11134;3;3711;1
112;11135;16;695;15
113;11150;11149;1;1
114;11151;66;168;63
115;11214;11213;1;1
116;11215;30;373;25
117;11240;11239;1;1
118;11241;12;936;9
119;11250;7;1607;1
120;11251;11;1022;9
121;11260;3;3753;1
122;11261;62;181;39
123;11300;11299;1;1
124;11301;222;50;201
125;11502;7;1643;1
126;11503;353;32;207
127;11710;3;3903;1
128;11711;1427;8;295
129;12006;5;2401;1
130;12007;22;545;17
131;12024;11;1093;1
132;12025;94;127;87
133;12112;3;4037;1
134;12113;38;318;29
135;12142;3;4047;1
136;12143;863;14;61
137;12204;12203;1;1
138;12205;3049;4;9
139;12214;3;4071;1
140;12215;42;290;35
141;12250;3;4083;1
142;12251;766;15;761
143;13012;3;4337;1
144;13013;811;16;37
145;13050;13049;1;1
146;13051;6451;2;149
147;13200;67;197;1
148;13201;37;356;29
149;13230;13229;1;1
150;13231;1556;8;783
151;14014;3;4671;1
152;14015;6;2335;5
153;14020;3;4673;1
154;14021;82;170;81
155;14102;59;239;1
156;14103;3469;4;227
157;14330;7;2047;1
158;14331;683;20;671
159;15002;7;2143;1
160;15003;23;652;7
161;15010;3;5003;1
162;15011;13;1154;9
163;15020;23;653;1
164;15021;12;1251;9
165;15030;7;2147;1
166;15031;188;79;179
167;15210;67;227;1
168;15211;24;633;19
169;15230;97;157;1
170;15231;947;16;79
171;15310;3;5103;1
172;15311;1124;13;699
173;16010;7;2287;1
174;16011;1999;8;19
175;16030;3;5343;1
176;16031;76;210;71
177;16102;3;5367;1
178;16103;21;766;17
179;16120;3;5373;1
180;16121;2657;6;179
181;16300;3;5433;1
182;16301;4073;4;9
183;16310;47;347;1
184;16311;4206;3;3693
185;20004;83;241;1
186;20005;1997;10;35
187;20040;29;691;1
188;20041;16;1252;9
189;20050;3;6683;1
190;20051;11;1822;9
191;20060;13;1543;1
192;20061;58;345;51
193;20112;7;2873;1
194;20113;5021;4;29
195;20142;11;1831;1
196;20143;80;251;63
197;20206;3;6735;1
198;20207;24;841;23
199;20230;3;6743;1
200;20231;130;155;81
201;20312;19;1069;1
202;20313;11;1846;7
203;20320;3;6773;1
204;20321;10151;2;19
205;20340;11;1849;1
206;20341;563;36;73
207;20414;137;149;1
208;20415;10;2041;5
209;20420;7;2917;1
210;20421;620;32;581
211;21002;21001;1;1
212;21003;43;488;19
213;21022;3;7007;1
214;21023;8;2627;7
215;21030;17;1237;1
216;21031;419;50;81
217;21112;3;7037;1
218;21113;96;219;89
219;21202;3;7067;1
220;21203;10597;2;9
221;21212;21211;1;1
222;21213;23;922;7
223;21220;3;7073;1
224;21221;140;151;81
225;21302;7;3043;1
226;21303;461;46;97
227;21400;3;7133;1
228;21401;1733;12;605
229;22006;3;7335;1
230;22007;24;916;23
231;22030;3;7343;1
232;22031;106;207;89
233;22120;3;7373;1
234;22121;16;1382;9
235;22130;22129;1;1
236;22131;18;1229;9
237;22140;13;1703;1
238;22141;89;248;69
239;22210;3;7403;1
240;22211;17;1306;9
241;22220;17;1307;1
242;22221;12;1851;9
243;22230;22229;1;1
244;22231;80;277;71
245;22302;29;769;1
246;22303;8;2787;7
247;22310;7;3187;1
248;22311;1229;18;189
249;22500;149;151;1
250;22501;647;34;503
251;23004;23003;1;1
252;23005;3833;6;7
253;23012;23011;1;1
254;23013;337;68;97
255;23110;3;7703;1
256;23111;523;44;99
257;23210;23209;1;1
258;23211;26;892;19
259;23230;3;7743;1
260;23231;1123;20;771
261;24002;24001;1;1
262;24003;18;1333;9
263;24012;13;1847;1
264;24013;17;1412;9
265;24022;3;8007;1
266;24023;78;307;77
267;24100;3;8033;1
268;24101;239;100;201
269;24302;19;1279;1
270;24303;251;96;207
271;24510;24509;1;1
272;24511;11461;2;1589
273;26100;26099;1;1
274;26101;5549;4;3905
275;30006;5;6001;1
276;30007;59;508;35
277;30042;11;2731;1
278;30043;12;2503;7
279;30050;151;199;1
280;30051;18;1669;9
281;30060;30059;1;1
282;30061;11;2732;9
283;30070;3;10023;1
284;30071;46;653;33
285;30104;30103;1;1
286;30105;101;298;7
287;30112;3;10037;1
288;30113;41;734;19
289;30132;29;1039;1
290;30133;7529;4;17
291;30150;7;4307;1
292;30151;7523;4;59
293;30210;17;1777;1
294;30211;15101;2;9
295;30220;3;10073;1
296;30221;13;2324;9
297;30230;19;1591;1
298;30231;2153;14;89
299;30320;30319;1;1
300;30321;15121;2;79
301;30400;3;10133;1
302;30401;22;1381;19
303;30420;19;1601;1
304;30421;389;78;79
305;30500;7;4357;1
306;30501;202;150;201
307;30702;11;2791;1
308;30703;563;54;301
309;31004;7;4429;1
310;31005;11;2818;7
311;31012;3;10337;1
312;31013;153;202;107
313;31120;3;10373;1
314;31121;2591;12;29
315;31150;3;10383;1
316;31151;67;464;63
317;31214;7;4459;1
318;31215;110;283;85
319;31300;3;10433;1
320;31301;15601;2;99
321;31400;17;1847;1
322;31401;12;2616;9
323;31410;7;4487;1
324;31411;14;2243;9
325;31420;3;10473;1
326;31421;244;128;189
327;31610;73;433;1
328;31611;101;312;99
329;31710;37;857;1
330;31711;1571;20;291
331;32002;3;10667;1
332;32003;17;1882;9
333;32012;7;4573;1
334;32013;12;2667;9
335;32022;11;2911;1
336;32023;2281;14;89
337;32112;163;197;1
338;32113;16007;2;99
339;32212;3;10737;1
340;32213;2011;16;37
341;32250;7;4607;1
342;32251;56;575;51
343;32302;3;10767;1
344;32303;2683;12;107
345;32410;3;10803;1
346;32411;101;320;91
347;32502;7;4643;1
348;32503;557;58;197
349;32700;19;1721;1
350;32701;12700;2;7301
351;40002;13;3077;1
352;40003;19997;2;9
353;40012;3;13337;1
354;40013;73;548;9
355;40022;31;1291;1
356;40023;1109;36;99
357;40122;53;757;1
358;40123;20023;2;77
359;40200;61;659;1
360;40201;16;2512;9
361;40210;3;13403;1
362;40211;20101;2;9
363;40220;37;1087;1
364;40221;20021;2;179
365;40400;71;569;1
366;40401;10093;4;29
367;40430;40429;1;1
368;40431;97;416;79
369;40510;3;13503;1
370;40511;20161;2;189
371;40700;40699;1;1
372;40701;628;64;509
373;41210;7;5887;1
374;41211;20161;2;889
375;42100;3;14033;1
376;42101;20599;2;903
377;43004;43003;1;1
378;43005;4201;10;995
379;44000;23;1913;1
380;44001;21991;2;19
381;44020;3;14673;1
382;44021;21521;2;979
383;45000;17;2647;1
384;45001;16;2812;9
385;45010;3;15003;1
386;45011;22501;2;9
387;45020;13;3463;1
388;45021;2526;17;2079
389;47100;13;3623;1
390;47101;3400;13;2901
391;50002;3;16667;1
392;50003;14;3571;9
393;50012;13;3847;1
394;50013;11;4546;7
395;50020;3;16673;1
396;50021;323;154;279
397;50300;179;281;1
398;50301;6199;8;709
399;51010;3;17003;1
400;51011;14;3643;9
401;51020;163;313;1
402;51021;12;4251;9
403;51030;11;4639;1
404;51031;107;476;99
405;51130;3;17043;1
406;51131;1478;34;879
407;52010;52009;1;1
408;52011;67;776;19
409;52030;3;17343;1
410;52031;136;382;79
411;52110;107;487;1
412;52111;703;74;89
413;52200;7;7457;1
414;52201;14;3728;9
415;52210;3;17403;1
416;52211;43;1214;9
417;52220;79;661;1
418;52221;1510;34;881
419;53102;53101;1;1
420;53103;13249;4;107
421;53210;13;4093;1
422;53211;13103;4;799
423;54010;3;18003;1
424;54011;6860;7;5991
425;60002;29;2069;1
426;60003;11;5454;9
427;60012;7;8573;1
428;60013;14;4286;9
429;60022;3;20007;1
430;60023;118;508;79
431;60102;60101;1;1
432;60103;26;2311;17
433;60120;79;761;1
434;60121;10007;6;79
435;60200;37;1627;1
436;60201;11;5472;9
437;60210;60209;1;1
438;60211;31;1942;9
439;60220;3;20073;1
440;60221;30071;2;79
441;60300;17;3547;1
442;60301;15073;4;9
443;60310;3;20103;1
444;60311;10037;6;89
445;60400;3;20133;1
446;60401;650;92;601
447;61002;61001;1;1
448;61003;21;2904;19
449;61022;139;439;1
450;61023;8;7627;7
451;61030;3;20343;1
452;61031;461;132;179
453;61210;3;20403;1
454;61211;160;382;91
455;61302;59;1039;1
456;61303;101;606;97
457;61400;13;4723;1
458;61401;894;68;609
459;62010;59;1051;1
460;62011;109;568;99
461;62110;3;20703;1
462;62111;10337;6;89
463;62200;3;20733;1
