n;A028835;weight;level;jump
1;2;0;0;1
2;3;0;0;2
3;5;3;1;2
4;7;0;0;4
5;11;2;5;1
6;12;5;2;2
7;14;3;4;2
8;16;6;2;4
9;20;19;1;1
10;21;19;1;2
11;23;3;7;2
12;25;7;3;4
13;29;2;14;1
14;30;4;7;2
15;32;3;10;2
16;34;5;6;4
17;38;37;1;1
18;39;37;1;2
19;41;3;13;2
20;43;13;3;4
21;47;2;23;1
22;48;23;2;2
23;50;3;16;2
24;52;6;8;4
25;56;5;11;1
26;57;5;11;2
27;59;3;19;2
28;61;19;3;4
29;65;2;32;1
30;66;4;16;2
31;68;3;22;2
32;70;6;11;4
33;74;73;1;1
34;75;73;1;2
35;77;3;25;2
36;79;5;15;4
37;83;2;41;1
38;84;41;2;2
39;86;3;28;2
40;88;6;14;4
41;92;7;13;1
42;93;7;13;2
43;95;3;31;2
44;97;31;3;4
45;101;2;50;1
46;102;4;25;2
47;104;3;34;2
48;106;6;17;4
49;110;109;1;1
50;111;109;1;2
51;113;3;37;2
52;115;37;3;4
53;119;2;59;1
54;120;59;2;2
55;122;3;40;2
56;124;5;24;4
57;128;127;1;1
58;129;127;1;2
59;131;3;43;2
60;133;43;3;4
61;137;2;68;1
62;138;4;34;2
63;140;3;46;2
64;142;6;23;4
65;146;5;29;1
66;147;5;29;2
67;149;3;49;2
68;151;7;21;4
69;155;2;77;1
70;156;7;22;2
71;158;3;52;2
72;160;6;26;4
73;164;163;1;1
74;165;163;1;2
75;167;3;55;2
76;169;5;33;4
77;173;2;86;1
78;174;4;43;2
79;176;3;58;2
80;178;6;29;4
81;182;181;1;1
82;183;181;1;2
83;185;3;61;2
84;187;61;3;4
85;191;2;95;1
86;192;5;38;2
87;194;3;64;2
88;196;6;32;4
89;200;199;1;1
90;201;199;1;2
91;203;3;67;2
92;205;67;3;4
93;209;2;104;1
94;210;4;52;2
95;212;3;70;2
96;214;5;42;4
97;218;7;31;1
98;219;7;31;2
99;221;3;73;2
100;223;73;3;4
101;227;2;113;1
102;228;113;2;2
103;230;3;76;2
104;232;6;38;4
105;236;5;47;1
106;237;5;47;2
107;239;3;79;2
108;241;79;3;4
109;245;2;122;1
110;246;4;61;2
111;248;3;82;2
112;250;6;41;4
113;254;11;23;1
114;255;11;23;2
115;257;3;85;2
116;259;5;51;4
117;263;2;131;1
118;264;131;2;2
119;266;3;88;2
120;268;6;44;4
121;272;271;1;1
122;273;271;1;2
123;275;3;91;2
124;277;7;39;4
125;281;2;140;1
126;282;4;70;2
127;284;3;94;2
128;286;6;47;4
129;290;17;17;1
130;291;17;17;2
131;293;3;97;2
132;295;97;3;4
133;299;2;149;1
134;300;149;2;2
135;302;3;100;2
136;304;5;60;4
137;308;307;1;1
138;309;307;1;2
139;311;3;103;2
140;313;103;3;4
141;317;2;158;1
142;318;4;79;2
143;320;3;106;2
144;322;6;53;4
145;326;5;65;1
146;327;5;65;2
147;329;3;109;2
148;331;109;3;4
149;335;2;167;1
150;336;167;2;2
151;338;3;112;2
152;340;6;56;4
153;344;7;49;1
154;345;7;49;2
155;347;3;115;2
156;349;5;69;4
157;353;2;176;1
158;354;4;88;2
159;356;3;118;2
160;358;6;59;4
161;362;19;19;1
162;363;19;19;2
163;365;3;121;2
164;367;11;33;4
165;371;2;185;1
166;372;5;74;2
167;374;3;124;2
168;376;6;62;4
169;380;379;1;1
170;381;379;1;2
171;383;3;127;2
172;385;127;3;4
173;389;2;194;1
174;390;4;97;2
175;392;3;130;2
176;394;5;78;4
177;398;397;1;1
178;399;397;1;2
179;401;3;133;2
180;403;7;57;4
181;407;2;203;1
182;408;7;58;2
183;410;3;136;2
184;412;6;68;4
185;416;5;83;1
186;417;5;83;2
187;419;3;139;2
188;421;139;3;4
189;425;2;212;1
190;426;4;106;2
191;428;3;142;2
192;430;6;71;4
193;434;433;1;1
194;435;433;1;2
195;437;3;145;2
196;439;5;87;4
197;443;2;221;1
198;444;13;34;2
199;446;3;148;2
200;448;6;74;4
201;452;11;41;1
202;453;11;41;2
203;455;3;151;2
204;457;151;3;4
205;461;2;230;1
206;462;4;115;2
207;464;3;154;2
208;466;6;77;4
209;470;7;67;1
210;471;7;67;2
211;473;3;157;2
212;475;157;3;4
213;479;2;239;1
214;480;239;2;2
215;482;3;160;2
216;484;5;96;4
217;488;487;1;1
218;489;487;1;2
219;491;3;163;2
220;493;163;3;4
221;497;2;248;1
222;498;4;124;2
223;500;3;166;2
224;502;6;83;4
225;506;5;101;1
226;507;5;101;2
227;509;3;169;2
228;511;13;39;4
229;515;2;257;1
230;516;257;2;2
231;518;3;172;2
232;520;6;86;4
233;524;523;1;1
234;525;523;1;2
235;527;3;175;2
236;529;5;105;4
237;533;2;266;1
238;534;4;133;2
239;536;3;178;2
240;538;6;89;4
241;542;541;1;1
242;543;541;1;2
243;545;3;181;2
244;547;181;3;4
245;551;2;275;1
246;552;5;110;2
247;554;3;184;2
248;556;6;92;4
249;560;13;43;1
250;561;13;43;2
251;563;3;187;2
252;565;11;51;4
253;569;2;284;1
254;570;4;142;2
255;572;3;190;2
256;574;5;114;4
257;578;577;1;1
258;579;577;1;2
259;581;3;193;2
260;583;193;3;4
261;587;2;293;1
262;588;293;2;2
263;590;3;196;2
264;592;6;98;4
265;596;5;119;1
266;597;5;119;2
267;599;3;199;2
268;601;199;3;4
269;605;2;302;1
270;606;4;151;2
271;608;3;202;2
272;610;6;101;4
273;614;613;1;1
274;615;613;1;2
275;617;3;205;2
276;619;5;123;4
277;623;2;311;1
278;624;311;2;2
279;626;3;208;2
280;628;6;104;4
281;632;631;1;1
282;633;631;1;2
283;635;3;211;2
284;637;211;3;4
285;641;2;320;1
286;642;4;160;2
287;644;3;214;2
288;646;6;107;4
289;650;11;59;1
290;651;11;59;2
291;653;3;217;2
292;655;7;93;4
293;659;2;329;1
294;660;7;94;2
295;662;3;220;2
296;664;5;132;4
297;668;23;29;1
298;669;23;29;2
299;671;3;223;2
300;673;223;3;4
301;677;2;338;1
302;678;4;169;2
303;680;3;226;2
304;682;6;113;4
305;686;5;137;1
306;687;5;137;2
307;689;3;229;2
308;691;229;3;4
309;695;2;347;1
310;696;347;2;2
311;698;3;232;2
312;700;6;116;4
313;704;19;37;1
314;705;19;37;2
315;707;3;235;2
316;709;5;141;4
317;713;2;356;1
318;714;4;178;2
319;716;3;238;2
320;718;6;119;4
321;722;7;103;1
322;723;7;103;2
323;725;3;241;2
324;727;241;3;4
325;731;2;365;1
326;732;5;146;2
327;734;3;244;2
328;736;6;122;4
329;740;739;1;1
330;741;739;1;2
331;743;3;247;2
332;745;13;57;4
333;749;2;374;1
334;750;4;187;2
335;752;3;250;2
336;754;5;150;4
337;758;757;1;1
338;759;757;1;2
339;761;3;253;2
340;763;11;69;4
341;767;2;383;1
342;768;383;2;2
343;770;3;256;2
344;772;6;128;4
345;776;5;155;1
346;777;5;155;2
347;779;3;259;2
348;781;7;111;4
349;785;2;392;1
350;786;4;196;2
351;788;3;262;2
352;790;6;131;4
353;794;13;61;1
354;795;13;61;2
355;797;3;265;2
356;799;5;159;4
357;803;2;401;1
358;804;401;2;2
359;806;3;268;2
360;808;6;134;4
361;812;811;1;1
362;813;811;1;2
363;815;3;271;2
364;817;271;3;4
365;821;2;410;1
366;822;4;205;2
367;824;3;274;2
368;826;6;137;4
369;830;829;1;1
370;831;829;1;2
371;833;3;277;2
372;835;277;3;4
373;839;2;419;1
374;840;419;2;2
375;842;3;280;2
376;844;5;168;4
377;848;7;121;1
378;849;7;121;2
379;851;3;283;2
380;853;283;3;4
381;857;2;428;1
382;858;4;214;2
383;860;3;286;2
384;862;6;143;4
385;866;5;173;1
386;867;5;173;2
387;869;3;289;2
388;871;17;51;4
389;875;2;437;1
390;876;19;46;2
391;878;3;292;2
392;880;6;146;4
393;884;883;1;1
394;885;883;1;2
395;887;3;295;2
396;889;5;177;4
397;893;2;446;1
398;894;4;223;2
399;896;3;298;2
400;898;6;149;4
401;902;17;53;1
402;903;17;53;2
403;905;3;301;2
404;907;7;129;4
405;911;2;455;1
406;912;5;182;2
407;914;3;304;2
408;916;6;152;4
409;920;919;1;1
410;921;919;1;2
411;923;3;307;2
412;925;307;3;4
413;929;2;464;1
414;930;4;232;2
415;932;3;310;2
416;934;5;186;4
417;938;937;1;1
418;939;937;1;2
419;941;3;313;2
420;943;313;3;4
421;947;2;473;1
422;948;11;86;2
423;950;3;316;2
424;952;6;158;4
425;956;5;191;1
426;957;5;191;2
427;959;3;319;2
428;961;11;87;4
429;965;2;482;1
430;966;4;241;2
431;968;3;322;2
432;970;6;161;4
433;974;7;139;1
434;975;7;139;2
435;977;3;325;2
436;979;5;195;4
437;983;2;491;1
438;984;491;2;2
439;986;3;328;2
440;988;6;164;4
