n;A027699;weight;level;jump
1;3;0;0;2
2;5;0;0;12
3;17;11;1;6
4;23;17;1;6
5;29;15;1;14
6;43;11;3;10
7;53;35;1;18
8;71;59;1;12
9;83;7;11;6
10;89;77;1;12
11;101;89;1;12
12;113;29;3;26
13;139;43;3;10
14;149;15;9;14
15;163;43;3;34
16;197;137;1;60
17;257;251;1;6
18;263;257;1;6
19;269;9;29;8
20;277;7;39;4
21;281;269;1;12
22;293;25;11;18
23;311;61;5;6
24;317;27;11;20
25;337;109;3;10
26;347;3;115;2
27;349;5;69;4
28;353;347;1;6
29;359;15;23;14
30;373;11;33;10
31;383;13;29;6
32;389;13;29;12
33;401;353;1;48
34;449;19;23;12
35;461;7;65;6
36;467;13;35;12
37;479;35;13;24
38;503;7;71;6
39;509;15;33;14
40;523;499;1;24
41;547;523;1;24
42;571;61;9;22
43;593;587;1;6
44;599;193;3;20
45;619;35;17;24
46;643;613;1;30
47;673;13;51;10
48;683;9;75;8
49;691;643;1;48
50;739;727;1;12
51;751;27;27;22
52;773;107;7;24
53;797;27;29;14
54;811;89;9;10
55;821;73;11;18
56;839;15;55;14
57;853;283;3;4
58;857;23;37;6
59;863;65;13;18
60;881;7;125;6
61;887;51;17;20
62;907;877;1;30
63;937;69;13;40
64;977;971;1;6
65;983;953;1;30
66;1013;199;5;18
67;1031;1013;1;18
68;1049;17;61;12
69;1061;1031;1;30
70;1091;3;363;2
71;1093;9;121;4
72;1097;1091;1;6
73;1103;33;33;14
74;1117;57;19;34
75;1151;59;19;30
76;1181;229;5;36
77;1217;7;173;6
78;1223;1217;1;6
79;1229;11;111;8
80;1237;57;21;40
81;1277;31;41;6
82;1283;1277;1;6
83;1289;21;61;8
84;1297;1291;1;6
85;1303;433;3;4
86;1307;35;37;12
87;1319;419;3;62
88;1381;29;47;18
89;1399;463;3;10
90;1409;107;13;18
91;1427;3;475;2
92;1429;5;285;4
93;1433;1427;1;6
94;1439;127;11;42
95;1481;25;59;6
96;1487;3;495;2
97;1489;17;87;10
98;1499;1487;1;12
99;1511;1499;1;12
100;1523;1493;1;30
101;1553;7;221;6
102;1559;27;57;20
103;1579;173;9;22
104;1601;11;145;6
105;1607;1601;1;6
106;1613;1607;1;6
107;1619;3;539;2
108;1621;107;15;16
109;1637;63;25;62
110;1699;25;67;24
111;1723;571;3;10
112;1733;331;5;78
113;1811;257;7;12
114;1823;257;7;24
115;1847;39;47;14
116;1861;617;3;10
117;1871;3;623;2
118;1873;1867;1;6
119;1879;21;89;10
120;1889;1877;1;12
121;1901;379;5;6
122;1907;1901;1;6
123;1913;1877;1;36
124;1949;25;77;24
125;1973;1949;1;24
126;1997;11;181;6
127;2003;281;7;36
128;2039;41;49;30
129;2069;15;137;14
130;2083;31;67;6
131;2089;683;3;40
132;2129;29;73;12
133;2141;701;3;38
134;2179;431;5;24
135;2203;19;115;18
136;2221;2203;1;18
137;2239;17;131;12
138;2251;2221;1;30
139;2281;7;325;6
140;2287;151;15;22
141;2309;457;5;24
142;2333;773;3;14
143;2347;19;123;10
144;2357;2333;1;24
145;2381;21;113;8
146;2389;5;477;4
147;2393;7;341;6
148;2399;2381;1;18
149;2417;2411;1;6
150;2423;61;39;44
151;2467;23;107;6
152;2473;83;29;66
153;2539;281;9;10
154;2549;167;15;44
155;2593;367;7;24
156;2617;103;25;42
157;2659;2647;1;12
158;2671;2659;1;12
159;2683;2677;1;6
160;2689;19;141;10
161;2699;9;299;8
162;2707;37;73;6
163;2713;2707;1;6
164;2719;21;129;10
165;2729;21;129;20
166;2749;2731;1;18
167;2767;211;13;24
168;2791;557;5;6
169;2797;2791;1;6
170;2803;39;71;34
171;2837;941;3;14
172;2851;569;5;6
173;2857;313;9;40
174;2897;7;413;6
175;2903;2897;1;6
176;2909;191;15;44
177;2953;587;5;18
178;2971;173;17;30
179;3001;19;157;18
180;3019;49;61;30
181;3049;433;7;18
182;3067;29;105;22
183;3089;3041;1;48
184;3137;239;13;30
185;3167;449;7;24
186;3191;109;29;30
187;3221;1061;3;38
188;3259;169;19;48
189;3307;45;73;22
190;3329;43;77;18
191;3347;23;145;12
192;3359;3329;1;30
193;3389;3371;1;18
194;3407;673;5;42
195;3449;491;7;12
196;3461;163;21;38
197;3499;39;89;28
198;3527;7;503;6
199;3533;3527;1;6
200;3539;3;1179;2
201;3541;25;141;16
202;3557;3533;1;24
203;3581;107;33;50
204;3631;47;77;12
205;3643;241;15;28
206;3671;733;5;6
207;3677;33;111;14
208;3691;409;9;10
209;3701;35;105;26
210;3727;743;5;12
211;3739;3709;1;30
212;3769;29;129;28
213;3797;419;9;26
214;3823;97;39;40
215;3863;109;35;48
216;3911;11;355;6
217;3917;3911;1;6
218;3923;3917;1;6
219;3929;73;53;60
220;3989;15;265;14
221;4003;173;23;24
222;4027;45;89;22
223;4049;209;19;78
224;4127;13;317;6
225;4133;587;7;24
226;4157;21;197;20
227;4177;1381;3;34
228;4211;29;145;6
229;4217;29;145;12
230;4229;4217;1;12
231;4241;4229;1;12
232;4253;4217;1;36
233;4289;4241;1;48
234;4337;25;173;12
235;4349;1447;3;8
236;4357;131;33;34
237;4391;877;5;6
238;4397;877;5;12
239;4409;15;293;14
240;4423;881;5;18
241;4441;887;5;6
242;4447;1481;3;4
243;4451;7;635;6
244;4457;4451;1;6
245;4463;35;127;18
246;4481;41;109;12
247;4493;41;109;24
248;4517;641;7;30
249;4547;3;1515;2
250;4549;13;349;12
251;4561;911;5;6
252;4567;37;123;16
253;4583;1523;3;14
254;4597;49;93;40
255;4637;23;201;14
256;4651;1543;3;22
257;4673;13;359;6
258;4679;13;359;12
259;4691;4679;1;12
260;4703;937;5;18
261;4721;17;277;12
262;4733;223;21;50
263;4783;1583;3;34
264;4817;433;11;54
265;4871;7;695;6
266;4877;35;139;12
267;4889;43;113;30
268;4919;701;7;12
269;4931;3;1643;2
270;4933;31;159;4
271;4937;4931;1;6
272;4943;15;329;8
273;4951;23;215;6
274;4957;17;291;10
275;4967;11;451;6
276;4973;4937;1;36
277;5009;19;263;12
278;5021;331;15;56
279;5077;19;267;4
280;5081;7;725;6
281;5087;457;11;60
282;5147;53;97;6
283;5153;65;79;18
284;5171;35;147;26
285;5197;17;305;12
286;5209;39;133;22
287;5231;3;1743;2
288;5233;347;15;28
289;5261;29;181;12
290;5273;23;229;6
291;5279;5261;1;18
292;5297;11;481;6
293;5303;5297;1;6
294;5309;229;23;42
295;5351;1063;5;36
296;5387;1789;3;20
297;5407;11;491;6
298;5413;9;601;4
299;5417;1801;3;14
300;5431;7;775;6
301;5437;5431;1;6
302;5443;5437;1;6
303;5449;5419;1;30
304;5479;5;1095;4
305;5483;607;9;20
306;5503;9;611;4
307;5507;35;157;12
308;5519;3;1839;2
309;5521;1103;5;6
310;5527;7;789;4
311;5531;367;15;26
312;5557;1109;5;12
313;5569;5557;1;12
314;5581;191;29;42
315;5623;21;267;16
316;5639;17;331;12
317;5651;3;1883;2
318;5653;7;807;4
319;5657;1129;5;12
320;5669;1129;5;24
321;5693;15;379;8
322;5701;21;271;10
323;5711;247;23;30
324;5741;9;637;8
325;5749;45;127;34
326;5783;523;11;30
327;5813;5783;1;30
328;5843;13;449;6
329;5849;13;449;12
330;5861;5843;1;18
331;5879;5861;1;18
332;5897;43;137;6
333;5903;5879;1;24
334;5927;13;455;12
335;5939;15;395;14
336;5953;1973;3;34
337;5987;27;221;20
338;6007;9;667;4
339;6011;461;13;18
340;6029;9;669;8
341;6037;21;287;10
342;6047;7;863;6
343;6053;547;11;36
344;6089;1213;5;24
345;6113;23;265;18
346;6131;3;2043;2
347;6133;13;471;10
348;6143;6113;1;30
349;6173;43;143;24
350;6197;6173;1;24
351;6221;19;327;8
352;6229;39;159;28
353;6257;7;893;6
354;6263;6257;1;6
355;6269;1237;5;84
356;6353;11;577;6
357;6359;2113;3;20
358;6379;11;579;10
359;6389;39;163;32
360;6421;2131;3;28
361;6449;2143;3;20
362;6469;5;1293;4
363;6473;15;431;8
364;6481;719;9;10
365;6491;71;91;30
366;6521;6491;1;30
367;6551;21;311;20
368;6571;27;243;10
369;6581;6563;1;18
