n;A027697;weight;level;jump
1;2;0;0;5
2;7;0;0;4
3;11;3;3;2
4;13;7;1;6
5;19;0;0;12
6;31;25;1;6
7;37;11;3;4
8;41;7;5;6
9;47;35;1;12
10;59;3;19;2
11;61;11;5;6
12;67;61;1;6
13;73;67;1;6
14;79;61;1;18
15;97;7;13;6
16;103;9;11;4
17;107;3;35;2
18;109;91;1;18
19;127;41;3;4
20;131;25;5;6
21;137;41;3;14
22;151;29;5;6
23;157;21;7;10
24;167;7;23;6
25;173;167;1;6
26;179;3;59;2
27;181;19;9;10
28;191;3;63;2
29;193;11;17;6
30;199;17;11;12
31;211;199;1;12
32;223;73;3;4
33;227;3;75;2
34;229;5;45;4
35;233;227;1;6
36;239;3;79;2
37;241;11;21;10
38;251;21;11;20
39;271;37;7;12
40;283;37;7;24
41;307;7;43;6
42;313;59;5;18
43;331;59;5;36
44;367;71;5;12
45;379;19;19;18
46;397;35;11;12
47;409;19;21;10
48;419;3;139;2
49;421;137;3;10
50;431;3;143;2
51;433;7;61;6
52;439;5;87;4
53;443;33;13;14
54;457;11;41;6
55;463;439;1;24
56;487;7;69;4
57;491;21;23;8
58;499;53;9;22
59;521;167;3;20
60;541;21;25;16
61;557;19;29;6
62;563;557;1;6
63;569;11;51;8
64;577;21;27;10
65;587;191;3;14
66;601;7;85;6
67;607;601;1;6
68;613;7;87;4
69;617;67;9;14
70;631;23;27;10
71;641;127;5;6
72;647;641;1;6
73;653;647;1;6
74;659;3;219;2
75;661;43;15;16
76;677;653;1;24
77;701;9;77;8
78;709;233;3;10
79;719;9;79;8
80;727;7;103;6
81;733;241;3;10
82;743;27;27;14
83;757;251;3;4
84;761;251;3;8
85;769;751;1;18
86;787;45;17;22
87;809;15;53;14
88;823;7;117;4
89;827;3;275;2
90;829;47;17;30
91;859;29;29;18
92;877;13;67;6
93;883;45;19;28
94;911;21;43;8
95;919;101;9;10
96;929;131;7;12
97;941;11;85;6
98;947;941;1;6
99;953;313;3;14
100;967;9;107;4
101;971;317;3;20
102;991;197;5;6
103;997;197;5;12
104;1009;27;37;10
105;1019;3;339;2
106;1021;1009;1;12
107;1033;13;79;6
108;1039;13;79;12
109;1051;1039;1;12
110;1063;7;151;6
111;1069;1051;1;18
112;1087;71;15;22
113;1109;15;73;14
114;1123;1117;1;6
115;1129;65;17;24
116;1153;127;9;10
117;1163;11;105;8
118;1171;21;55;16
119;1187;1181;1;6
120;1193;15;79;8
121;1201;29;41;12
122;1213;239;5;18
123;1231;1213;1;18
124;1249;21;59;10
125;1259;21;59;20
126;1279;181;7;12
127;1291;21;61;10
128;1301;21;61;20
129;1321;263;5;6
130;1327;431;3;34
131;1361;271;5;6
132;1367;1361;1;6
133;1373;63;21;50
134;1423;1399;1;24
135;1447;13;111;4
136;1451;3;483;2
137;1453;1447;1;6
138;1459;1447;1;12
139;1471;1459;1;12
140;1483;491;3;10
141;1493;97;15;38
142;1531;31;49;12
143;1543;29;53;6
144;1549;1531;1;18
145;1567;521;3;4
146;1571;1559;1;12
147;1583;523;3;14
148;1597;317;5;12
149;1609;37;43;18
150;1627;1597;1;30
151;1657;13;127;6
152;1663;7;237;4
153;1667;3;555;2
154;1669;35;47;24
155;1693;563;3;4
156;1697;337;5;12
157;1709;1697;1;12
158;1721;21;81;20
159;1741;347;5;6
160;1747;1741;1;6
161;1753;1747;1;6
162;1759;1741;1;18
163;1777;7;253;6
164;1783;593;3;4
165;1787;3;595;2
166;1789;1777;1;12
167;1801;77;23;30
168;1831;359;5;36
169;1867;619;3;10
170;1877;1823;1;54
171;1931;3;643;2
172;1933;383;5;18
173;1951;641;3;28
174;1979;9;219;8
175;1987;7;283;6
176;1993;1987;1;6
177;1999;1987;1;12
178;2011;401;5;6
179;2017;223;9;10
180;2027;3;675;2
181;2029;401;5;24
182;2053;227;9;10
183;2063;409;5;18
184;2081;25;83;6
185;2087;25;83;12
186;2099;2087;1;12
187;2111;3;703;2
188;2113;419;5;18
189;2131;17;125;6
190;2137;2131;1;6
191;2143;27;79;10
192;2153;11;195;8
193;2161;47;45;46
194;2207;31;71;6
195;2213;199;11;24
196;2237;23;97;6
197;2243;317;7;24
198;2267;3;755;2
199;2269;5;453;4
200;2273;751;3;20
201;2293;7;327;4
202;2297;761;3;14
203;2311;761;3;28
204;2339;3;779;2
205;2341;21;111;10
206;2351;21;111;20
207;2371;11;215;6
208;2377;2371;1;6
209;2383;157;15;28
210;2411;45;53;26
211;2437;811;3;4
212;2441;487;5;6
213;2447;487;5;12
214;2459;2441;1;18
215;2477;43;57;26
216;2503;35;71;18
217;2521;27;93;10
218;2531;229;11;12
219;2543;13;195;8
220;2551;509;5;6
221;2557;39;65;22
222;2579;17;151;12
223;2591;31;83;18
224;2609;49;53;12
225;2621;2609;1;12
226;2633;27;97;14
227;2647;293;9;10
228;2657;11;241;6
229;2663;883;3;14
230;2677;21;127;10
231;2687;7;383;6
232;2693;25;107;18
233;2711;23;117;20
234;2731;907;3;10
235;2741;2729;1;12
236;2753;2729;1;24
237;2777;35;79;12
238;2789;2777;1;12
239;2801;23;121;18
240;2819;15;187;14
241;2833;941;3;10
242;2843;25;113;18
243;2861;2843;1;18
244;2879;9;319;8
245;2887;2857;1;30
246;2917;17;171;10
247;2927;53;55;12
248;2939;23;127;18
249;2957;13;227;6
250;2963;2957;1;6
251;2969;2939;1;30
252;2999;29;103;12
253;3011;2999;1;12
254;3023;17;177;14
255;3037;9;337;4
256;3041;53;57;20
257;3061;179;17;18
258;3079;5;615;4
259;3083;1019;3;26
260;3109;1033;3;10
261;3119;3;1039;2
262;3121;3079;1;42
263;3163;7;451;6
264;3169;41;77;12
265;3181;25;127;6
266;3187;21;151;16
267;3203;23;139;6
268;3209;11;291;8
269;3217;641;5;12
270;3229;1069;3;22
271;3251;3;1083;2
272;3253;9;361;4
273;3257;23;141;14
274;3271;47;69;28
275;3299;3;1099;2
276;3301;13;253;12
277;3313;3307;1;6
278;3319;5;663;4
279;3323;13;255;8
280;3331;3319;1;12
281;3343;19;175;18
282;3361;1117;3;10
283;3371;3;1123;2
284;3373;55;61;18
285;3391;1123;3;22
286;3413;29;117;20
287;3433;487;7;24
288;3457;7;493;6
289;3463;1153;3;4
290;3467;3;1155;2
291;3469;383;9;22
292;3491;39;89;20
293;3511;701;5;6
294;3517;701;5;12
295;3529;3511;1;18
296;3547;35;101;12
297;3559;3547;1;12
298;3571;3559;1;12
299;3583;397;9;10
300;3593;1193;3;14
301;3607;13;277;6
302;3613;9;401;4
303;3617;23;157;6
304;3623;401;9;14
305;3637;241;15;22
306;3659;15;243;14
307;3673;41;89;24
308;3697;55;67;12
309;3709;27;137;10
310;3719;15;247;14
311;3733;39;95;28
312;3761;751;5;6
313;3767;751;5;12
314;3779;15;251;14
315;3793;13;291;10
316;3803;757;5;18
317;3821;13;293;12
318;3833;19;201;14
319;3847;7;549;4
320;3851;3;1283;2
321;3853;547;7;24
322;3877;1291;3;4
323;3881;1291;3;8
324;3889;49;79;18
325;3907;19;205;12
326;3919;3907;1;12
327;3931;3919;1;12
328;3943;13;303;4
329;3947;21;187;20
330;3967;57;69;34
331;4001;17;235;6
332;4007;4001;1;6
333;4013;4007;1;6
334;4019;3;1339;2
335;4021;307;13;30
336;4051;809;5;6
337;4057;449;9;16
338;4073;7;581;6
339;4079;49;83;12
340;4091;3;1363;2
341;4093;61;67;6
342;4099;61;67;12
343;4111;4093;1;18
344;4129;1373;3;10
345;4139;15;275;14
346;4153;11;377;6
347;4159;179;23;42
348;4201;47;89;18
349;4219;601;7;12
350;4231;4219;1;12
351;4243;1409;3;16
352;4259;3;1419;2
353;4261;13;327;10
354;4271;3;1423;2
355;4273;21;203;10
356;4283;1423;3;14
357;4297;251;17;30
358;4327;863;5;12
359;4339;863;5;24
360;4363;1451;3;10
361;4373;173;25;48
362;4421;1453;3;62
363;4483;49;91;24
364;4507;7;643;6
365;4513;4507;1;6
366;4519;5;903;4
367;4523;81;55;68
368;4591;19;241;12
369;4603;35;131;18
370;4621;4603;1;18
371;4639;5;927;4
372;4643;4637;1;6
373;4649;13;357;8
374;4657;4651;1;6
375;4663;4603;1;60
376;4723;53;89;6
377;4729;523;9;22
378;4751;9;527;8
379;4759;57;83;28
380;4787;3;1595;2
381;4789;5;957;4
382;4793;4787;1;6
383;4799;3;1599;2
384;4801;4789;1;12
385;4813;35;137;18
386;4831;4801;1;30
387;4861;61;79;42
388;4903;59;83;6
389;4909;373;13;60
390;4969;4951;1;18
391;4987;17;293;6
392;4993;4987;1;6
393;4999;5;999;4
394;5003;9;555;8
395;5011;4999;1;12
396;5023;1669;3;16
397;5039;457;11;12
398;5051;41;123;8
399;5059;239;21;40
400;5099;3;1699;2
401;5101;1019;5;6
402;5107;5101;1;6
403;5113;5107;1;6
404;5119;461;11;48
405;5167;1031;5;12
406;5179;1723;3;10
407;5189;51;101;38
408;5227;37;141;10
409;5237;577;9;44
410;5281;169;31;42
411;5323;11;483;10
412;5333;27;197;14
413;5347;69;77;34
414;5381;13;413;12
415;5393;5387;1;6
416;5399;33;163;20
417;5419;257;21;22
418;5441;773;7;30
419;5471;1093;5;6
420;5477;41;133;24
421;5501;111;49;62
422;5563;617;9;10
423;5573;55;101;18
424;5591;1847;3;50
425;5641;7;805;6
426;5647;23;245;12
427;5659;35;161;24
428;5683;7;811;6
429;5689;37;153;28
430;5717;27;211;20
431;5737;11;521;6
432;5743;439;13;36
