n;A004201;weight;level;jump
1;1;0;0;2
2;3;2;1;1
3;4;0;0;3
4;7;2;3;1
5;8;7;1;1
6;9;5;1;4
7;13;2;6;1
8;14;13;1;1
9;15;2;7;1
10;16;11;1;5
11;21;2;10;1
12;22;3;7;1
13;23;2;11;1
14;24;23;1;1
15;25;19;1;6
16;31;2;15;1
17;32;31;1;1
18;33;2;16;1
19;34;3;11;1
20;35;2;17;1
21;36;29;1;7
22;43;2;21;1
23;44;43;1;1
24;45;2;22;1
25;46;3;15;1
26;47;2;23;1
27;48;47;1;1
28;49;41;1;8
29;57;2;28;1
30;58;3;19;1
31;59;2;29;1
32;60;59;1;1
33;61;2;30;1
34;62;61;1;1
35;63;2;31;1
36;64;11;5;9
37;73;2;36;1
38;74;73;1;1
39;75;2;37;1
40;76;3;25;1
41;77;2;38;1
42;78;7;11;1
43;79;2;39;1
44;80;79;1;1
45;81;71;1;10
46;91;2;45;1
47;92;7;13;1
48;93;2;46;1
49;94;3;31;1
50;95;2;47;1
51;96;5;19;1
52;97;2;48;1
53;98;97;1;1
54;99;2;49;1
55;100;89;1;11
56;111;2;55;1
57;112;3;37;1
58;113;2;56;1
59;114;113;1;1
60;115;2;57;1
61;116;5;23;1
62;117;2;58;1
63;118;3;39;1
64;119;2;59;1
65;120;7;17;1
66;121;109;1;12
67;133;2;66;1
68;134;7;19;1
69;135;2;67;1
70;136;3;45;1
71;137;2;68;1
72;138;137;1;1
73;139;2;69;1
74;140;139;1;1
75;141;2;70;1
76;142;3;47;1
77;143;2;71;1
78;144;131;1;13
79;157;2;78;1
80;158;157;1;1
81;159;2;79;1
82;160;3;53;1
83;161;2;80;1
84;162;7;23;1
85;163;2;81;1
86;164;163;1;1
87;165;2;82;1
88;166;3;55;1
89;167;2;83;1
90;168;167;1;1
91;169;31;5;14
92;183;2;91;1
93;184;3;61;1
94;185;2;92;1
95;186;5;37;1
96;187;2;93;1
97;188;11;17;1
98;189;2;94;1
99;190;3;63;1
100;191;2;95;1
101;192;191;1;1
102;193;2;96;1
103;194;193;1;1
104;195;2;97;1
105;196;181;1;15
106;211;2;105;1
107;212;211;1;1
108;213;2;106;1
109;214;3;71;1
110;215;2;107;1
111;216;5;43;1
112;217;2;108;1
113;218;7;31;1
114;219;2;109;1
115;220;3;73;1
116;221;2;110;1
117;222;13;17;1
118;223;2;111;1
119;224;223;1;1
120;225;19;11;16
121;241;2;120;1
122;242;241;1;1
123;243;2;121;1
124;244;3;81;1
125;245;2;122;1
126;246;5;49;1
127;247;2;123;1
128;248;13;19;1
129;249;2;124;1
130;250;3;83;1
131;251;2;125;1
132;252;251;1;1
133;253;2;126;1
134;254;11;23;1
135;255;2;127;1
136;256;239;1;17
137;273;2;136;1
138;274;3;91;1
139;275;2;137;1
140;276;5;55;1
141;277;2;138;1
142;278;277;1;1
143;279;2;139;1
144;280;3;93;1
145;281;2;140;1
146;282;281;1;1
147;283;2;141;1
148;284;283;1;1
149;285;2;142;1
150;286;3;95;1
151;287;2;143;1
152;288;7;41;1
153;289;271;1;18
154;307;2;153;1
155;308;307;1;1
156;309;2;154;1
157;310;3;103;1
158;311;2;155;1
159;312;311;1;1
160;313;2;156;1
161;314;313;1;1
162;315;2;157;1
163;316;3;105;1
164;317;2;158;1
165;318;317;1;1
166;319;2;159;1
167;320;11;29;1
168;321;2;160;1
169;322;3;107;1
170;323;2;161;1
171;324;61;5;19
172;343;2;171;1
173;344;7;49;1
174;345;2;172;1
175;346;3;115;1
176;347;2;173;1
177;348;347;1;1
178;349;2;174;1
179;350;349;1;1
180;351;2;175;1
181;352;3;117;1
182;353;2;176;1
183;354;353;1;1
184;355;2;177;1
185;356;5;71;1
186;357;2;178;1
187;358;3;119;1
188;359;2;179;1
189;360;359;1;1
190;361;31;11;20
191;381;2;190;1
192;382;3;127;1
193;383;2;191;1
194;384;383;1;1
195;385;2;192;1
196;386;5;77;1
197;387;2;193;1
198;388;3;129;1
199;389;2;194;1
200;390;389;1;1
201;391;2;195;1
202;392;17;23;1
203;393;2;196;1
204;394;3;131;1
205;395;2;197;1
206;396;5;79;1
207;397;2;198;1
208;398;397;1;1
209;399;2;199;1
210;400;379;1;21
211;421;2;210;1
212;422;421;1;1
213;423;2;211;1
214;424;3;141;1
215;425;2;212;1
216;426;5;85;1
217;427;2;213;1
218;428;7;61;1
219;429;2;214;1
220;430;3;143;1
221;431;2;215;1
222;432;431;1;1
223;433;2;216;1
224;434;433;1;1
225;435;2;217;1
226;436;3;145;1
227;437;2;218;1
228;438;19;23;1
229;439;2;219;1
230;440;439;1;1
231;441;419;1;22
232;463;2;231;1
233;464;463;1;1
234;465;2;232;1
235;466;3;155;1
236;467;2;233;1
237;468;467;1;1
238;469;2;234;1
239;470;7;67;1
240;471;2;235;1
241;472;3;157;1
242;473;2;236;1
243;474;11;43;1
244;475;2;237;1
245;476;5;95;1
246;477;2;238;1
247;478;3;159;1
248;479;2;239;1
249;480;479;1;1
250;481;2;240;1
251;482;13;37;1
252;483;2;241;1
253;484;461;1;23
254;507;2;253;1
255;508;3;169;1
256;509;2;254;1
257;510;509;1;1
258;511;2;255;1
259;512;7;73;1
260;513;2;256;1
261;514;3;171;1
262;515;2;257;1
263;516;5;103;1
264;517;2;258;1
265;518;11;47;1
266;519;2;259;1
267;520;3;173;1
268;521;2;260;1
269;522;521;1;1
270;523;2;261;1
271;524;523;1;1
272;525;2;262;1
273;526;3;175;1
274;527;2;263;1
275;528;17;31;1
276;529;101;5;24
277;553;2;276;1
278;554;7;79;1
279;555;2;277;1
280;556;3;185;1
281;557;2;278;1
282;558;557;1;1
283;559;2;279;1
284;560;13;43;1
285;561;2;280;1
286;562;3;187;1
287;563;2;281;1
288;564;563;1;1
289;565;2;282;1
290;566;5;113;1
291;567;2;283;1
292;568;3;189;1
293;569;2;284;1
294;570;569;1;1
295;571;2;285;1
296;572;571;1;1
297;573;2;286;1
298;574;3;191;1
299;575;2;287;1
300;576;29;19;25
301;601;2;300;1
302;602;601;1;1
303;603;2;301;1
304;604;3;201;1
305;605;2;302;1
306;606;5;121;1
307;607;2;303;1
308;608;607;1;1
309;609;2;304;1
310;610;3;203;1
311;611;2;305;1
312;612;13;47;1
313;613;2;306;1
314;614;613;1;1
315;615;2;307;1
316;616;3;205;1
317;617;2;308;1
318;618;617;1;1
319;619;2;309;1
320;620;619;1;1
321;621;2;310;1
322;622;3;207;1
323;623;2;311;1
324;624;7;89;1
325;625;599;1;26
326;651;2;325;1
327;652;3;217;1
328;653;2;326;1
329;654;653;1;1
330;655;2;327;1
331;656;5;131;1
332;657;2;328;1
333;658;3;219;1
334;659;2;329;1
335;660;659;1;1
336;661;2;330;1
337;662;661;1;1
338;663;2;331;1
339;664;3;221;1
340;665;2;332;1
341;666;5;133;1
342;667;2;333;1
343;668;23;29;1
344;669;2;334;1
345;670;3;223;1
346;671;2;335;1
347;672;11;61;1
348;673;2;336;1
349;674;673;1;1
350;675;2;337;1
351;676;59;11;27
352;703;2;351;1
353;704;19;37;1
354;705;2;352;1
355;706;3;235;1
356;707;2;353;1
357;708;7;101;1
358;709;2;354;1
359;710;709;1;1
360;711;2;355;1
361;712;3;237;1
362;713;2;356;1
363;714;23;31;1
364;715;2;357;1
365;716;5;143;1
366;717;2;358;1
367;718;3;239;1
368;719;2;359;1
369;720;719;1;1
370;721;2;360;1
371;722;7;103;1
372;723;2;361;1
373;724;3;241;1
374;725;2;362;1
375;726;5;145;1
376;727;2;363;1
377;728;727;1;1
378;729;701;1;28
379;757;2;378;1
380;758;757;1;1
381;759;2;379;1
382;760;3;253;1
383;761;2;380;1
384;762;761;1;1
