n;A004614;weight;level;jump
1;1;0;0;2
2;3;0;0;4
3;7;5;1;2
4;9;7;1;2
5;11;0;0;8
6;19;17;1;2
7;21;19;1;2
8;23;19;1;4
9;27;23;1;4
10;31;29;1;2
11;33;23;1;10
12;43;13;3;4
13;47;3;15;2
14;49;41;1;8
15;57;5;11;2
16;59;5;11;4
17;63;59;1;4
18;67;5;13;2
19;69;67;1;2
20;71;13;5;6
21;77;3;25;2
22;79;7;11;2
23;81;79;1;2
24;83;73;1;10
25;93;29;3;6
26;99;5;19;4
27;103;9;11;4
28;107;31;3;14
29;121;23;5;6
30;127;5;25;2
31;129;127;1;2
32;131;3;43;2
33;133;127;1;6
34;139;137;1;2
35;141;9;15;6
36;147;11;13;4
37;151;47;3;10
38;161;3;53;2
39;163;53;3;4
40;167;163;1;4
41;171;11;15;6
42;177;5;35;2
43;179;13;13;10
44;189;11;17;2
45;191;61;3;8
46;199;197;1;2
47;201;13;15;6
48;207;5;41;2
49;209;3;69;2
50;211;11;19;2
51;213;11;19;4
52;217;211;1;6
53;223;73;3;4
54;227;223;1;4
55;231;9;25;6
56;237;5;47;2
57;239;5;47;4
58;243;79;3;6
59;249;13;19;2
60;251;3;83;2
61;253;27;9;10
62;263;15;17;8
63;271;263;1;8
64;279;5;55;4
65;283;269;1;14
66;297;293;1;4
67;301;59;5;6
68;307;5;61;2
69;309;307;1;2
70;311;43;7;10
71;321;313;1;8
72;329;3;109;2
73;331;107;3;10
74;341;3;113;2
75;343;113;3;4
76;347;67;5;12
77;359;3;119;2
78;361;359;1;2
79;363;359;1;4
80;367;71;5;12
81;379;13;29;2
82;381;379;1;2
83;383;379;1;4
84;387;127;3;6
85;393;9;43;6
86;399;35;11;14
87;413;409;1;4
88;417;5;83;2
89;419;5;83;4
90;423;83;5;8
91;431;17;25;6
92;437;3;145;2
93;439;19;23;2
94;441;439;1;2
95;443;433;1;10
96;453;443;1;10
97;463;9;51;4
98;467;3;155;2
99;469;5;93;4
100;473;467;1;6
101;479;5;95;4
102;483;479;1;4
103;487;5;97;2
104;489;487;1;2
105;491;97;5;6
106;497;3;165;2
107;499;7;71;2
108;501;499;1;2
109;503;17;29;10
110;513;509;1;4
111;517;7;73;6
112;523;11;47;6
113;529;17;31;2
114;531;7;75;6
115;537;5;107;2
116;539;9;59;8
117;547;541;1;6
118;553;181;3;10
119;563;13;43;4
120;567;563;1;4
121;571;569;1;2
122;573;113;5;8
123;581;23;25;6
124;587;3;195;2
125;589;83;7;8
126;597;5;119;2
127;599;5;119;4
128;603;599;1;4
129;607;17;35;12
130;619;617;1;2
131;621;15;41;6
132;627;7;89;4
133;631;17;37;2
134;633;11;57;6
