n;A004202;weight;level;jump
1;2;0;0;3
2;5;2;2;1
3;6;0;0;4
4;10;3;3;1
5;11;2;5;1
6;12;7;1;5
7;17;2;8;1
8;18;17;1;1
9;19;2;9;1
10;20;7;2;6
11;26;5;5;1
12;27;2;13;1
13;28;3;9;1
14;29;2;14;1
15;30;23;1;7
16;37;2;18;1
17;38;37;1;1
18;39;2;19;1
19;40;3;13;1
20;41;2;20;1
21;42;17;2;8
22;50;7;7;1
23;51;2;25;1
24;52;3;17;1
25;53;2;26;1
26;54;53;1;1
27;55;2;27;1
28;56;47;1;9
29;65;2;32;1
30;66;5;13;1
31;67;2;33;1
32;68;67;1;1
33;69;2;34;1
34;70;3;23;1
35;71;2;35;1
36;72;31;2;10
37;82;3;27;1
38;83;2;41;1
39;84;83;1;1
40;85;2;42;1
41;86;5;17;1
42;87;2;43;1
43;88;3;29;1
44;89;2;44;1
45;90;79;1;11
46;101;2;50;1
47;102;101;1;1
48;103;2;51;1
49;104;103;1;1
50;105;2;52;1
51;106;3;35;1
52;107;2;53;1
53;108;107;1;1
54;109;2;54;1
55;110;14;7;12
56;122;11;11;1
57;123;2;61;1
58;124;3;41;1
59;125;2;62;1
60;126;5;25;1
61;127;2;63;1
62;128;127;1;1
63;129;2;64;1
64;130;3;43;1
65;131;2;65;1
66;132;17;7;13
67;145;2;72;1
68;146;5;29;1
69;147;2;73;1
70;148;3;49;1
71;149;2;74;1
72;150;149;1;1
73;151;2;75;1
74;152;151;1;1
75;153;2;76;1
76;154;3;51;1
77;155;2;77;1
78;156;71;2;14
79;170;13;13;1
80;171;2;85;1
81;172;3;57;1
82;173;2;86;1
83;174;173;1;1
84;175;2;87;1
85;176;5;35;1
86;177;2;88;1
87;178;3;59;1
88;179;2;89;1
89;180;179;1;1
90;181;2;90;1
91;182;167;1;15
92;197;2;98;1
93;198;197;1;1
94;199;2;99;1
95;200;199;1;1
96;201;2;100;1
97;202;3;67;1
98;203;2;101;1
99;204;7;29;1
100;205;2;102;1
101;206;5;41;1
102;207;2;103;1
103;208;3;69;1
104;209;2;104;1
105;210;97;2;16
106;226;3;75;1
107;227;2;113;1
108;228;227;1;1
109;229;2;114;1
110;230;229;1;1
111;231;2;115;1
112;232;3;77;1
113;233;2;116;1
114;234;233;1;1
115;235;2;117;1
116;236;5;47;1
117;237;2;118;1
118;238;3;79;1
119;239;2;119;1
120;240;223;1;17
121;257;2;128;1
122;258;257;1;1
123;259;2;129;1
124;260;7;37;1
125;261;2;130;1
126;262;3;87;1
127;263;2;131;1
128;264;263;1;1
129;265;2;132;1
130;266;5;53;1
131;267;2;133;1
132;268;3;89;1
133;269;2;134;1
134;270;269;1;1
135;271;2;135;1
136;272;127;2;18
137;290;17;17;1
138;291;2;145;1
139;292;3;97;1
140;293;2;146;1
141;294;293;1;1
142;295;2;147;1
143;296;5;59;1
144;297;2;148;1
145;298;3;99;1
146;299;2;149;1
147;300;13;23;1
148;301;2;150;1
149;302;7;43;1
150;303;2;151;1
151;304;3;101;1
152;305;2;152;1
153;306;41;7;19
154;325;2;162;1
155;326;5;65;1
156;327;2;163;1
157;328;3;109;1
158;329;2;164;1
159;330;7;47;1
160;331;2;165;1
161;332;331;1;1
162;333;2;166;1
163;334;3;111;1
164;335;2;167;1
165;336;5;67;1
166;337;2;168;1
167;338;337;1;1
168;339;2;169;1
169;340;3;113;1
170;341;2;170;1
171;342;23;14;20
172;362;19;19;1
173;363;2;181;1
174;364;3;121;1
175;365;2;182;1
176;366;5;73;1
177;367;2;183;1
178;368;367;1;1
179;369;2;184;1
180;370;3;123;1
181;371;2;185;1
182;372;7;53;1
183;373;2;186;1
184;374;373;1;1
185;375;2;187;1
186;376;3;125;1
187;377;2;188;1
188;378;13;29;1
189;379;2;189;1
190;380;359;1;21
191;401;2;200;1
192;402;401;1;1
193;403;2;201;1
194;404;13;31;1
195;405;2;202;1
196;406;3;135;1
197;407;2;203;1
198;408;11;37;1
199;409;2;204;1
200;410;409;1;1
201;411;2;205;1
202;412;3;137;1
203;413;2;206;1
204;414;7;59;1
205;415;2;207;1
206;416;5;83;1
